"Date","Price","Open","High","Low","Change %"
"Sep 29, 2022","3.170","3.102","3.228","3.078","2.69%"
"Sep 28, 2022","3.087","3.341","3.368","3.041","-7.05%"
"Sep 27, 2022","3.321","3.198","3.361","3.134","2.91%"
"Sep 26, 2022","3.227","3.093","3.241","3.093","5.11%"
"Sep 23, 2022","3.070","3.143","3.198","3.032","-1.85%"
"Sep 22, 2022","3.128","3.052","3.182","3.034","2.83%"
"Sep 21, 2022","3.042","3.119","3.126","3.027","-2.09%"
"Sep 20, 2022","3.107","3.206","3.206","3.096","-1.40%"
"Sep 19, 2022","3.151","3.158","3.215","3.132","0.13%"
"Sep 16, 2022","3.147","3.170","3.187","3.127","-0.06%"
"Sep 15, 2022","3.149","3.195","3.239","3.141","-0.32%"
"Sep 14, 2022","3.159","3.224","3.268","3.156","-1.16%"
"Sep 13, 2022","3.196","3.102","3.239","3.058","1.65%"
"Sep 12, 2022","3.144","3.157","3.169","3.079","0.38%"
"Sep 09, 2022","3.132","3.221","3.221","3.091","-1.97%"
"Sep 08, 2022","3.195","3.169","3.207","3.075","1.65%"
"Sep 07, 2022","3.143","3.218","3.218","3.117","-1.75%"
"Sep 06, 2022","3.199","3.146","3.244","3.118","3.36%"
"Sep 02, 2022","3.095","3.189","3.198","3.076","-2.55%"
"Sep 01, 2022","3.176","3.127","3.220","3.121","1.66%"
"Aug 31, 2022","3.124","3.115","3.133","3.054","1.66%"
"Aug 30, 2022","3.073","3.112","3.115","3.024","-0.32%"
"Aug 29, 2022","3.083","3.045","3.123","3.045","2.19%"
"Aug 26, 2022","3.017","3.055","3.097","3.002","0.10%"
"Aug 25, 2022","3.014","3.067","3.129","3.008","-2.65%"
"Aug 24, 2022","3.096","3.035","3.129","3.021","1.81%"
"Aug 23, 2022","3.041","3.009","3.086","2.997","0.83%"
"Aug 22, 2022","3.016","2.944","3.025","2.942","2.31%"
"Aug 19, 2022","2.948","2.867","2.963","2.867","3.77%"
"Aug 18, 2022","2.841","2.845","2.887","2.799","-0.66%"
"Aug 17, 2022","2.860","2.776","2.890","2.776","3.89%"
"Aug 16, 2022","2.753","2.708","2.822","2.696","2.15%"
"Aug 15, 2022","2.695","2.746","2.755","2.646","-1.57%"
"Aug 12, 2022","2.738","2.780","2.806","2.736","-1.76%"
"Aug 11, 2022","2.787","2.683","2.797","2.617","4.19%"
"Aug 10, 2022","2.675","2.714","2.718","2.604","-1.00%"
"Aug 09, 2022","2.702","2.694","2.758","2.694","0.93%"
"Aug 08, 2022","2.677","2.763","2.763","2.671","-2.58%"
"Aug 05, 2022","2.748","2.681","2.797","2.681","2.42%"
"Aug 04, 2022","2.683","2.739","2.768","2.656","-1.32%"
"Aug 03, 2022","2.719","2.680","2.812","2.680","0.30%"
"Aug 02, 2022","2.711","2.631","2.723","2.475","3.83%"
"Jul 29, 2022","2.611","2.635","2.685","2.550","-0.34%"
"Jul 28, 2022","2.620","2.754","2.787","2.604","-5.28%"
"Jul 27, 2022","2.766","2.806","2.842","2.699","-2.09%"
"Jul 26, 2022","2.825","2.825","2.884","2.750","-1.46%"
"Jul 25, 2022","2.867","2.875","2.920","2.852","0.92%"
"Jul 22, 2022","2.841","2.970","2.970","2.825","-3.60%"
"Jul 21, 2022","2.947","3.125","3.179","2.943","-5.45%"
"Jul 20, 2022","3.117","3.113","3.130","3.024","1.07%"
"Jul 19, 2022","3.084","3.094","3.127","3.068","0.39%"
"Jul 18, 2022","3.072","3.115","3.155","3.066","0.07%"
"Jul 15, 2022","3.070","3.113","3.167","3.068","-2.29%"
"Jul 14, 2022","3.142","3.181","3.220","3.128","-0.41%"
"Jul 13, 2022","3.155","3.191","3.271","3.141","-1.10%"
"Jul 12, 2022","3.190","3.219","3.225","3.131","-1.66%"
"Jul 11, 2022","3.244","3.299","3.319","3.214","-1.58%"
"Jul 08, 2022","3.296","3.218","3.317","3.199","2.42%"
"Jul 07, 2022","3.218","3.173","3.235","3.153","0.81%"
"Jul 06, 2022","3.192","3.100","3.195","3.026","3.74%"
"Jul 05, 2022","3.077","3.202","3.216","3.033","-3.09%"
"Jul 04, 2022","3.175","3.249","3.249","3.162","-1.55%"
"Jun 30, 2022","3.225","3.320","3.329","3.206","-2.66%"
"Jun 29, 2022","3.313","3.333","3.362","3.284","-0.63%"
"Jun 28, 2022","3.334","3.354","3.446","3.330","-1.39%"
"Jun 27, 2022","3.381","3.355","3.398","3.322","1.44%"
"Jun 24, 2022","3.333","3.323","3.344","3.248","0.82%"
"Jun 23, 2022","3.306","3.356","3.374","3.224","-3.36%"
"Jun 22, 2022","3.421","3.444","3.454","3.380","-2.26%"
"Jun 21, 2022","3.500","3.471","3.515","3.459","1.19%"
"Jun 20, 2022","3.459","3.418","3.475","3.403","1.50%"
"Jun 17, 2022","3.408","3.408","3.462","3.368","0.98%"
"Jun 16, 2022","3.375","3.595","3.664","3.369","-2.46%"
"Jun 15, 2022","3.460","3.505","3.595","3.453","-4.60%"
"Jun 14, 2022","3.627","3.461","3.638","3.460","3.22%"
"Jun 13, 2022","3.514","3.401","3.551","3.387","4.80%"
"Jun 10, 2022","3.353","3.215","3.355","3.199","3.71%"
"Jun 09, 2022","3.233","3.272","3.310","3.229","-1.19%"
"Jun 08, 2022","3.272","3.190","3.305","3.190","2.57%"
"Jun 07, 2022","3.190","3.183","3.198","3.157","-0.16%"
"Jun 06, 2022","3.195","3.061","3.195","3.054","4.07%"
"Jun 03, 2022","3.070","3.005","3.081","3.005","2.16%"
"Jun 02, 2022","3.005","2.969","3.052","2.969","0.94%"
"Jun 01, 2022","2.977","2.903","2.996","2.894","3.01%"
"May 31, 2022","2.890","2.868","2.930","2.865","2.26%"
