"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.794","2.820","2.947","2.713","-2.14%"
"Sep 29, 2022","2.855","2.820","2.947","2.805","3.03%"
"Sep 28, 2022","2.771","2.908","2.990","2.750","-2.91%"
"Sep 27, 2022","2.854","2.787","2.899","2.661","4.54%"
"Sep 26, 2022","2.730","2.744","2.774","2.678","2.40%"
"Sep 23, 2022","2.666","2.576","2.740","2.514","2.62%"
"Sep 22, 2022","2.598","2.520","2.621","2.426","4.72%"
"Sep 21, 2022","2.481","2.482","2.523","2.433","-1.63%"
"Sep 20, 2022","2.522","2.438","2.563","2.403","4.86%"
"Sep 19, 2022","2.405","2.335","2.420","2.326","3.17%"
"Sep 17, 2022","2.331","2.331","2.331","2.331","-0.17%"
"Sep 16, 2022","2.335","2.380","2.409","2.330","-0.04%"
"Sep 15, 2022","2.336","2.331","2.360","2.285","2.41%"
"Sep 14, 2022","2.281","2.290","2.367","2.254","-0.70%"
"Sep 13, 2022","2.297","2.247","2.344","2.207","8.91%"
"Sep 12, 2022","2.109","2.193","2.210","2.091","-1.72%"
"Sep 09, 2022","2.146","2.197","2.246","2.094","-0.19%"
"Sep 08, 2022","2.150","2.003","2.162","1.988","5.50%"
"Sep 07, 2022","2.038","2.088","2.103","2.005","-1.97%"
"Sep 06, 2022","2.079","2.031","2.111","1.937","2.26%"
"Sep 05, 2022","2.033","1.946","2.060","1.946","1.90%"
"Sep 02, 2022","1.995","2.010","2.070","1.940","-1.92%"
"Sep 01, 2022","2.034","2.057","2.099","2.010","1.80%"
"Aug 31, 2022","1.998","1.927","2.045","1.919","2.04%"
"Aug 30, 2022","1.958","1.947","2.013","1.898","-0.36%"
"Aug 29, 2022","1.965","1.964","2.013","1.926","6.97%"
"Aug 26, 2022","1.837","1.765","1.886","1.763","4.20%"
"Aug 25, 2022","1.763","1.801","1.818","1.753","-2.49%"
"Aug 24, 2022","1.808","1.796","1.832","1.732","3.49%"
"Aug 23, 2022","1.747","1.692","1.804","1.667","0.40%"
"Aug 22, 2022","1.740","1.612","1.740","1.594","5.39%"
"Aug 19, 2022","1.651","1.590","1.666","1.574","8.33%"
"Aug 18, 2022","1.524","1.564","1.564","1.482","1.74%"
"Aug 17, 2022","1.498","1.390","1.532","1.390","7.00%"
"Aug 16, 2022","1.400","1.328","1.422","1.318","5.90%"
"Aug 15, 2022","1.322","1.398","1.434","1.297","-5.91%"
"Aug 12, 2022","1.405","1.403","1.446","1.366","1.15%"
"Aug 11, 2022","1.389","1.328","1.408","1.239","5.79%"
"Aug 10, 2022","1.313","1.328","1.350","1.239","-1.94%"
"Aug 09, 2022","1.339","1.297","1.380","1.274","2.84%"
"Aug 08, 2022","1.302","1.281","1.372","1.185","-4.69%"
"Aug 05, 2022","1.366","1.281","1.372","1.185","11.97%"
"Aug 04, 2022","1.220","1.281","1.315","1.185","-5.28%"
"Aug 03, 2022","1.288","1.222","1.335","1.214","6.89%"
"Aug 02, 2022","1.205","1.125","1.221","1.080","2.64%"
"Aug 01, 2022","1.174","1.246","1.289","1.156","-2.53%"
"Jul 30, 2022","1.204","1.204","1.204","1.204","-1.51%"
"Jul 29, 2022","1.223","1.241","1.330","1.216","0.16%"
"Jul 28, 2022","1.221","1.410","1.424","1.209","-11.26%"
"Jul 27, 2022","1.376","1.366","1.399","1.337","1.55%"
"Jul 26, 2022","1.355","1.433","1.442","1.321","-6.68%"
"Jul 25, 2022","1.452","1.465","1.510","1.433","-0.48%"
"Jul 22, 2022","1.459","1.616","1.625","1.402","-11.84%"
"Jul 21, 2022","1.655","1.686","1.811","1.632","-1.55%"
"Jul 20, 2022","1.681","1.668","1.707","1.591","-0.83%"
"Jul 19, 2022","1.695","1.578","1.721","1.574","3.67%"
"Jul 18, 2022","1.635","1.592","1.662","1.577","5.08%"
"Jul 15, 2022","1.556","1.511","1.599","1.484","-1.27%"
"Jul 14, 2022","1.576","1.566","1.677","1.560","1.55%"
"Jul 13, 2022","1.552","1.565","1.628","1.518","1.04%"
"Jul 12, 2022","1.536","1.628","1.635","1.501","-7.53%"
"Jul 11, 2022","1.661","1.737","1.744","1.629","-6.00%"
"Jul 08, 2022","1.767","1.710","1.778","1.661","2.43%"
"Jul 07, 2022","1.725","1.660","1.742","1.653","6.94%"
"Jul 06, 2022","1.613","1.665","1.688","1.529","-1.89%"
"Jul 05, 2022","1.644","1.757","1.793","1.633","-7.59%"
"Jul 04, 2022","1.779","1.706","1.802","1.691","6.27%"
"Jul 01, 2022","1.674","1.791","1.870","1.612","-8.07%"
"Jun 30, 2022","1.821","1.905","1.917","1.803","-7.19%"
"Jun 29, 2022","1.962","2.053","2.092","1.946","-5.58%"
"Jun 28, 2022","2.078","2.019","2.115","1.998","4.32%"
"Jun 27, 2022","1.992","1.916","2.011","1.891","6.81%"
"Jun 25, 2022","1.865","1.865","1.865","1.865","0.00%"
"Jun 24, 2022","1.865","1.882","1.929","1.776","-0.21%"
"Jun 23, 2022","1.869","2.086","2.096","1.827","-9.32%"
"Jun 22, 2022","2.061","2.134","2.153","2.027","-6.62%"
"Jun 21, 2022","2.207","2.174","2.231","2.152","0.73%"
"Jun 20, 2022","2.191","2.097","2.201","2.073","4.13%"
"Jun 17, 2022","2.104","2.171","2.240","2.062","-2.95%"
"Jun 16, 2022","2.168","2.107","2.372","2.107","2.26%"
"Jun 15, 2022","2.120","2.130","2.303","2.066","-6.61%"
"Jun 14, 2022","2.270","2.130","2.275","2.099","6.17%"
"Jun 13, 2022","2.138","2.011","2.147","1.971","7.98%"
"Jun 10, 2022","1.980","1.901","1.980","1.849","4.87%"
"Jun 09, 2022","1.888","1.816","1.924","1.781","4.66%"
"Jun 08, 2022","1.804","1.775","1.826","1.758","2.73%"
"Jun 07, 2022","1.756","1.803","1.803","1.730","-1.57%"
"Jun 06, 2022","1.784","1.716","1.793","1.715","2.82%"
"Jun 03, 2022","1.735","1.707","1.751","1.687","1.40%"
"Jun 02, 2022","1.711","1.643","1.719","1.643","4.14%"
"Jun 01, 2022","1.643","1.587","1.655","1.568","4.58%"
"May 31, 2022","1.571","1.526","1.611","1.481","2.61%"
"May 30, 2022","1.531","1.468","1.536","1.456","8.20%"
"May 27, 2022","1.415","1.422","1.453","1.379","-0.84%"
"May 26, 2022","1.427","1.406","1.444","1.338","0.35%"
"May 25, 2022","1.422","1.468","1.470","1.373","-2.34%"
"May 24, 2022","1.456","1.471","1.512","1.431","-1.49%"
"May 23, 2022","1.478","1.421","1.494","1.381","6.10%"
"May 20, 2022","1.393","1.420","1.443","1.374","-0.57%"
"May 19, 2022","1.401","1.448","1.458","1.339","-4.24%"
"May 18, 2022","1.463","1.499","1.531","1.440","-1.28%"
"May 17, 2022","1.482","1.425","1.503","1.402","8.10%"
"May 16, 2022","1.371","1.366","1.441","1.353","-0.15%"
"May 13, 2022","1.373","1.329","1.399","1.306","5.37%"
"May 12, 2022","1.303","1.336","1.336","1.276","-7.19%"
"May 11, 2022","1.404","1.429","1.523","1.374","-2.16%"
"May 10, 2022","1.435","1.533","1.544","1.418","-5.78%"
"May 09, 2022","1.523","1.546","1.613","1.519","-2.06%"
"May 06, 2022","1.555","1.460","1.574","1.443","6.29%"
"May 05, 2022","1.463","1.411","1.469","1.326","4.13%"
"May 04, 2022","1.405","1.430","1.455","1.396","1.59%"
"May 03, 2022","1.383","1.408","1.444","1.333","-0.22%"
"May 02, 2022","1.386","1.359","1.397","1.315","2.44%"
"Apr 29, 2022","1.353","1.286","1.365","1.273","3.13%"
"Apr 28, 2022","1.312","1.200","1.332","1.165","10.25%"
"Apr 27, 2022","1.190","1.245","1.247","1.183","-1.82%"
"Apr 26, 2022","1.212","1.256","1.276","1.193","-1.22%"
"Apr 25, 2022","1.227","1.284","1.324","1.221","-9.71%"
"Apr 22, 2022","1.359","1.310","1.359","1.296","2.33%"
"Apr 21, 2022","1.328","1.298","1.341","1.258","5.99%"
"Apr 20, 2022","1.253","1.319","1.326","1.231","-4.13%"
"Apr 19, 2022","1.307","1.279","1.362","1.267","3.98%"
"Apr 14, 2022","1.257","1.190","1.262","1.163","6.53%"
"Apr 13, 2022","1.180","1.235","1.254","1.158","-0.34%"
"Apr 12, 2022","1.184","1.230","1.269","1.153","-1.17%"
"Apr 11, 2022","1.198","1.153","1.211","1.153","5.18%"
"Apr 08, 2022","1.139","1.082","1.158","1.070","5.46%"
"Apr 07, 2022","1.080","1.053","1.136","1.030","0.93%"
"Apr 06, 2022","1.070","1.052","1.116","1.042","3.28%"
"Apr 05, 2022","1.036","0.914","1.056","0.914","13.85%"
"Apr 04, 2022","0.910","0.910","0.944","0.860","-1.94%"
"Apr 01, 2022","0.928","0.993","1.008","0.873","3.11%"
"Mar 31, 2022","0.900","0.993","1.008","0.873","-9.91%"
"Mar 30, 2022","0.999","0.967","1.075","0.965","2.46%"
"Mar 29, 2022","0.975","0.945","1.066","0.925","8.21%"
