"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.721","2.771","2.783","2.672","-3.20%"
"Sep 29, 2022","2.811","2.814","2.902","2.773","1.96%"
"Sep 28, 2022","2.757","2.859","2.954","2.735","-2.61%"
"Sep 27, 2022","2.831","2.732","2.862","2.646","4.97%"
"Sep 26, 2022","2.697","2.679","2.723","2.641","3.61%"
"Sep 23, 2022","2.603","2.537","2.675","2.468","2.84%"
"Sep 22, 2022","2.531","2.457","2.558","2.378","3.64%"
"Sep 21, 2022","2.442","2.439","2.465","2.395","-1.93%"
"Sep 20, 2022","2.490","2.357","2.507","2.355","5.96%"
"Sep 19, 2022","2.350","2.317","2.375","2.289","2.09%"
"Sep 17, 2022","2.302","2.302","2.302","2.302","0.04%"
"Sep 16, 2022","2.301","2.366","2.369","2.295","0.13%"
"Sep 15, 2022","2.298","2.298","2.328","2.250","1.50%"
"Sep 14, 2022","2.264","2.270","2.348","2.244","-1.14%"
"Sep 13, 2022","2.290","2.228","2.320","2.203","3.01%"
"Sep 12, 2022","2.223","2.314","2.330","2.208","-1.77%"
"Sep 09, 2022","2.263","2.321","2.358","2.205","0.44%"
"Sep 08, 2022","2.253","2.109","2.274","2.101","4.60%"
"Sep 07, 2022","2.154","2.203","2.233","2.123","-2.36%"
"Sep 06, 2022","2.206","2.193","2.246","2.084","0.87%"
"Sep 05, 2022","2.187","2.119","2.219","2.107","1.48%"
"Sep 02, 2022","2.155","2.158","2.226","2.098","-1.37%"
"Sep 01, 2022","2.185","2.205","2.260","2.171","1.63%"
"Aug 31, 2022","2.150","2.113","2.210","2.075","1.22%"
"Aug 30, 2022","2.124","2.094","2.169","2.054","-0.28%"
"Aug 29, 2022","2.130","2.144","2.180","2.082","6.02%"
"Aug 26, 2022","2.009","1.931","2.060","1.924","3.88%"
"Aug 25, 2022","1.934","1.984","1.993","1.927","-2.47%"
"Aug 24, 2022","1.983","1.956","2.018","1.916","3.61%"
"Aug 23, 2022","1.914","1.874","1.979","1.831","0.47%"
"Aug 22, 2022","1.905","1.783","1.905","1.756","5.42%"
"Aug 19, 2022","1.807","1.739","1.826","1.727","7.69%"
"Aug 18, 2022","1.678","1.674","1.732","1.634","1.39%"
"Aug 17, 2022","1.655","1.554","1.691","1.535","7.47%"
