"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.1090","2.2060","2.2090","2.0610","-4.48%"
"Sep 29, 2022","2.2080","2.2330","2.2970","2.1770","2.46%"
"Sep 28, 2022","2.1550","2.2310","2.3520","2.1300","-4.31%"
"Sep 27, 2022","2.2520","2.1420","2.2550","2.0400","7.65%"
"Sep 26, 2022","2.0920","2.0240","2.1320","2.0240","3.00%"
"Sep 23, 2022","2.0310","1.9660","2.1150","1.9090","2.68%"
"Sep 22, 2022","1.9780","1.8880","1.9960","1.8300","4.55%"
"Sep 21, 2022","1.8920","1.9280","1.9280","1.8390","-2.42%"
"Sep 20, 2022","1.9390","1.8040","1.9540","1.8040","8.26%"
"Sep 19, 2022","1.7910","1.7560","1.8180","1.7440","1.47%"
"Sep 16, 2022","1.7650","1.7660","1.8170","1.7470","1.38%"
"Sep 15, 2022","1.7410","1.7160","1.7680","1.7040","2.53%"
"Sep 14, 2022","1.6980","1.7310","1.7790","1.6830","-1.51%"
"Sep 13, 2022","1.7240","1.6550","1.7560","1.6420","4.80%"
"Sep 12, 2022","1.6450","1.6970","1.7550","1.6360","-3.24%"
"Sep 09, 2022","1.7000","1.7410","1.7960","1.6390","-0.70%"
"Sep 08, 2022","1.7120","1.5760","1.7160","1.5430","8.70%"
"Sep 07, 2022","1.5750","1.6450","1.6450","1.5460","-1.87%"
"Sep 06, 2022","1.6050","1.5620","1.6400","1.4850","2.49%"
"Sep 05, 2022","1.5660","1.5220","1.5910","1.4780","3.03%"
"Sep 02, 2022","1.5200","1.5630","1.6090","1.4740","-3.25%"
"Sep 01, 2022","1.5710","1.5400","1.6340","1.5400","2.28%"
"Aug 31, 2022","1.5360","1.4950","1.5840","1.4620","1.72%"
"Aug 30, 2022","1.5100","1.5090","1.5440","1.4380","0.33%"
"Aug 29, 2022","1.5050","1.4950","1.5480","1.4630","7.65%"
"Aug 26, 2022","1.3980","1.3160","1.4350","1.3110","5.19%"
"Aug 25, 2022","1.3290","1.3630","1.3900","1.3170","-2.49%"
"Aug 24, 2022","1.3630","1.3310","1.3900","1.3110","3.18%"
"Aug 23, 2022","1.3210","1.3010","1.3750","1.2490","1.54%"
"Aug 22, 2022","1.3010","1.2250","1.3110","1.1810","5.43%"
"Aug 19, 2022","1.2340","1.1020","1.2420","1.1000","12.39%"
"Aug 18, 2022","1.0980","1.0910","1.1500","1.0660","1.86%"
"Aug 17, 2022","1.0780","0.9670","1.1100","0.9670","10.11%"
"Aug 16, 2022","0.9790","0.8970","1.0050","0.8970","8.42%"
"Aug 15, 2022","0.9030","0.9870","1.0170","0.8860","-8.79%"
"Aug 12, 2022","0.9900","0.9790","1.0250","0.9540","2.38%"
"Aug 11, 2022","0.9670","0.8900","0.9900","0.8520","9.14%"
"Aug 10, 2022","0.8860","0.9180","0.9450","0.8370","-4.01%"
