"Date","Price","Open","High","Low","Change %"
"Sep 29, 2022","3.387","3.339","3.403","3.330","1.56%"
"Sep 28, 2022","3.335","3.194","3.440","3.194","4.51%"
"Sep 22, 2022","3.191","3.170","3.211","3.145","0.81%"
"Sep 21, 2022","3.165","3.178","3.188","3.155","-0.38%"
"Sep 20, 2022","3.178","3.132","3.200","3.098","1.89%"
"Sep 19, 2022","3.118","3.101","3.138","3.082","1.14%"
"Sep 18, 2022","3.083","3.148","3.148","3.073","-1.86%"
"Sep 15, 2022","3.142","3.119","3.146","3.109","0.83%"
"Sep 14, 2022","3.116","3.071","3.149","3.065","1.58%"
"Sep 13, 2022","3.068","2.989","3.094","2.984","2.71%"
"Sep 12, 2022","2.987","3.066","3.066","2.986","-2.42%"
"Sep 11, 2022","3.060","3.004","3.076","3.004","1.29%"
"Sep 08, 2022","3.022","3.039","3.040","2.987","-0.07%"
"Sep 07, 2022","3.023","3.038","3.067","3.012","-0.31%"
"Sep 06, 2022","3.033","2.955","3.039","2.955","2.66%"
"Sep 05, 2022","2.954","2.929","2.976","2.929","0.85%"
"Sep 04, 2022","2.930","2.975","2.980","2.918","-1.26%"
"Sep 01, 2022","2.967","2.918","2.997","2.918","1.96%"
"Aug 31, 2022","2.910","2.858","2.937","2.846","2.02%"
"Aug 30, 2022","2.852","2.852","2.867","2.833","0.00%"
"Aug 29, 2022","2.852","2.802","2.875","2.802","1.86%"
"Aug 28, 2022","2.800","2.793","2.819","2.781","0.30%"
"Aug 25, 2022","2.792","2.775","2.811","2.759","0.76%"
"Aug 24, 2022","2.771","2.711","2.774","2.704","2.38%"
"Aug 23, 2022","2.707","2.664","2.753","2.658","1.58%"
"Aug 22, 2022","2.664","2.624","2.705","2.595","1.72%"
"Aug 21, 2022","2.619","2.496","2.624","2.496","5.14%"
"Aug 18, 2022","2.491","2.590","2.590","2.461","-3.13%"
"Aug 17, 2022","2.572","2.485","2.589","2.471","3.92%"
"Aug 16, 2022","2.475","2.331","2.513","2.330","6.38%"
"Aug 15, 2022","2.326","2.355","2.380","2.302","-1.65%"
"Aug 14, 2022","2.365","2.377","2.401","2.365","-0.73%"
"Aug 11, 2022","2.383","2.431","2.444","2.362","-1.91%"
"Aug 10, 2022","2.430","2.516","2.524","2.422","-2.92%"
"Aug 09, 2022","2.503","2.481","2.510","2.451","0.87%"
"Aug 08, 2022","2.481","2.546","2.546","2.474","-0.30%"
"Aug 04, 2022","2.489","2.514","2.530","2.462","-0.96%"
"Aug 03, 2022","2.513","2.422","2.516","2.422","3.82%"
"Aug 02, 2022","2.420","2.379","2.421","2.353","1.26%"
"Aug 01, 2022","2.390","2.434","2.453","2.390","-1.44%"
