"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","0.245","0.251","0.251","0.245","-2.00%"
"Sep 29, 2022","0.250","0.244","0.250","0.242","0.00%"
"Sep 28, 2022","0.250","0.251","0.251","0.250","0.00%"
"Sep 27, 2022","0.250","0.251","0.251","0.250","-0.40%"
"Sep 26, 2022","0.251","0.245","0.251","0.244","4.15%"
"Sep 25, 2022","0.241","0.239","0.241","0.239","2.55%"
"Sep 22, 2022","0.235","0.255","0.256","0.225","-7.84%"
"Sep 21, 2022","0.255","0.256","0.257","0.255","0.00%"
"Sep 20, 2022","0.255","0.256","0.256","0.255","1.80%"
"Sep 19, 2022","0.250","0.251","0.251","0.250","-1.76%"
"Sep 16, 2022","0.255","0.255","0.255","0.250","-0.39%"
"Sep 15, 2022","0.256","0.250","0.256","0.250","2.40%"
"Sep 14, 2022","0.250","0.250","0.251","0.249","2.04%"
"Sep 13, 2022","0.245","0.245","0.246","0.245","0.00%"
"Sep 12, 2022","0.245","0.248","0.250","0.245","1.03%"
"Sep 11, 2022","0.243","0.243","0.243","0.243","-3.00%"
"Sep 09, 2022","0.250","0.250","0.251","0.244","2.04%"
"Sep 08, 2022","0.245","0.244","0.245","0.240","0.00%"
"Sep 07, 2022","0.245","0.246","0.250","0.245","2.08%"
"Sep 06, 2022","0.240","0.238","0.240","0.235","4.35%"
"Sep 05, 2022","0.230","0.238","0.240","0.230","-0.43%"
"Sep 04, 2022","0.231","0.234","0.234","0.231","-3.75%"
"Sep 02, 2022","0.240","0.243","0.243","0.239","0.42%"
"Sep 01, 2022","0.239","0.233","0.244","0.233","6.22%"
"Aug 31, 2022","0.225","0.227","0.228","0.220","0.00%"
"Aug 30, 2022","0.225","0.244","0.244","0.224","-6.25%"
"Aug 29, 2022","0.240","0.229","0.241","0.229","5.73%"
"Aug 28, 2022","0.227","0.219","0.227","0.219","3.18%"
"Aug 26, 2022","0.220","0.220","0.225","0.216","-4.35%"
"Aug 25, 2022","0.230","0.232","0.235","0.229","2.68%"
"Aug 24, 2022","0.224","0.219","0.225","0.219","4.67%"
"Aug 23, 2022","0.214","0.225","0.225","0.214","-2.28%"
"Aug 22, 2022","0.219","0.212","0.219","0.209","5.80%"
"Aug 21, 2022","0.207","0.209","0.209","0.207","4.02%"
"Aug 19, 2022","0.199","0.195","0.200","0.193","0.51%"
"Aug 18, 2022","0.198","0.199","0.200","0.185","7.61%"
"Aug 17, 2022","0.184","0.177","0.187","0.174","8.24%"
"Aug 16, 2022","0.170","0.179","0.180","0.169","-9.57%"
"Aug 15, 2022","0.188","0.191","0.197","0.184","-1.83%"
"Aug 14, 2022","0.191","0.185","0.191","0.185","1.32%"
"Aug 12, 2022","0.189","0.198","0.205","0.188","-0.79%"
"Aug 11, 2022","0.191","0.193","0.193","0.191","0.79%"
"Aug 10, 2022","0.189","0.165","0.194","0.164","14.55%"
"Aug 09, 2022","0.165","0.169","0.170","0.164","-2.37%"
"Aug 08, 2022","0.169","0.180","0.189","0.169","-3.98%"
"Aug 07, 2022","0.176","0.176","0.176","0.176","6.67%"
"Aug 05, 2022","0.165","0.168","0.186","0.164","-5.71%"
"Aug 04, 2022","0.175","0.185","0.186","0.175","-7.41%"
"Aug 03, 2022","0.189","0.189","0.201","0.184","8.00%"
"Aug 02, 2022","0.175","0.175","0.181","0.167","-5.41%"
"Aug 01, 2022","0.185","0.187","0.190","0.184","1.93%"
"Jul 31, 2022","0.182","0.185","0.185","0.182","3.71%"
"Jul 29, 2022","0.175","0.190","0.190","0.174","-14.22%"
"Jul 28, 2022","0.204","0.204","0.205","0.194","0.49%"
"Jul 27, 2022","0.203","0.203","0.210","0.199","-0.49%"
"Jul 26, 2022","0.204","0.199","0.214","0.199","1.49%"
"Jul 25, 2022","0.201","0.197","0.205","0.178","6.07%"
"Jul 24, 2022","0.190","0.195","0.195","0.190","-13.47%"
"Jul 22, 2022","0.219","0.226","0.229","0.215","-7.59%"
"Jul 21, 2022","0.237","0.242","0.244","0.229","-2.47%"
"Jul 20, 2022","0.243","0.244","0.245","0.243","3.85%"
"Jul 19, 2022","0.234","0.236","0.239","0.229","1.96%"
"Jul 18, 2022","0.229","0.231","0.231","0.229","-1.92%"
"Jul 15, 2022","0.234","0.234","0.239","0.232","0.00%"
"Jul 14, 2022","0.234","0.230","0.236","0.228","0.00%"
"Jul 13, 2022","0.234","0.237","0.237","0.230","-1.68%"
"Jul 12, 2022","0.238","0.243","0.244","0.238","-2.46%"
"Jul 11, 2022","0.244","0.249","0.250","0.243","0.00%"
