"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","4.294","4.198","4.308","4.198","2.21%"
"Sep 29, 2022","4.201","4.333","4.333","4.143","-3.05%"
"Sep 28, 2022","4.333","4.280","4.333","4.280","1.24%"
"Sep 27, 2022","4.280","4.145","4.305","4.145","-0.45%"
"Sep 26, 2022","4.299","4.163","4.301","4.163","3.73%"
"Sep 23, 2022","4.145","4.030","4.185","3.995","3.16%"
"Sep 22, 2022","4.018","4.030","4.060","3.995","-0.30%"
"Sep 21, 2022","4.030","3.973","4.058","3.973","1.43%"
"Sep 20, 2022","3.973","4.030","4.030","3.973","-1.41%"
"Sep 19, 2022","4.030","4.065","4.075","4.030","-1.53%"
"Sep 18, 2022","4.093","4.082","4.093","4.082","0.68%"
"Sep 16, 2022","4.065","3.978","4.075","3.978","2.19%"
"Sep 15, 2022","3.978","4.013","4.048","3.978","-0.87%"
"Sep 14, 2022","4.013","3.905","4.013","3.905","2.77%"
"Sep 13, 2022","3.905","3.943","3.960","3.903","-0.96%"
"Sep 12, 2022","3.943","3.935","3.943","3.915","-0.24%"
"Sep 11, 2022","3.953","3.950","3.953","3.950","0.44%"
"Sep 09, 2022","3.935","3.938","4.020","3.930","-0.08%"
"Sep 08, 2022","3.938","4.078","4.078","3.938","-3.43%"
"Sep 07, 2022","4.078","4.013","4.090","4.013","1.62%"
"Sep 06, 2022","4.013","4.005","4.025","4.000","0.20%"
"Sep 05, 2022","4.005","3.995","4.005","3.953","0.41%"
"Sep 04, 2022","3.989","4.010","4.010","3.989","-0.16%"
"Sep 02, 2022","3.995","4.035","4.043","3.975","-0.99%"
"Sep 01, 2022","4.035","3.960","4.083","3.960","1.89%"
"Aug 31, 2022","3.960","3.965","3.965","3.960","-0.13%"
"Aug 30, 2022","3.965","3.963","3.965","3.953","0.05%"
"Aug 29, 2022","3.963","3.863","3.963","3.863","2.67%"
"Aug 26, 2022","3.860","3.880","3.880","3.840","-0.52%"
"Aug 25, 2022","3.880","3.813","3.880","3.813","1.76%"
"Aug 24, 2022","3.813","3.788","3.860","3.788","0.66%"
"Aug 23, 2022","3.788","3.710","3.803","3.710","2.10%"
"Aug 22, 2022","3.710","3.563","3.710","3.563","2.25%"
"Aug 21, 2022","3.628","3.570","3.628","3.570","1.84%"
"Aug 19, 2022","3.563","3.510","3.563","3.500","1.51%"
"Aug 18, 2022","3.510","3.405","3.513","3.405","3.08%"
"Aug 17, 2022","3.405","3.388","3.453","3.388","0.16%"
"Aug 16, 2022","3.399","3.395","3.399","3.392","-1.98%"
"Aug 15, 2022","3.468","3.513","3.513","3.468","-1.46%"
"Aug 14, 2022","3.520","3.520","3.520","3.520","0.19%"
"Aug 12, 2022","3.513","3.415","3.523","3.415","2.87%"
"Aug 11, 2022","3.415","3.343","3.445","3.343","2.15%"
"Aug 10, 2022","3.343","3.280","3.343","3.280","1.92%"
"Aug 09, 2022","3.280","3.370","3.370","3.280","-2.67%"
"Aug 08, 2022","3.370","3.330","3.435","3.330","-1.73%"
"Aug 07, 2022","3.430","3.333","3.430","3.333","2.99%"
"Aug 05, 2022","3.330","3.388","3.388","3.310","-1.71%"
"Aug 04, 2022","3.388","3.318","3.395","3.318","2.11%"
"Aug 03, 2022","3.318","3.315","3.405","3.288","0.09%"
"Aug 02, 2022","3.315","3.415","3.415","3.305","-2.93%"
"Aug 01, 2022","3.415","3.398","3.415","3.398","0.16%"
"Jul 31, 2022","3.409","3.402","3.420","3.402","0.34%"
"Jul 29, 2022","3.398","3.515","3.515","3.398","-3.33%"
"Jul 28, 2022","3.515","3.540","3.540","3.460","-0.71%"
"Jul 27, 2022","3.540","3.605","3.610","3.540","-1.80%"
"Jul 26, 2022","3.605","3.620","3.628","3.605","-0.41%"
"Jul 25, 2022","3.620","3.675","3.675","3.610","-0.21%"
"Jul 24, 2022","3.628","3.684","3.684","3.628","-2.22%"
"Jul 22, 2022","3.710","3.793","3.793","3.710","-2.19%"
"Jul 21, 2022","3.793","3.803","3.815","3.790","-0.26%"
"Jul 20, 2022","3.803","3.730","3.805","3.730","1.96%"
"Jul 19, 2022","3.730","3.695","3.738","3.695","0.95%"
"Jul 18, 2022","3.695","3.698","3.753","3.693","-0.08%"
"Jul 15, 2022","3.698","3.690","3.730","3.663","0.22%"
"Jul 14, 2022","3.690","3.625","3.720","3.625","1.79%"
"Jul 13, 2022","3.625","3.688","3.688","3.613","-1.71%"
"Jul 12, 2022","3.688","3.720","3.720","3.673","-0.86%"
"Jul 11, 2022","3.720","3.635","3.720","3.635","1.68%"
"Jul 10, 2022","3.658","3.643","3.658","3.643","0.65%"
"Jul 08, 2022","3.635","3.623","3.653","3.623","0.33%"
"Jul 07, 2022","3.623","3.603","3.675","3.603","0.56%"
"Jul 06, 2022","3.603","3.710","3.710","3.555","-2.88%"
"Jul 05, 2022","3.710","3.625","3.730","3.625","2.34%"
"Jul 04, 2022","3.625","3.698","3.698","3.605","-1.13%"
"Jul 03, 2022","3.667","3.667","3.667","3.667","-0.85%"
"Jul 01, 2022","3.698","3.868","3.868","3.698","-4.40%"
"Jun 30, 2022","3.868","3.930","3.930","3.843","-1.58%"
"Jun 29, 2022","3.930","3.915","3.968","3.915","0.38%"
"Jun 28, 2022","3.915","3.900","3.980","3.900","0.38%"
"Jun 27, 2022","3.900","3.993","3.993","3.880","-1.60%"
