"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","3.300","3.364","3.464","3.243","-2.54%"
"Sep 29, 2022","3.386","3.364","3.464","3.361","1.62%"
"Sep 28, 2022","3.332","3.480","3.538","3.313","-2.80%"
"Sep 27, 2022","3.428","3.343","3.451","3.238","4.38%"
"Sep 26, 2022","3.284","3.284","3.304","3.225","2.66%"
"Sep 23, 2022","3.199","3.111","3.242","3.029","2.50%"
"Sep 22, 2022","3.121","3.090","3.131","2.953","3.21%"
"Sep 21, 2022","3.024","3.047","3.059","2.992","-1.91%"
"Sep 20, 2022","3.083","2.977","3.104","2.963","4.37%"
"Sep 19, 2022","2.954","2.901","2.976","2.898","1.72%"
"Sep 17, 2022","2.904","2.904","2.904","2.904","-0.55%"
"Sep 16, 2022","2.920","2.959","2.963","2.908","0.52%"
"Sep 15, 2022","2.905","2.891","2.918","2.857","1.86%"
"Sep 14, 2022","2.852","2.835","2.931","2.835","-0.42%"
"Sep 13, 2022","2.864","2.822","2.876","2.767","2.21%"
"Sep 12, 2022","2.802","2.895","2.923","2.780","-2.23%"
"Sep 09, 2022","2.866","2.883","2.933","2.795","1.09%"
"Sep 08, 2022","2.835","2.699","2.853","2.695","3.24%"
"Sep 07, 2022","2.746","2.811","2.816","2.716","-1.96%"
"Sep 06, 2022","2.801","2.781","2.827","2.687","0.94%"
"Sep 05, 2022","2.775","2.702","2.801","2.702","1.61%"
"Sep 02, 2022","2.731","2.751","2.805","2.670","-1.80%"
"Sep 01, 2022","2.781","2.793","2.840","2.757","1.64%"
"Aug 31, 2022","2.736","2.669","2.786","2.658","1.52%"
"Aug 30, 2022","2.695","2.691","2.738","2.627","-0.22%"
"Aug 29, 2022","2.701","2.692","2.763","2.659","4.04%"
"Aug 26, 2022","2.596","2.596","2.596","2.596","4.05%"
"Aug 25, 2022","2.495","2.569","2.573","2.493","-2.92%"
"Aug 24, 2022","2.570","2.561","2.601","2.514","2.47%"
"Aug 23, 2022","2.508","2.452","2.569","2.436","0.24%"
"Aug 22, 2022","2.502","2.358","2.502","2.339","5.21%"
"Aug 19, 2022","2.378","2.314","2.394","2.303","5.88%"
"Aug 18, 2022","2.246","2.290","2.291","2.213","1.03%"
"Aug 17, 2022","2.223","2.112","2.254","2.112","5.96%"
"Aug 16, 2022","2.098","2.009","2.127","2.007","4.22%"
"Aug 15, 2022","2.013","2.089","2.125","1.999","-4.14%"
"Aug 14, 2022","2.100","2.100","2.100","2.100","-0.24%"
"Aug 12, 2022","2.105","2.076","2.123","2.059","1.59%"
"Aug 11, 2022","2.072","2.034","2.078","1.940","3.50%"
"Aug 10, 2022","2.002","2.034","2.047","1.940","-1.38%"
"Aug 09, 2022","2.030","1.997","2.069","1.966","1.60%"
"Aug 08, 2022","1.998","1.979","2.056","1.846","-2.11%"
"Aug 05, 2022","2.041","1.979","2.046","1.892","6.86%"
"Aug 04, 2022","1.910","1.979","2.006","1.892","-3.92%"
"Aug 03, 2022","1.988","1.954","2.033","1.950","2.79%"
"Aug 02, 2022","1.934","1.808","1.948","1.773","4.15%"
"Aug 01, 2022","1.857","1.939","1.976","1.847","-3.41%"
"Jul 31, 2022","1.923","1.923","1.923","1.923","0.63%"
"Jul 30, 2022","1.911","1.911","1.911","1.911","-0.80%"
"Jul 29, 2022","1.926","1.993","2.079","1.913","-2.33%"
"Jul 28, 2022","1.972","2.193","2.200","1.965","-8.41%"
"Jul 27, 2022","2.153","2.151","2.183","2.116","1.65%"
"Jul 26, 2022","2.118","2.214","2.214","2.094","-5.11%"
"Jul 25, 2022","2.232","2.277","2.306","2.227","-1.24%"
"Jul 22, 2022","2.260","2.454","2.461","2.200","-9.02%"
"Jul 21, 2022","2.484","2.527","2.612","2.447","-0.08%"
"Jul 20, 2022","2.486","2.463","2.488","2.359","0.00%"
"Jul 19, 2022","2.486","2.407","2.505","2.401","1.30%"
"Jul 18, 2022","2.454","2.446","2.492","2.432","7.54%"
"Jul 16, 2022","2.282","2.282","2.282","2.282","-0.31%"
"Jul 15, 2022","2.289","2.309","2.337","2.267","-1.63%"
"Jul 14, 2022","2.327","2.284","2.414","2.284","3.06%"
"Jul 13, 2022","2.258","2.276","2.340","2.240","1.44%"
"Jul 12, 2022","2.226","2.344","2.344","2.207","-4.79%"
"Jul 11, 2022","2.338","2.395","2.397","2.317","-2.99%"
"Jul 09, 2022","2.410","2.410","2.410","2.410","-0.41%"
"Jul 08, 2022","2.420","2.376","2.426","2.345","0.79%"
"Jul 07, 2022","2.401","2.327","2.421","2.326","5.49%"
"Jul 06, 2022","2.276","2.331","2.336","2.194","-1.30%"
"Jul 05, 2022","2.306","2.406","2.428","2.294","-4.47%"
"Jul 04, 2022","2.414","2.333","2.435","2.318","6.25%"
"Jul 01, 2022","2.272","2.461","2.522","2.209","-7.72%"
"Jun 30, 2022","2.462","2.574","2.574","2.449","-5.16%"
"Jun 29, 2022","2.596","2.665","2.734","2.587","-4.98%"
"Jun 28, 2022","2.732","2.691","2.770","2.685","2.59%"
"Jun 27, 2022","2.663","2.604","2.696","2.586","4.70%"
"Jun 25, 2022","2.543","2.543","2.543","2.543","-0.37%"
"Jun 24, 2022","2.553","2.523","2.614","2.471","1.11%"
"Jun 23, 2022","2.525","2.740","2.740","2.497","-6.27%"
"Jun 22, 2022","2.694","2.807","2.808","2.669","-5.54%"
"Jun 21, 2022","2.852","2.849","2.870","2.788","0.04%"
"Jun 20, 2022","2.851","2.771","2.851","2.731","4.03%"
"Jun 19, 2022","2.740","2.740","2.740","2.740","0.00%"
"Jun 18, 2022","2.740","2.740","2.740","2.740","-0.42%"
"Jun 17, 2022","2.752","2.893","2.901","2.694","-4.41%"
"Jun 16, 2022","2.879","3.044","3.045","2.879","-0.10%"
"Jun 15, 2022","2.882","2.968","3.210","2.814","-7.81%"
"Jun 14, 2022","3.126","2.968","3.132","2.942","4.72%"
"Jun 13, 2022","2.985","2.834","2.993","2.798","7.88%"
"Jun 10, 2022","2.767","2.669","2.769","2.627","6.06%"
"Jun 09, 2022","2.609","2.487","2.629","2.439","5.24%"
"Jun 08, 2022","2.479","2.433","2.494","2.426","2.65%"
"Jun 07, 2022","2.415","2.490","2.490","2.396","-2.27%"
"Jun 06, 2022","2.471","2.374","2.484","2.373","1.69%"
"Jun 03, 2022","2.430","2.381","2.438","2.361","2.45%"
"Jun 02, 2022","2.372","2.303","2.378","2.303","3.27%"
"Jun 01, 2022","2.297","2.233","2.297","2.210","3.47%"
"May 31, 2022","2.220","2.145","2.248","2.103","4.62%"
"May 30, 2022","2.122","2.090","2.147","2.089","4.51%"
"May 29, 2022","2.030","2.030","2.030","2.030","-0.07%"
"May 27, 2022","2.032","2.044","2.066","2.002","-1.41%"
"May 26, 2022","2.061","2.021","2.083","1.979","0.10%"
"May 25, 2022","2.059","2.083","2.085","2.017","-1.01%"
"May 24, 2022","2.080","2.149","2.162","2.068","-2.48%"
"May 23, 2022","2.133","2.103","2.140","2.065","2.45%"
"May 20, 2022","2.082","2.085","2.103","2.058","1.46%"
"May 19, 2022","2.052","2.102","2.105","2.007","-2.56%"
"May 18, 2022","2.106","2.133","2.162","2.081","-0.66%"
"May 17, 2022","2.120","2.061","2.132","2.023","5.74%"
"May 16, 2022","2.005","1.988","2.083","1.985","0.63%"
"May 14, 2022","1.992","1.992","1.992","1.992","-0.18%"
"May 13, 2022","1.996","1.931","2.015","1.920","5.05%"
"May 12, 2022","1.900","1.968","1.968","1.889","-6.31%"
"May 11, 2022","2.028","2.106","2.163","2.027","-3.89%"
"May 10, 2022","2.110","2.221","2.221","2.078","-4.40%"
"May 09, 2022","2.207","2.257","2.302","2.204","-1.95%"
"May 06, 2022","2.251","2.138","2.262","2.119","4.84%"
"May 05, 2022","2.147","2.055","2.148","1.970","3.52%"
"May 04, 2022","2.074","2.080","2.099","2.038","2.47%"
"May 03, 2022","2.024","2.040","2.066","1.977","0.05%"
"May 02, 2022","2.023","1.997","2.029","1.965","2.12%"
"Apr 29, 2022","1.981","1.882","1.990","1.869","3.72%"
"Apr 28, 2022","1.910","1.791","1.926","1.750","5.82%"
"Apr 27, 2022","1.805","1.842","1.846","1.777","0.45%"
"Apr 26, 2022","1.797","1.855","1.863","1.781","-1.53%"
"Apr 25, 2022","1.825","1.882","1.910","1.816","-6.12%"
"Apr 22, 2022","1.944","1.875","1.944","1.871","2.15%"
"Apr 21, 2022","1.903","1.859","1.904","1.823","5.31%"
"Apr 20, 2022","1.807","1.864","1.864","1.776","-2.74%"
"Apr 19, 2022","1.858","1.786","1.879","1.783","4.53%"
"Apr 18, 2022","1.778","1.781","1.781","1.777","0.40%"
"Apr 15, 2022","1.770","1.781","1.781","1.768","-1.36%"
"Apr 14, 2022","1.795","1.730","1.796","1.688","4.60%"
"Apr 13, 2022","1.716","1.774","1.788","1.693","-0.52%"
"Apr 12, 2022","1.725","1.778","1.818","1.687","-2.10%"
"Apr 11, 2022","1.762","1.734","1.762","1.714","3.10%"
"Apr 08, 2022","1.709","1.653","1.730","1.639","2.52%"
"Apr 07, 2022","1.667","1.629","1.699","1.578","1.83%"
"Apr 06, 2022","1.637","1.608","1.693","1.606","2.38%"
"Apr 05, 2022","1.599","1.481","1.608","1.481","9.60%"
"Apr 04, 2022","1.459","1.483","1.504","1.426","-1.75%"
"Apr 01, 2022","1.485","1.542","1.543","1.426","2.84%"
"Mar 31, 2022","1.444","1.542","1.543","1.426","-6.66%"
"Mar 30, 2022","1.547","1.509","1.605","1.507","2.31%"
"Mar 29, 2022","1.512","1.481","1.591","1.466","4.06%"
"Mar 28, 2022","1.453","1.463","1.501","1.431","0.62%"
"Mar 25, 2022","1.444","1.401","1.454","1.372","1.91%"
"Mar 24, 2022","1.417","1.381","1.441","1.364","2.61%"
"Mar 23, 2022","1.381","1.426","1.431","1.372","-3.16%"
"Mar 22, 2022","1.426","1.348","1.462","1.339","1.42%"
"Mar 21, 2022","1.406","1.348","1.408","1.339","6.43%"
"Mar 18, 2022","1.321","1.341","1.348","1.292","-0.90%"
"Mar 17, 2022","1.333","1.342","1.364","1.311","-0.74%"
"Mar 16, 2022","1.343","1.364","1.380","1.311","1.90%"
"Mar 15, 2022","1.318","1.338","1.352","1.301","-3.09%"
"Mar 14, 2022","1.360","1.280","1.362","1.280","8.97%"
"Mar 11, 2022","1.248","1.274","1.306","1.247","-2.04%"
"Mar 10, 2022","1.274","1.135","1.280","1.086","12.05%"
"Mar 09, 2022","1.137","1.065","1.148","1.031","7.37%"
"Mar 08, 2022","1.059","1.001","1.076","1.001","4.85%"
"Mar 07, 2022","1.010","0.980","1.029","0.962","3.91%"
"Mar 04, 2022","0.972","0.987","1.018","0.952","-3.95%"
"Mar 03, 2022","1.012","0.991","1.057","0.991","0.20%"
"Mar 02, 2022","1.010","0.883","1.012","0.883","19.10%"
"Mar 01, 2022","0.848","1.108","1.108","0.848","-25.09%"
"Feb 28, 2022","1.132","1.176","1.221","1.132","-7.14%"
"Feb 25, 2022","1.219","1.209","1.221","1.157","3.57%"
"Feb 24, 2022","1.177","1.213","1.233","1.158","-7.10%"
"Feb 23, 2022","1.267","1.289","1.289","1.256","-1.32%"
"Feb 22, 2022","1.284","1.209","1.304","1.209","2.72%"
"Feb 21, 2022","1.250","1.233","1.251","1.209","3.22%"
"Feb 18, 2022","1.211","1.232","1.235","1.199","-0.98%"
"Feb 17, 2022","1.223","1.272","1.280","1.219","-5.27%"
"Feb 16, 2022","1.291","1.326","1.331","1.255","-1.90%"
"Feb 15, 2022","1.316","1.287","1.328","1.281","0.53%"
"Feb 14, 2022","1.309","1.238","1.313","1.220","6.34%"
"Feb 11, 2022","1.231","1.177","1.232","1.152","4.15%"
"Feb 10, 2022","1.182","1.095","1.197","1.083","9.24%"
"Feb 09, 2022","1.082","1.088","1.107","1.068","-4.33%"
"Feb 08, 2022","1.131","1.111","1.144","1.053","3.95%"
"Feb 07, 2022","1.088","1.043","1.141","1.042","3.82%"
"Feb 04, 2022","1.048","1.005","1.059","0.957","9.51%"
