Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,2.818,2.85,2.874,2.757,-1.67%,-0.04800000000000004
2022-09-29,2.866,2.875,2.976,2.84,2.17%,0.06099999999999994
2022-09-28,2.805,2.883,3.012,2.786,-1.89%,-0.053999999999999826
2022-09-27,2.859,2.762,2.885,2.68,5.38%,0.1459999999999999
2022-09-26,2.713,2.716,2.759,2.665,2.88%,0.07600000000000007
2022-09-23,2.637,2.592,2.718,2.517,2.13%,0.05500000000000016
2022-09-22,2.582,2.523,2.605,2.439,3.20%,0.08000000000000007
2022-09-21,2.502,2.487,2.524,2.447,-1.61%,-0.04100000000000037
2022-09-20,2.543,2.43,2.559,2.418,5.26%,0.12700000000000022
2022-09-19,2.416,2.384,2.433,2.356,2.16%,0.05099999999999971
2022-09-16,2.365,2.445,2.46,2.359,-0.71%,-0.016999999999999904
2022-09-15,2.382,2.366,2.404,2.33,2.14%,0.050000000000000266
2022-09-14,2.332,2.315,2.402,2.306,-0.38%,-0.009000000000000341
2022-09-13,2.341,2.267,2.376,2.253,3.49%,0.07900000000000018
2022-09-12,2.262,2.362,2.378,2.245,-2.29%,-0.052999999999999936
2022-09-09,2.315,2.372,2.419,2.254,-0.52%,-0.01200000000000001
2022-09-08,2.327,2.167,2.343,2.159,5.06%,0.1120000000000001
2022-09-07,2.215,2.236,2.292,2.176,-1.60%,-0.03600000000000003
2022-09-06,2.251,2.217,2.286,2.132,1.86%,0.040999999999999925
2022-09-05,2.21,2.131,2.233,2.115,1.94%,0.041999999999999815
2022-09-02,2.168,2.184,2.248,2.11,-2.03%,-0.04499999999999993
2022-09-01,2.213,2.224,2.279,2.193,1.93%,0.04200000000000026
2022-08-31,2.171,2.134,2.236,2.098,1.69%,0.03600000000000003
2022-08-30,2.135,2.108,2.18,2.073,-0.33%,-0.007000000000000117
2022-08-29,2.142,2.176,2.211,2.098,6.09%,0.12299999999999978
2022-08-26,2.019,1.934,2.068,1.928,4.18%,0.08100000000000018
2022-08-25,1.938,1.986,1.988,1.931,-1.97%,-0.039000000000000146
2022-08-24,1.977,1.951,2.011,1.916,3.35%,0.06400000000000006
2022-08-23,1.913,1.866,1.987,1.837,0.79%,0.015000000000000124
2022-08-22,1.898,1.783,1.898,1.754,5.21%,0.09399999999999986
2022-08-19,1.804,1.732,1.814,1.721,7.83%,0.131
2022-08-18,1.673,1.649,1.704,1.628,2.45%,0.040000000000000036
2022-08-17,1.633,1.537,1.671,1.523,7.22%,0.1100000000000001
2022-08-16,1.523,1.445,1.557,1.442,5.76%,0.08299999999999996
2022-08-15,1.44,1.54,1.56,1.426,-6.74%,-0.10400000000000009
2022-08-12,1.544,1.529,1.584,1.505,2.18%,0.03300000000000014
2022-08-11,1.511,1.461,1.533,1.399,4.86%,0.06999999999999984
2022-08-10,1.441,1.478,1.48,1.389,-1.30%,-0.018999999999999906
2022-08-09,1.46,1.482,1.509,1.427,0.48%,0.006999999999999895
2022-08-08,1.453,1.475,1.487,1.42,-3.58%,-0.053999999999999826
2022-08-05,1.507,1.353,1.514,1.345,10.24%,0.1399999999999999
2022-08-04,1.367,1.429,1.46,1.338,-4.87%,-0.07000000000000006
2022-08-03,1.437,1.372,1.482,1.344,6.29%,0.08499999999999996
2022-08-02,1.352,1.279,1.368,1.218,2.58%,0.03400000000000003
2022-08-01,1.318,1.365,1.416,1.294,-2.80%,-0.038000000000000034
2022-07-29,1.356,1.37,1.464,1.348,0.22%,0.0030000000000001137
2022-07-28,1.353,1.558,1.566,1.342,-9.26%,-0.13800000000000012
2022-07-27,1.491,1.498,1.527,1.47,0.74%,0.01100000000000012
2022-07-26,1.48,1.58,1.595,1.457,-6.15%,-0.09699999999999998
2022-07-25,1.577,1.625,1.641,1.567,-0.94%,-0.015000000000000124
2022-07-22,1.592,1.746,1.77,1.534,-10.46%,-0.18599999999999994
2022-07-21,1.778,1.814,1.922,1.755,-1.06%,-0.018999999999999906
2022-07-20,1.797,1.835,1.839,1.717,-0.94%,-0.017000000000000126
2022-07-19,1.814,1.751,1.847,1.73,1.74%,0.03100000000000014
2022-07-18,1.783,1.702,1.813,1.702,4.57%,0.07799999999999985
2022-07-15,1.705,1.683,1.76,1.656,-1.22%,-0.020999999999999908
2022-07-14,1.726,1.722,1.829,1.696,0.88%,0.014999999999999902
2022-07-13,1.711,1.715,1.778,1.678,1.30%,0.02200000000000002
2022-07-12,1.689,1.811,1.816,1.659,-6.58%,-0.119
2022-07-11,1.808,1.886,1.893,1.779,-5.49%,-0.10499999999999998
2022-07-08,1.913,1.857,1.924,1.822,2.19%,0.040999999999999925
2022-07-07,1.872,1.81,1.887,1.806,5.88%,0.10400000000000009
2022-07-06,1.768,1.837,1.865,1.684,-2.00%,-0.03600000000000003
2022-07-05,1.804,1.912,1.928,1.788,-5.75%,-0.10999999999999988
2022-07-04,1.914,1.832,1.935,1.824,5.69%,0.10299999999999998
2022-07-01,1.811,1.946,2.005,1.741,-6.46%,-0.125
2022-06-30,1.936,2.072,2.083,1.927,-7.15%,-0.14900000000000002
2022-06-29,2.085,2.11,2.206,2.06,-5.01%,-0.10999999999999988
2022-06-28,2.195,2.108,2.221,2.097,4.82%,0.10099999999999998
2022-06-27,2.094,2.019,2.133,2.006,6.03%,0.11899999999999977
2022-06-24,1.975,2.021,2.064,1.91,-0.90%,-0.018000000000000016
2022-06-23,1.993,2.209,2.22,1.95,-8.54%,-0.18599999999999972
2022-06-22,2.179,2.279,2.297,2.161,-6.36%,-0.14800000000000013
2022-06-21,2.327,2.32,2.357,2.278,0.61%,0.01399999999999979
2022-06-20,2.313,2.233,2.318,2.183,3.58%,0.08000000000000007
2022-06-17,2.233,2.254,2.351,2.186,-2.15%,-0.04899999999999993
2022-06-16,2.282,2.217,2.496,2.21,1.60%,0.03600000000000003
2022-06-15,2.246,2.36,2.385,2.18,-6.34%,-0.15200000000000014
2022-06-14,2.398,2.234,2.41,2.216,6.86%,0.15399999999999991
2022-06-13,2.244,2.055,2.266,2.047,8.35%,0.17300000000000004
2022-06-10,2.071,1.987,2.074,1.938,4.07%,0.08100000000000018
2022-06-09,1.99,1.884,1.998,1.862,5.85%,0.1100000000000001
2022-06-08,1.88,1.868,1.899,1.841,2.23%,0.040999999999999925
2022-06-07,1.839,1.893,1.894,1.818,-1.21%,-0.02300000000000013
2022-06-06,1.862,1.811,1.865,1.794,1.28%,0.02400000000000002
2022-06-03,1.838,1.807,1.855,1.796,1.49%,0.027000000000000135
2022-06-02,1.811,1.725,1.815,1.725,3.13%,0.05499999999999994
2022-06-01,1.756,1.673,1.756,1.664,4.40%,0.07400000000000007
2022-05-31,1.682,1.643,1.707,1.59,4.21%,0.06799999999999984
2022-05-30,1.614,1.588,1.636,1.568,7.28%,0.10900000000000021
2022-05-29,1.505,1.505,1.505,1.505,-1.15%,-0.017000000000000126
2022-05-27,1.522,1.536,1.563,1.491,-2.19%,-0.03400000000000003
2022-05-26,1.556,1.504,1.565,1.454,2.44%,0.037000000000000144
2022-05-25,1.519,1.54,1.556,1.472,-0.59%,-0.009000000000000119
2022-05-24,1.528,1.554,1.598,1.511,-2.68%,-0.04200000000000004
2022-05-23,1.57,1.53,1.592,1.476,3.97%,0.06000000000000005
2022-05-20,1.51,1.514,1.537,1.46,1.14%,0.016999999999999904
2022-05-19,1.493,1.545,1.548,1.431,-3.43%,-0.052999999999999936
2022-05-18,1.546,1.592,1.621,1.526,-1.59%,-0.02499999999999991
2022-05-17,1.571,1.514,1.589,1.492,7.31%,0.10699999999999998
2022-05-16,1.464,1.452,1.537,1.447,0.76%,0.010999999999999899
2022-05-14,1.453,1.453,1.453,1.453,-1.16%,-0.016999999999999904
2022-05-13,1.47,1.425,1.491,1.406,5.60%,0.07800000000000007
2022-05-12,1.392,1.437,1.446,1.366,-7.45%,-0.1120000000000001
2022-05-11,1.504,1.536,1.622,1.485,-1.57%,-0.02400000000000002
2022-05-10,1.528,1.625,1.656,1.52,-6.32%,-0.10299999999999998
2022-05-09,1.631,1.641,1.712,1.621,-1.51%,-0.02499999999999991
2022-05-06,1.656,1.533,1.675,1.526,6.29%,0.09799999999999986
2022-05-05,1.558,1.498,1.564,1.424,4.07%,0.06099999999999994
2022-05-04,1.497,1.547,1.556,1.493,1.22%,0.018000000000000016
2022-05-03,1.479,1.475,1.53,1.434,0.27%,0.0040000000000000036
2022-05-02,1.475,1.445,1.48,1.41,2.43%,0.03500000000000014
2022-04-29,1.44,1.38,1.449,1.366,4.61%,0.06299999999999994
2022-04-28,1.377,1.283,1.401,1.242,6.38%,0.08299999999999996
2022-04-27,1.294,1.298,1.332,1.258,0.00%,0.0
2022-04-26,1.294,1.357,1.361,1.264,0.15%,0.0020000000000000018
2022-04-25,1.292,1.421,1.422,1.276,-10.65%,-0.15399999999999991
2022-04-22,1.446,1.416,1.446,1.373,2.26%,0.03200000000000003
2022-04-21,1.414,1.378,1.416,1.332,6.08%,0.08099999999999996
2022-04-20,1.333,1.415,1.429,1.308,-4.44%,-0.062000000000000055
2022-04-19,1.395,1.372,1.442,1.357,4.89%,0.06499999999999995
2022-04-18,1.33,1.337,1.337,1.33,0.30%,0.0040000000000000036
2022-04-15,1.326,1.337,1.337,1.326,-2.00%,-0.026999999999999913
2022-04-14,1.353,1.293,1.359,1.258,6.62%,0.08400000000000007
2022-04-13,1.269,1.375,1.377,1.258,-0.94%,-0.01200000000000001
