Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,2.766,2.816,2.949,2.719,-3.52%,-0.10099999999999998
2022-09-29,2.867,2.816,2.949,2.816,2.43%,0.06800000000000006
2022-09-28,2.799,2.928,2.998,2.778,-2.47%,-0.07100000000000017
2022-09-27,2.87,2.782,2.908,2.683,4.78%,0.13100000000000023
2022-09-26,2.739,2.742,2.773,2.68,3.71%,0.09799999999999986
2022-09-23,2.641,2.561,2.72,2.504,2.72%,0.06999999999999984
2022-09-22,2.571,2.526,2.604,2.414,3.79%,0.0940000000000003
2022-09-21,2.477,2.492,2.511,2.432,-1.98%,-0.050000000000000266
2022-09-20,2.527,2.41,2.548,2.395,5.95%,0.14200000000000035
2022-09-19,2.385,2.329,2.419,2.326,2.01%,0.04699999999999971
2022-09-17,2.338,2.338,2.338,2.338,0.00%,0.0
2022-09-16,2.338,2.388,2.405,2.332,-0.17%,-0.0040000000000000036
2022-09-15,2.342,2.358,2.372,2.292,1.56%,0.03600000000000003
2022-09-14,2.306,2.33,2.392,2.286,-1.54%,-0.03600000000000003
2022-09-13,2.342,2.326,2.378,2.262,2.05%,0.04700000000000015
2022-09-12,2.295,2.388,2.413,2.279,-2.01%,-0.04700000000000015
2022-09-09,2.342,2.344,2.423,2.275,1.39%,0.03200000000000003
2022-09-08,2.31,2.15,2.331,2.148,5.00%,0.10999999999999988
2022-09-07,2.2,2.268,2.288,2.169,-2.70%,-0.06099999999999994
2022-09-06,2.261,2.238,2.302,2.131,0.89%,0.020000000000000018
2022-09-05,2.241,2.159,2.281,2.159,2.28%,0.050000000000000266
2022-09-02,2.191,2.185,2.269,2.132,-1.04%,-0.02300000000000013
2022-09-01,2.214,2.235,2.289,2.197,1.42%,0.03100000000000014
2022-08-31,2.183,2.115,2.238,2.104,1.72%,0.03699999999999992
2022-08-30,2.146,2.122,2.198,2.08,-0.74%,-0.016000000000000014
2022-08-29,2.162,2.157,2.206,2.104,6.35%,0.129
2022-08-26,2.033,1.951,2.087,1.949,4.15%,0.08099999999999996
2022-08-25,1.952,1.997,2.016,1.946,-2.79%,-0.05600000000000005
2022-08-24,2.008,2.001,2.041,1.94,3.56%,0.06899999999999995
2022-08-23,1.939,1.885,2.006,1.855,0.78%,0.015000000000000124
2022-08-22,1.924,1.822,1.939,1.802,4.23%,0.07799999999999985
2022-08-19,1.846,1.787,1.874,1.77,7.39%,0.127
2022-08-18,1.719,1.759,1.777,1.677,0.82%,0.014000000000000012
2022-08-17,1.705,1.576,1.737,1.576,7.64%,0.121
2022-08-16,1.584,1.492,1.613,1.489,6.24%,0.09299999999999997
2022-08-15,1.491,1.57,1.618,1.477,-5.57%,-0.08799999999999986
2022-08-12,1.579,1.589,1.64,1.551,0.96%,0.014999999999999902
2022-08-11,1.564,1.511,1.595,1.421,5.11%,0.07600000000000007
2022-08-10,1.488,1.511,1.539,1.421,-1.33%,-0.020000000000000018
2022-08-09,1.508,1.472,1.56,1.444,2.38%,0.03499999999999992
2022-08-08,1.473,1.462,1.545,1.363,-3.73%,-0.05699999999999994
2022-08-05,1.53,1.462,1.545,1.363,9.76%,0.13600000000000012
2022-08-04,1.394,1.462,1.498,1.363,-5.11%,-0.07500000000000018
2022-08-03,1.469,1.435,1.526,1.425,3.89%,0.05500000000000016
2022-08-02,1.414,1.324,1.432,1.282,2.69%,0.03699999999999992
2022-08-01,1.377,1.438,1.492,1.361,-2.38%,-0.03400000000000003
2022-07-30,1.411,1.411,1.411,1.411,-0.67%,-0.008999999999999897
2022-07-29,1.42,1.432,1.533,1.4,0.71%,0.010000000000000009
2022-07-28,1.41,1.615,1.63,1.404,-10.02%,-0.15700000000000003
2022-07-27,1.567,1.575,1.614,1.543,0.77%,0.01200000000000001
2022-07-26,1.555,1.629,1.641,1.535,-5.36%,-0.08800000000000008
2022-07-25,1.643,1.673,1.722,1.637,-1.26%,-0.020999999999999908
2022-07-22,1.664,1.816,1.829,1.599,-9.76%,-0.18000000000000016
2022-07-21,1.844,1.888,1.99,1.815,-1.13%,-0.020999999999999908
2022-07-20,1.865,1.853,1.89,1.773,-1.22%,-0.02299999999999991
2022-07-19,1.888,1.794,1.913,1.784,2.66%,0.04899999999999993
2022-07-18,1.839,1.818,1.89,1.81,4.02%,0.07099999999999995
2022-07-15,1.768,1.75,1.822,1.724,-1.45%,-0.026000000000000023
2022-07-14,1.794,1.788,1.893,1.788,1.41%,0.025000000000000133
2022-07-13,1.769,1.793,1.852,1.736,1.09%,0.018999999999999906
2022-07-12,1.75,1.865,1.867,1.717,-7.21%,-0.1359999999999999
2022-07-11,1.886,1.958,1.96,1.848,-4.94%,-0.09800000000000009
2022-07-08,1.984,1.925,1.999,1.894,1.90%,0.03699999999999992
2022-07-07,1.947,1.896,1.991,1.89,4.68%,0.08699999999999997
2022-07-06,1.86,1.921,1.934,1.771,-1.85%,-0.03499999999999992
2022-07-05,1.895,2.014,2.039,1.879,-5.96%,-0.1200000000000001
2022-07-04,2.015,1.938,2.044,1.918,7.18%,0.13500000000000023
2022-07-01,1.88,2.025,2.1,1.809,-7.98%,-0.16300000000000026
2022-06-30,2.043,2.118,2.12,2.019,-5.33%,-0.11499999999999977
2022-06-29,2.158,2.246,2.284,2.136,-4.43%,-0.10000000000000009
2022-06-28,2.258,2.189,2.3,2.185,3.82%,0.08300000000000018
2022-06-27,2.175,2.096,2.201,2.078,5.94%,0.12199999999999989
2022-06-25,2.053,2.053,2.053,2.053,-0.19%,-0.0040000000000000036
2022-06-24,2.057,2.036,2.133,1.985,-0.48%,-0.010000000000000231
2022-06-23,2.067,2.268,2.282,2.025,-8.38%,-0.1889999999999996
2022-06-22,2.256,2.349,2.359,2.214,-6.43%,-0.15500000000000025
2022-06-21,2.411,2.392,2.444,2.353,0.25%,0.006000000000000227
2022-06-20,2.405,2.316,2.407,2.288,4.52%,0.10399999999999965
2022-06-17,2.301,2.349,2.42,2.235,-1.96%,-0.04599999999999982
2022-06-16,2.347,2.302,2.567,2.291,1.78%,0.040999999999999925
2022-06-15,2.306,2.305,2.528,2.229,-7.13%,-0.17700000000000005
2022-06-14,2.483,2.305,2.489,2.277,6.70%,0.15600000000000014
2022-06-13,2.327,2.232,2.34,2.195,7.68%,0.16599999999999993
2022-06-10,2.161,2.08,2.177,2.026,5.67%,0.1160000000000001
2022-06-09,2.045,1.98,2.09,1.918,4.23%,0.08299999999999996
2022-06-08,1.962,1.913,1.981,1.901,3.37%,0.06400000000000006
2022-06-07,1.898,1.949,1.957,1.875,-1.56%,-0.030000000000000027
2022-06-06,1.928,1.841,1.95,1.84,2.66%,0.050000000000000044
2022-06-03,1.878,1.843,1.899,1.827,1.95%,0.03599999999999981
2022-06-02,1.842,1.791,1.855,1.784,2.91%,0.052000000000000046
2022-06-01,1.79,1.733,1.79,1.705,4.80%,0.08200000000000007
2022-05-31,1.708,1.663,1.747,1.616,4.08%,0.06699999999999995
2022-05-30,1.641,1.617,1.67,1.604,5.73%,0.08899999999999997
2022-05-29,1.552,1.552,1.552,1.552,-0.32%,-0.004999999999999893
2022-05-27,1.557,1.57,1.606,1.523,-2.14%,-0.03400000000000003
2022-05-26,1.591,1.537,1.613,1.481,1.73%,0.026999999999999913
2022-05-25,1.564,1.576,1.587,1.515,-0.45%,-0.006999999999999895
2022-05-24,1.571,1.62,1.641,1.549,-3.20%,-0.052000000000000046
2022-05-23,1.623,1.568,1.633,1.529,5.32%,0.08200000000000007
2022-05-20,1.541,1.563,1.587,1.52,0.26%,0.0040000000000000036
2022-05-19,1.537,1.59,1.603,1.479,-4.12%,-0.06600000000000006
2022-05-18,1.603,1.635,1.67,1.577,-0.93%,-0.015000000000000124
2022-05-17,1.618,1.584,1.646,1.548,6.45%,0.09800000000000009
2022-05-16,1.52,1.51,1.61,1.502,0.40%,0.006000000000000005
2022-05-14,1.514,1.514,1.514,1.514,-0.53%,-0.008000000000000007
2022-05-13,1.522,1.467,1.543,1.446,6.21%,0.08899999999999997
2022-05-12,1.433,1.495,1.497,1.424,-8.38%,-0.131
2022-05-11,1.564,1.599,1.687,1.533,-2.07%,-0.03299999999999992
2022-05-10,1.597,1.707,1.714,1.573,-5.11%,-0.08600000000000008
2022-05-09,1.683,1.734,1.781,1.682,-2.38%,-0.040999999999999925
2022-05-06,1.724,1.631,1.753,1.605,6.09%,0.09899999999999998
2022-05-05,1.625,1.559,1.64,1.477,3.11%,0.04899999999999993
2022-05-04,1.576,1.589,1.616,1.551,2.40%,0.037000000000000144
2022-05-03,1.539,1.571,1.603,1.492,-0.65%,-0.010000000000000009
2022-05-02,1.549,1.528,1.562,1.476,2.24%,0.03400000000000003
2022-04-29,1.515,1.428,1.531,1.42,4.20%,0.06099999999999994
2022-04-28,1.454,1.355,1.482,1.311,7.86%,0.10599999999999987
2022-04-27,1.348,1.39,1.407,1.335,-0.74%,-0.010000000000000009
2022-04-26,1.358,1.396,1.433,1.334,-0.29%,-0.0040000000000000036
2022-04-25,1.362,1.406,1.477,1.347,-7.79%,-0.11499999999999999
2022-04-22,1.477,1.421,1.505,1.407,1.93%,0.028000000000000025
2022-04-21,1.449,1.416,1.469,1.367,4.62%,0.06400000000000006
2022-04-20,1.385,1.432,1.454,1.349,-2.67%,-0.038000000000000034
2022-04-19,1.423,1.342,1.483,1.34,5.41%,0.07299999999999995
2022-04-18,1.35,1.357,1.357,1.35,-0.52%,-0.006999999999999895
2022-04-15,1.357,1.357,1.357,1.349,-0.22%,-0.0030000000000001137
2022-04-14,1.36,1.335,1.387,1.249,5.18%,0.06700000000000017
2022-04-13,1.293,1.369,1.409,1.269,-1.07%,-0.014000000000000012
2022-04-12,1.307,1.336,1.403,1.268,-1.13%,-0.015000000000000124
2022-04-11,1.322,1.261,1.343,1.25,5.76%,0.07200000000000006
2022-04-08,1.25,1.23,1.308,1.214,2.38%,0.028999999999999915
2022-04-07,1.221,1.182,1.288,1.143,3.04%,0.03600000000000003
2022-04-06,1.185,1.173,1.269,1.165,1.20%,0.014000000000000012
2022-04-05,1.171,1.062,1.195,1.055,13.58%,0.14000000000000012
2022-04-04,1.031,1.048,1.102,0.983,-2.00%,-0.02100000000000013
2022-04-01,1.052,1.114,1.133,0.999,2.94%,0.030000000000000027
2022-03-31,1.022,1.114,1.125,0.999,-8.83%,-0.09899999999999998
2022-03-30,1.121,1.101,1.194,1.091,2.09%,0.02299999999999991
2022-03-29,1.098,1.059,1.195,1.05,7.33%,0.07500000000000018
2022-03-28,1.023,1.062,1.092,1.001,-1.92%,-0.020000000000000018
2022-03-25,1.043,0.989,1.051,0.957,4.09%,0.040999999999999925
2022-03-24,1.002,0.97,1.038,0.946,3.19%,0.031000000000000028
2022-03-23,0.971,0.988,0.997,0.948,-1.42%,-0.014000000000000012
2022-03-22,0.985,0.898,1.011,0.897,3.25%,0.031000000000000028
2022-03-21,0.954,0.898,0.96,0.897,8.78%,0.07699999999999996
2022-03-18,0.877,0.899,0.916,0.85,-2.23%,-0.020000000000000018
2022-03-17,0.897,0.907,0.921,0.869,-1.86%,-0.017000000000000015
2022-03-16,0.914,0.92,0.935,0.878,4.22%,0.03700000000000003
2022-03-15,0.877,0.898,0.913,0.861,-3.84%,-0.03500000000000003
2022-03-14,0.912,0.829,0.92,0.828,14.29%,0.11399999999999999
2022-03-11,0.798,0.814,0.855,0.795,-1.72%,-0.014000000000000012
2022-03-10,0.812,0.72,0.837,0.669,12.93%,0.09300000000000008
2022-03-09,0.719,0.63,0.732,0.599,14.49%,0.09099999999999997
2022-03-08,0.628,0.534,0.65,0.534,16.08%,0.08699999999999997
2022-03-07,0.541,0.511,0.562,0.487,6.50%,0.03300000000000003
2022-03-04,0.508,0.553,0.557,0.485,-8.96%,-0.050000000000000044
2022-03-03,0.558,0.544,0.612,0.541,2.76%,0.015000000000000013
2022-03-02,0.543,0.43,0.546,0.427,36.09%,0.14400000000000002
2022-03-01,0.399,0.624,0.626,0.397,-37.75%,-0.242
2022-02-28,0.641,0.679,0.719,0.641,-11.71%,-0.08499999999999996
2022-02-25,0.726,0.706,0.734,0.665,6.30%,0.04299999999999993
2022-02-24,0.683,0.698,0.724,0.66,-8.57%,-0.06399999999999995
2022-02-23,0.747,0.763,0.784,0.742,-0.93%,-0.007000000000000006
2022-02-22,0.754,0.69,0.793,0.69,2.31%,0.017000000000000015
2022-02-21,0.737,0.73,0.755,0.696,3.95%,0.028000000000000025
2022-02-18,0.709,0.734,0.74,0.703,-1.94%,-0.014000000000000012
2022-02-17,0.723,0.766,0.78,0.719,-6.71%,-0.052000000000000046
2022-02-16,0.775,0.814,0.826,0.752,-3.61%,-0.029000000000000026
2022-02-15,0.804,0.758,0.827,0.748,3.88%,0.030000000000000027
2022-02-14,0.774,0.715,0.776,0.687,-0.64%,-0.0050000000000000044
2022-02-11,0.779,0.748,0.782,0.725,2.77%,0.02100000000000002
2022-02-10,0.758,0.691,0.773,0.682,12.13%,0.08199999999999996
2022-02-09,0.676,0.683,0.705,0.661,-6.89%,-0.04999999999999993
2022-02-08,0.726,0.702,0.742,0.654,7.08%,0.04799999999999993
2022-02-07,0.678,0.644,0.707,0.641,4.95%,0.03200000000000003
2022-02-04,0.646,0.635,0.673,0.583,28.17%,0.14200000000000002
2022-02-03,0.504,0.374,0.521,0.358,37.70%,0.138
2022-02-02,0.366,0.352,0.389,0.334,-2.40%,-0.009000000000000008
2022-02-01,0.375,0.352,0.379,0.316,7.45%,0.026000000000000023
2022-01-31,0.349,0.301,0.368,0.284,19.93%,0.057999999999999996
2022-01-28,0.291,0.287,0.335,0.276,7.38%,0.019999999999999962
