Date,Price,Open,High,Low,Change %,Change_num
2022-09-29,3.17,3.102,3.228,3.078,2.69%,0.08299999999999974
2022-09-28,3.087,3.341,3.368,3.041,-7.05%,-0.23399999999999999
2022-09-27,3.321,3.198,3.361,3.134,2.91%,0.0940000000000003
2022-09-26,3.227,3.093,3.241,3.093,5.11%,0.15700000000000003
2022-09-23,3.07,3.143,3.198,3.032,-1.85%,-0.058000000000000274
2022-09-22,3.128,3.052,3.182,3.034,2.83%,0.0860000000000003
2022-09-21,3.042,3.119,3.126,3.027,-2.09%,-0.06500000000000039
2022-09-20,3.107,3.206,3.206,3.096,-1.40%,-0.043999999999999595
2022-09-19,3.151,3.158,3.215,3.132,0.13%,0.0040000000000000036
2022-09-16,3.147,3.17,3.187,3.127,-0.06%,-0.002000000000000224
2022-09-15,3.149,3.195,3.239,3.141,-0.32%,-0.009999999999999787
2022-09-14,3.159,3.224,3.268,3.156,-1.16%,-0.037000000000000366
2022-09-13,3.196,3.102,3.239,3.058,1.65%,0.052000000000000046
2022-09-12,3.144,3.157,3.169,3.079,0.38%,0.01200000000000001
2022-09-09,3.132,3.221,3.221,3.091,-1.97%,-0.06299999999999972
2022-09-08,3.195,3.169,3.207,3.075,1.65%,0.052000000000000046
2022-09-07,3.143,3.218,3.218,3.117,-1.75%,-0.05600000000000005
2022-09-06,3.199,3.146,3.244,3.118,3.36%,0.10399999999999965
2022-09-02,3.095,3.189,3.198,3.076,-2.55%,-0.08099999999999996
2022-09-01,3.176,3.127,3.22,3.121,1.66%,0.052000000000000046
2022-08-31,3.124,3.115,3.133,3.054,1.66%,0.051000000000000156
2022-08-30,3.073,3.112,3.115,3.024,-0.32%,-0.010000000000000231
2022-08-29,3.083,3.045,3.123,3.045,2.19%,0.06600000000000028
2022-08-26,3.017,3.055,3.097,3.002,0.10%,0.0030000000000001137
2022-08-25,3.014,3.067,3.129,3.008,-2.65%,-0.0820000000000003
2022-08-24,3.096,3.035,3.129,3.021,1.81%,0.05500000000000016
2022-08-23,3.041,3.009,3.086,2.997,0.83%,0.02499999999999991
2022-08-22,3.016,2.944,3.025,2.942,2.31%,0.06800000000000006
2022-08-19,2.948,2.867,2.963,2.867,3.77%,0.10699999999999976
2022-08-18,2.841,2.845,2.887,2.799,-0.66%,-0.018999999999999684
2022-08-17,2.86,2.776,2.89,2.776,3.89%,0.10699999999999976
2022-08-16,2.753,2.708,2.822,2.696,2.15%,0.058000000000000274
2022-08-15,2.695,2.746,2.755,2.646,-1.57%,-0.04300000000000015
2022-08-12,2.738,2.78,2.806,2.736,-1.76%,-0.04899999999999993
2022-08-11,2.787,2.683,2.797,2.617,4.19%,0.1120000000000001
2022-08-10,2.675,2.714,2.718,2.604,-1.00%,-0.027000000000000135
2022-08-09,2.702,2.694,2.758,2.694,0.93%,0.02499999999999991
2022-08-08,2.677,2.763,2.763,2.671,-2.58%,-0.07100000000000017
2022-08-05,2.748,2.681,2.797,2.681,2.42%,0.06500000000000039
2022-08-04,2.683,2.739,2.768,2.656,-1.32%,-0.03600000000000003
2022-08-03,2.719,2.68,2.812,2.68,0.30%,0.008000000000000007
2022-08-02,2.711,2.631,2.723,2.475,3.83%,0.09999999999999964
2022-07-29,2.611,2.635,2.685,2.55,-0.34%,-0.008999999999999897
2022-07-28,2.62,2.754,2.787,2.604,-5.28%,-0.1459999999999999
2022-07-27,2.766,2.806,2.842,2.699,-2.09%,-0.05900000000000016
2022-07-26,2.825,2.825,2.884,2.75,-1.46%,-0.041999999999999815
2022-07-25,2.867,2.875,2.92,2.852,0.92%,0.0259999999999998
2022-07-22,2.841,2.97,2.97,2.825,-3.60%,-0.10599999999999987
2022-07-21,2.947,3.125,3.179,2.943,-5.45%,-0.16999999999999993
2022-07-20,3.117,3.113,3.13,3.024,1.07%,0.03299999999999992
2022-07-19,3.084,3.094,3.127,3.068,0.39%,0.01200000000000001
2022-07-18,3.072,3.115,3.155,3.066,0.07%,0.002000000000000224
2022-07-15,3.07,3.113,3.167,3.068,-2.29%,-0.07200000000000006
2022-07-14,3.142,3.181,3.22,3.128,-0.41%,-0.0129999999999999
2022-07-13,3.155,3.191,3.271,3.141,-1.10%,-0.03500000000000014
2022-07-12,3.19,3.219,3.225,3.131,-1.66%,-0.05400000000000027
2022-07-11,3.244,3.299,3.319,3.214,-1.58%,-0.0519999999999996
2022-07-08,3.296,3.218,3.317,3.199,2.42%,0.07799999999999985
2022-07-07,3.218,3.173,3.235,3.153,0.81%,0.0259999999999998
2022-07-06,3.192,3.1,3.195,3.026,3.74%,0.11500000000000021
2022-07-05,3.077,3.202,3.216,3.033,-3.09%,-0.09799999999999986
2022-07-04,3.175,3.249,3.249,3.162,-1.55%,-0.050000000000000266
2022-06-30,3.225,3.32,3.329,3.206,-2.66%,-0.08800000000000008
2022-06-29,3.313,3.333,3.362,3.284,-0.63%,-0.020999999999999908
2022-06-28,3.334,3.354,3.446,3.33,-1.39%,-0.04699999999999971
2022-06-27,3.381,3.355,3.398,3.322,1.44%,0.0479999999999996
2022-06-24,3.333,3.323,3.344,3.248,0.82%,0.027000000000000135
2022-06-23,3.306,3.356,3.374,3.224,-3.36%,-0.11499999999999977
2022-06-22,3.421,3.444,3.454,3.38,-2.26%,-0.07900000000000018
