Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,2.794,2.82,2.947,2.713,-2.14%,-0.06099999999999994
2022-09-29,2.855,2.82,2.947,2.805,3.03%,0.08400000000000007
2022-09-28,2.771,2.908,2.99,2.75,-2.91%,-0.08300000000000018
2022-09-27,2.854,2.787,2.899,2.661,4.54%,0.12400000000000011
2022-09-26,2.73,2.744,2.774,2.678,2.40%,0.06400000000000006
2022-09-23,2.666,2.576,2.74,2.514,2.62%,0.06800000000000006
2022-09-22,2.598,2.52,2.621,2.426,4.72%,0.11699999999999999
2022-09-21,2.481,2.482,2.523,2.433,-1.63%,-0.040999999999999925
2022-09-20,2.522,2.438,2.563,2.403,4.86%,0.11699999999999999
2022-09-19,2.405,2.335,2.42,2.326,3.17%,0.07399999999999984
2022-09-17,2.331,2.331,2.331,2.331,-0.17%,-0.0040000000000000036
2022-09-16,2.335,2.38,2.409,2.33,-0.04%,-0.0009999999999998899
2022-09-15,2.336,2.331,2.36,2.285,2.41%,0.054999999999999716
2022-09-14,2.281,2.29,2.367,2.254,-0.70%,-0.016000000000000014
2022-09-13,2.297,2.247,2.344,2.207,8.91%,0.18800000000000017
2022-09-12,2.109,2.193,2.21,2.091,-1.72%,-0.03699999999999992
2022-09-09,2.146,2.197,2.246,2.094,-0.19%,-0.0040000000000000036
2022-09-08,2.15,2.003,2.162,1.988,5.50%,0.1120000000000001
2022-09-07,2.038,2.088,2.103,2.005,-1.97%,-0.04100000000000037
2022-09-06,2.079,2.031,2.111,1.937,2.26%,0.04600000000000026
2022-09-05,2.033,1.946,2.06,1.946,1.90%,0.03799999999999981
2022-09-02,1.995,2.01,2.07,1.94,-1.92%,-0.0389999999999997
2022-09-01,2.034,2.057,2.099,2.01,1.80%,0.03599999999999981
2022-08-31,1.998,1.927,2.045,1.919,2.04%,0.040000000000000036
2022-08-30,1.958,1.947,2.013,1.898,-0.36%,-0.007000000000000117
2022-08-29,1.965,1.964,2.013,1.926,6.97%,0.1280000000000001
2022-08-26,1.837,1.765,1.886,1.763,4.20%,0.07400000000000007
2022-08-25,1.763,1.801,1.818,1.753,-2.49%,-0.04500000000000015
2022-08-24,1.808,1.796,1.832,1.732,3.49%,0.06099999999999994
2022-08-23,1.747,1.692,1.804,1.667,0.40%,0.007000000000000117
2022-08-22,1.74,1.612,1.74,1.594,5.39%,0.08899999999999997
2022-08-19,1.651,1.59,1.666,1.574,8.33%,0.127
2022-08-18,1.524,1.564,1.564,1.482,1.74%,0.026000000000000023
2022-08-17,1.498,1.39,1.532,1.39,7.00%,0.09800000000000009
2022-08-16,1.4,1.328,1.422,1.318,5.90%,0.07799999999999985
2022-08-15,1.322,1.398,1.434,1.297,-5.91%,-0.08299999999999996
2022-08-12,1.405,1.403,1.446,1.366,1.15%,0.016000000000000014
2022-08-11,1.389,1.328,1.408,1.239,5.79%,0.07600000000000007
2022-08-10,1.313,1.328,1.35,1.239,-1.94%,-0.026000000000000023
2022-08-09,1.339,1.297,1.38,1.274,2.84%,0.03699999999999992
2022-08-08,1.302,1.281,1.372,1.185,-4.69%,-0.06400000000000006
2022-08-05,1.366,1.281,1.372,1.185,11.97%,0.14600000000000013
2022-08-04,1.22,1.281,1.315,1.185,-5.28%,-0.06800000000000006
2022-08-03,1.288,1.222,1.335,1.214,6.89%,0.08299999999999996
2022-08-02,1.205,1.125,1.221,1.08,2.64%,0.03100000000000014
2022-08-01,1.174,1.246,1.289,1.156,-2.53%,-0.030000000000000027
2022-07-30,1.204,1.204,1.204,1.204,-1.51%,-0.019000000000000128
2022-07-29,1.223,1.241,1.33,1.216,0.16%,0.0020000000000000018
2022-07-28,1.221,1.41,1.424,1.209,-11.26%,-0.1549999999999998
2022-07-27,1.376,1.366,1.399,1.337,1.55%,0.020999999999999908
2022-07-26,1.355,1.433,1.442,1.321,-6.68%,-0.09699999999999998
2022-07-25,1.452,1.465,1.51,1.433,-0.48%,-0.007000000000000117
2022-07-22,1.459,1.616,1.625,1.402,-11.84%,-0.19599999999999995
2022-07-21,1.655,1.686,1.811,1.632,-1.55%,-0.026000000000000023
2022-07-20,1.681,1.668,1.707,1.591,-0.83%,-0.014000000000000012
2022-07-19,1.695,1.578,1.721,1.574,3.67%,0.06000000000000005
2022-07-18,1.635,1.592,1.662,1.577,5.08%,0.07899999999999996
2022-07-15,1.556,1.511,1.599,1.484,-1.27%,-0.020000000000000018
2022-07-14,1.576,1.566,1.677,1.56,1.55%,0.02400000000000002
2022-07-13,1.552,1.565,1.628,1.518,1.04%,0.016000000000000014
2022-07-12,1.536,1.628,1.635,1.501,-7.53%,-0.125
