Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,2.721,2.771,2.783,2.672,-3.20%,-0.08999999999999986
2022-09-29,2.811,2.814,2.902,2.773,1.96%,0.053999999999999826
2022-09-28,2.757,2.859,2.954,2.735,-2.61%,-0.07399999999999984
2022-09-27,2.831,2.732,2.862,2.646,4.97%,0.1339999999999999
2022-09-26,2.697,2.679,2.723,2.641,3.61%,0.09399999999999986
2022-09-23,2.603,2.537,2.675,2.468,2.84%,0.07200000000000006
2022-09-22,2.531,2.457,2.558,2.378,3.64%,0.08899999999999997
2022-09-21,2.442,2.439,2.465,2.395,-1.93%,-0.04800000000000004
2022-09-20,2.49,2.357,2.507,2.355,5.96%,0.14000000000000012
2022-09-19,2.35,2.317,2.375,2.289,2.09%,0.04800000000000004
2022-09-17,2.302,2.302,2.302,2.302,0.04%,0.0009999999999998899
2022-09-16,2.301,2.366,2.369,2.295,0.13%,0.0030000000000001137
2022-09-15,2.298,2.298,2.328,2.25,1.50%,0.03400000000000025
2022-09-14,2.264,2.27,2.348,2.244,-1.14%,-0.026000000000000245
2022-09-13,2.29,2.228,2.32,2.203,3.01%,0.06700000000000017
2022-09-12,2.223,2.314,2.33,2.208,-1.77%,-0.040000000000000036
2022-09-09,2.263,2.321,2.358,2.205,0.44%,0.009999999999999787
2022-09-08,2.253,2.109,2.274,2.101,4.60%,0.0990000000000002
2022-09-07,2.154,2.203,2.233,2.123,-2.36%,-0.052000000000000046
2022-09-06,2.206,2.193,2.246,2.084,0.87%,0.019000000000000128
2022-09-05,2.187,2.119,2.219,2.107,1.48%,0.03200000000000003
2022-09-02,2.155,2.158,2.226,2.098,-1.37%,-0.03000000000000025
2022-09-01,2.185,2.205,2.26,2.171,1.63%,0.03500000000000014
2022-08-31,2.15,2.113,2.21,2.075,1.22%,0.0259999999999998
2022-08-30,2.124,2.094,2.169,2.054,-0.28%,-0.005999999999999783
2022-08-29,2.13,2.144,2.18,2.082,6.02%,0.121
2022-08-26,2.009,1.931,2.06,1.924,3.88%,0.07499999999999996
2022-08-25,1.934,1.984,1.993,1.927,-2.47%,-0.049000000000000155
