Date,Price,Open,High,Low,Change %,Change_num
2022-09-29,3.387,3.339,3.403,3.33,1.56%,0.052000000000000046
2022-09-28,3.335,3.194,3.44,3.194,4.51%,0.14400000000000013
2022-09-22,3.191,3.17,3.211,3.145,0.81%,0.0259999999999998
2022-09-21,3.165,3.178,3.188,3.155,-0.38%,-0.0129999999999999
2022-09-20,3.178,3.132,3.2,3.098,1.89%,0.06000000000000005
2022-09-19,3.118,3.101,3.138,3.082,1.14%,0.0349999999999997
2022-09-18,3.083,3.148,3.148,3.073,-1.86%,-0.05899999999999972
2022-09-15,3.142,3.119,3.146,3.109,0.83%,0.0259999999999998
2022-09-14,3.116,3.071,3.149,3.065,1.58%,0.04800000000000004
2022-09-13,3.068,2.989,3.094,2.984,2.71%,0.08099999999999996
2022-09-12,2.987,3.066,3.066,2.986,-2.42%,-0.07299999999999995
2022-09-11,3.06,3.004,3.076,3.004,1.29%,0.038000000000000256
2022-09-08,3.022,3.039,3.04,2.987,-0.07%,-0.001000000000000334
2022-09-07,3.023,3.038,3.067,3.012,-0.31%,-0.009999999999999787
2022-09-06,3.033,2.955,3.039,2.955,2.66%,0.07899999999999974
2022-09-05,2.954,2.929,2.976,2.929,0.85%,0.02400000000000002
2022-09-04,2.93,2.975,2.98,2.918,-1.26%,-0.03699999999999992
2022-09-01,2.967,2.918,2.997,2.918,1.96%,0.05699999999999994
2022-08-31,2.91,2.858,2.937,2.846,2.02%,0.058000000000000274
2022-08-30,2.852,2.852,2.867,2.833,0.00%,0.0
2022-08-29,2.852,2.802,2.875,2.802,1.86%,0.052000000000000046
2022-08-28,2.8,2.793,2.819,2.781,0.30%,0.008000000000000007
2022-08-25,2.792,2.775,2.811,2.759,0.76%,0.020999999999999908
2022-08-24,2.771,2.711,2.774,2.704,2.38%,0.06400000000000006
2022-08-23,2.707,2.664,2.753,2.658,1.58%,0.042999999999999705
2022-08-22,2.664,2.624,2.705,2.595,1.72%,0.04499999999999993
2022-08-21,2.619,2.496,2.624,2.496,5.14%,0.1280000000000001
2022-08-18,2.491,2.59,2.59,2.461,-3.13%,-0.08099999999999996
2022-08-17,2.572,2.485,2.589,2.471,3.92%,0.09699999999999998
2022-08-16,2.475,2.331,2.513,2.33,6.38%,0.14900000000000002
2022-08-15,2.326,2.355,2.38,2.302,-1.65%,-0.039000000000000146
2022-08-14,2.365,2.377,2.401,2.365,-0.73%,-0.017999999999999794
2022-08-11,2.383,2.431,2.444,2.362,-1.91%,-0.04700000000000015
2022-08-10,2.43,2.516,2.524,2.422,-2.92%,-0.07299999999999995
2022-08-09,2.503,2.481,2.51,2.451,0.87%,0.02200000000000024
2022-08-08,2.481,2.546,2.546,2.474,-0.30%,-0.008000000000000007
2022-08-04,2.489,2.514,2.53,2.462,-0.96%,-0.02400000000000002
2022-08-03,2.513,2.422,2.516,2.422,3.82%,0.09299999999999997
2022-08-02,2.42,2.379,2.421,2.353,1.26%,0.029999999999999805
2022-08-01,2.39,2.434,2.453,2.39,-1.44%,-0.0349999999999997
2022-07-31,2.425,2.445,2.46,2.424,-0.86%,-0.02100000000000035
2022-07-28,2.446,2.529,2.566,2.443,-3.11%,-0.07799999999999985
2022-07-27,2.524,2.546,2.549,2.516,-0.32%,-0.008999999999999897
2022-07-26,2.533,2.543,2.547,2.5,-0.47%,-0.01200000000000001
2022-07-25,2.545,2.573,2.573,2.488,-1.24%,-0.03100000000000014
2022-07-21,2.576,2.601,2.66,2.576,-0.83%,-0.021999999999999797
2022-07-20,2.598,2.618,2.619,2.58,-0.82%,-0.02100000000000035
2022-07-19,2.619,2.63,2.648,2.609,-0.29%,-0.007999999999999563
2022-07-18,2.627,2.598,2.63,2.577,1.17%,0.030999999999999694
2022-07-17,2.596,2.619,2.632,2.557,-0.95%,-0.0259999999999998
2022-07-14,2.622,2.654,2.664,2.579,-1.13%,-0.028999999999999915
2022-07-13,2.651,2.63,2.688,2.591,0.82%,0.020999999999999908
2022-07-12,2.63,2.7,2.7,2.621,-2.45%,-0.06600000000000028
2022-07-11,2.696,2.795,2.813,2.696,-3.40%,-0.09499999999999975
2022-07-10,2.791,2.681,2.793,2.681,5.16%,0.137
2022-07-07,2.654,2.615,2.708,2.615,1.59%,0.041999999999999815
2022-07-06,2.612,2.582,2.627,2.527,1.20%,0.03000000000000025
2022-07-05,2.582,2.625,2.669,2.572,-1.69%,-0.04400000000000004
2022-07-04,2.626,2.606,2.642,2.589,1.06%,0.02699999999999969
2022-07-03,2.599,2.639,2.64,2.578,-4.11%,-0.11099999999999977
2022-06-30,2.71,2.822,2.822,2.682,-3.37%,-0.0950000000000002
2022-06-29,2.805,2.845,2.845,2.802,-1.96%,-0.05600000000000005
2022-06-28,2.861,2.831,2.878,2.827,1.06%,0.03100000000000014
2022-06-27,2.83,2.839,2.891,2.826,-0.40%,-0.01200000000000001
2022-06-26,2.842,2.809,2.878,2.809,1.83%,0.051000000000000156
2022-06-23,2.791,2.932,2.934,2.777,-4.84%,-0.1419999999999999
2022-06-22,2.933,3.086,3.086,2.923,-4.90%,-0.15100000000000025
2022-06-21,3.084,3.1,3.122,3.078,-0.52%,-0.016000000000000014
2022-06-20,3.1,3.142,3.165,3.034,-1.15%,-0.03600000000000003
2022-06-19,3.136,3.197,3.211,3.131,-3.79%,-0.12399999999999967
2022-06-16,3.26,3.21,3.324,3.175,0.80%,0.0259999999999998
2022-06-15,3.234,3.237,3.301,3.207,0.05%,0.0019999999999997797
2022-06-14,3.232,3.22,3.251,3.179,0.45%,0.015000000000000124
2022-06-13,3.217,3.126,3.259,3.126,3.08%,0.0950000000000002
2022-06-12,3.122,2.987,3.131,2.987,4.57%,0.137
2022-06-09,2.985,2.987,2.994,2.957,-0.15%,-0.0050000000000003375
2022-06-08,2.99,2.888,3.016,2.874,3.57%,0.10400000000000009
2022-06-07,2.886,2.872,2.932,2.797,1.71%,0.04800000000000004
2022-06-06,2.838,2.737,2.843,2.734,3.60%,0.09799999999999986
2022-06-02,2.74,2.67,2.746,2.67,2.32%,0.06200000000000028
2022-06-01,2.678,2.611,2.678,2.602,2.84%,0.07499999999999973
2022-05-31,2.603,2.545,2.608,2.545,2.44%,0.06100000000000039
2022-05-30,2.542,2.524,2.569,2.517,0.79%,0.020000000000000018
2022-05-29,2.522,2.545,2.56,2.493,-0.85%,-0.02100000000000035
2022-05-26,2.543,2.573,2.573,2.499,-0.70%,-0.017999999999999794
2022-05-25,2.561,2.627,2.634,2.533,-2.49%,-0.06499999999999995
2022-05-24,2.626,2.632,2.671,2.621,0.08%,0.0009999999999998899
2022-05-23,2.625,2.529,2.625,2.529,3.86%,0.09799999999999986
2022-05-22,2.527,2.539,2.552,2.516,-0.43%,-0.010999999999999677
2022-05-19,2.538,2.608,2.619,2.535,-2.59%,-0.06700000000000017
2022-05-18,2.605,2.611,2.63,2.589,-0.31%,-0.008999999999999897
2022-05-17,2.614,2.604,2.632,2.592,0.27%,0.008000000000000007
