Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,4.294,4.198,4.308,4.198,2.21%,0.09299999999999997
2022-09-29,4.201,4.333,4.333,4.143,-3.05%,-0.13200000000000056
2022-09-28,4.333,4.28,4.333,4.28,1.24%,0.052999999999999936
2022-09-27,4.28,4.145,4.305,4.145,-0.45%,-0.019000000000000128
2022-09-26,4.299,4.163,4.301,4.163,3.73%,0.1540000000000008
2022-09-23,4.145,4.03,4.185,3.995,3.16%,0.12699999999999978
2022-09-22,4.018,4.03,4.06,3.995,-0.30%,-0.012000000000000455
2022-09-21,4.03,3.973,4.058,3.973,1.43%,0.057000000000000384
2022-09-20,3.973,4.03,4.03,3.973,-1.41%,-0.057000000000000384
2022-09-19,4.03,4.065,4.075,4.03,-1.53%,-0.06299999999999972
2022-09-18,4.093,4.082,4.093,4.082,0.68%,0.02799999999999958
2022-09-16,4.065,3.978,4.075,3.978,2.19%,0.08700000000000019
2022-09-15,3.978,4.013,4.048,3.978,-0.87%,-0.0349999999999997
2022-09-14,4.013,3.905,4.013,3.905,2.77%,0.1080000000000001
2022-09-13,3.905,3.943,3.96,3.903,-0.96%,-0.038000000000000256
2022-09-12,3.943,3.935,3.943,3.915,-0.24%,-0.009999999999999787
2022-09-11,3.953,3.95,3.953,3.95,0.44%,0.017999999999999794
2022-09-09,3.935,3.938,4.02,3.93,-0.08%,-0.0030000000000001137
2022-09-08,3.938,4.078,4.078,3.938,-3.43%,-0.14000000000000012
2022-09-07,4.078,4.013,4.09,4.013,1.62%,0.06500000000000039
2022-09-06,4.013,4.005,4.025,4.0,0.20%,0.008000000000000007
2022-09-05,4.005,3.995,4.005,3.953,0.41%,0.016000000000000014
2022-09-04,3.989,4.01,4.01,3.989,-0.16%,-0.006000000000000227
2022-09-02,3.995,4.035,4.043,3.975,-0.99%,-0.040000000000000036
2022-09-01,4.035,3.96,4.083,3.96,1.89%,0.07500000000000018
2022-08-31,3.96,3.965,3.965,3.96,-0.13%,-0.004999999999999893
2022-08-30,3.965,3.963,3.965,3.953,0.05%,0.0019999999999997797
2022-08-29,3.963,3.863,3.963,3.863,2.67%,0.1030000000000002
2022-08-26,3.86,3.88,3.88,3.84,-0.52%,-0.020000000000000018
2022-08-25,3.88,3.813,3.88,3.813,1.76%,0.06699999999999973
2022-08-24,3.813,3.788,3.86,3.788,0.66%,0.025000000000000355
2022-08-23,3.788,3.71,3.803,3.71,2.10%,0.07799999999999985
2022-08-22,3.71,3.563,3.71,3.563,2.25%,0.08199999999999985
2022-08-21,3.628,3.57,3.628,3.57,1.84%,0.06499999999999995
2022-08-19,3.563,3.51,3.563,3.5,1.51%,0.05300000000000038
2022-08-18,3.51,3.405,3.513,3.405,3.08%,0.10499999999999998
2022-08-17,3.405,3.388,3.453,3.388,0.16%,0.005999999999999783
2022-08-16,3.399,3.395,3.399,3.392,-1.98%,-0.06899999999999995
2022-08-15,3.468,3.513,3.513,3.468,-1.46%,-0.052000000000000046
2022-08-14,3.52,3.52,3.52,3.52,0.19%,0.007000000000000117
2022-08-12,3.513,3.415,3.523,3.415,2.87%,0.09799999999999986
2022-08-11,3.415,3.343,3.445,3.343,2.15%,0.07200000000000006
2022-08-10,3.343,3.28,3.343,3.28,1.92%,0.06300000000000017
2022-08-09,3.28,3.37,3.37,3.28,-2.67%,-0.0900000000000003
2022-08-08,3.37,3.33,3.435,3.33,-1.73%,-0.06000000000000005
2022-08-07,3.43,3.333,3.43,3.333,2.99%,0.10000000000000009
2022-08-05,3.33,3.388,3.388,3.31,-1.71%,-0.05799999999999983
2022-08-04,3.388,3.318,3.395,3.318,2.11%,0.06999999999999984
2022-08-03,3.318,3.315,3.405,3.288,0.09%,0.0030000000000001137
2022-08-02,3.315,3.415,3.415,3.305,-2.93%,-0.10000000000000009
2022-08-01,3.415,3.398,3.415,3.398,0.16%,0.006000000000000227
2022-07-31,3.409,3.402,3.42,3.402,0.34%,0.010999999999999677
2022-07-29,3.398,3.515,3.515,3.398,-3.33%,-0.11699999999999999
2022-07-28,3.515,3.54,3.54,3.46,-0.71%,-0.02499999999999991
2022-07-27,3.54,3.605,3.61,3.54,-1.80%,-0.06499999999999995
2022-07-26,3.605,3.62,3.628,3.605,-0.41%,-0.015000000000000124
2022-07-25,3.62,3.675,3.675,3.61,-0.21%,-0.008000000000000007
2022-07-24,3.628,3.684,3.684,3.628,-2.22%,-0.08199999999999985
2022-07-22,3.71,3.793,3.793,3.71,-2.19%,-0.08300000000000018
2022-07-21,3.793,3.803,3.815,3.79,-0.26%,-0.009999999999999787
2022-07-20,3.803,3.73,3.805,3.73,1.96%,0.07299999999999995
2022-07-19,3.73,3.695,3.738,3.695,0.95%,0.03500000000000014
2022-07-18,3.695,3.698,3.753,3.693,-0.08%,-0.0030000000000001137
2022-07-15,3.698,3.69,3.73,3.663,0.22%,0.008000000000000007
2022-07-14,3.69,3.625,3.72,3.625,1.79%,0.06499999999999995
2022-07-13,3.625,3.688,3.688,3.613,-1.71%,-0.06300000000000017
2022-07-12,3.688,3.72,3.72,3.673,-0.86%,-0.03200000000000003
2022-07-11,3.72,3.635,3.72,3.635,1.68%,0.06200000000000028
2022-07-10,3.658,3.643,3.658,3.643,0.65%,0.02300000000000013
2022-07-08,3.635,3.623,3.653,3.623,0.33%,0.011999999999999567
2022-07-07,3.623,3.603,3.675,3.603,0.56%,0.020000000000000018
2022-07-06,3.603,3.71,3.71,3.555,-2.88%,-0.10699999999999976
2022-07-05,3.71,3.625,3.73,3.625,2.34%,0.08499999999999996
2022-07-04,3.625,3.698,3.698,3.605,-1.13%,-0.041999999999999815
2022-07-03,3.667,3.667,3.667,3.667,-0.85%,-0.03100000000000014
2022-07-01,3.698,3.868,3.868,3.698,-4.40%,-0.16999999999999993
2022-06-30,3.868,3.93,3.93,3.843,-1.58%,-0.06200000000000028
2022-06-29,3.93,3.915,3.968,3.915,0.38%,0.015000000000000124
2022-06-28,3.915,3.9,3.98,3.9,0.38%,0.015000000000000124
2022-06-27,3.9,3.993,3.993,3.88,-1.60%,-0.06400000000000006
2022-06-26,3.964,4.008,4.008,3.964,-0.74%,-0.028999999999999915
2022-06-23,3.993,4.155,4.155,3.975,-3.90%,-0.16200000000000037
2022-06-22,4.155,4.228,4.228,4.15,-1.73%,-0.07299999999999951
2022-06-21,4.228,4.213,4.27,4.2,0.36%,0.01499999999999968
2022-06-20,4.213,4.268,4.268,4.205,-1.76%,-0.07500000000000018
2022-06-19,4.288,4.288,4.288,4.288,0.48%,0.020000000000000462
2022-06-17,4.268,4.285,4.285,4.233,-0.40%,-0.017000000000000348
2022-06-16,4.285,4.285,4.3,4.113,0.00%,0.0
2022-06-15,4.285,4.21,4.285,4.21,1.78%,0.07500000000000018
2022-06-14,4.21,4.028,4.22,4.028,4.52%,0.18200000000000038
2022-06-13,4.028,3.898,4.028,3.898,0.64%,0.024999999999999467
2022-06-12,4.003,3.911,4.003,3.911,2.68%,0.10499999999999998
2022-06-10,3.898,3.858,3.92,3.858,1.04%,0.040000000000000036
2022-06-09,3.858,3.773,3.865,3.773,2.25%,0.08499999999999996
2022-06-08,3.773,3.723,3.773,3.715,1.34%,0.050000000000000266
2022-06-07,3.723,3.653,3.73,3.653,1.26%,0.04599999999999982
2022-06-06,3.677,3.661,3.678,3.661,0.64%,0.02400000000000002
2022-06-03,3.653,3.635,3.668,3.63,0.50%,0.018000000000000238
2022-06-02,3.635,3.6,3.663,3.583,0.97%,0.0349999999999997
2022-06-01,3.6,3.595,3.643,3.595,0.14%,0.004999999999999893
2022-05-31,3.595,3.52,3.605,3.52,2.13%,0.07500000000000018
2022-05-30,3.52,3.51,3.545,3.51,0.00%,0.0
2022-05-29,3.52,3.516,3.52,3.516,0.30%,0.010000000000000231
2022-05-27,3.51,3.485,3.51,3.463,0.72%,0.02499999999999991
2022-05-26,3.485,3.545,3.56,3.485,-1.69%,-0.06000000000000005
2022-05-25,3.545,3.488,3.565,3.433,1.63%,0.05699999999999994
2022-05-24,3.488,3.51,3.518,3.488,-0.63%,-0.021999999999999797
2022-05-23,3.51,3.488,3.518,3.473,0.50%,0.016999999999999904
2022-05-22,3.493,3.493,3.493,3.493,0.13%,0.004999999999999893
2022-05-20,3.488,3.61,3.61,3.488,-3.38%,-0.12199999999999989
2022-05-19,3.61,3.625,3.625,3.535,-0.41%,-0.015000000000000124
2022-05-18,3.625,3.625,3.683,3.62,0.00%,0.0
2022-05-17,3.625,3.565,3.638,3.565,1.68%,0.06000000000000005
2022-05-16,3.565,3.605,3.605,3.565,-1.10%,-0.040000000000000036
2022-05-15,3.605,3.612,3.612,3.589,0.00%,0.0
2022-05-13,3.605,3.698,3.698,3.583,-2.51%,-0.09299999999999997
2022-05-12,3.698,3.8,3.8,3.673,-1.78%,-0.06700000000000017
2022-05-11,3.765,3.8,3.8,3.758,-0.92%,-0.0349999999999997
2022-05-10,3.8,3.833,3.833,3.75,-0.86%,-0.03300000000000036
2022-05-09,3.833,3.813,3.878,3.813,-1.07%,-0.041999999999999815
2022-05-08,3.875,3.823,3.875,3.823,1.61%,0.06199999999999983
2022-05-06,3.813,3.763,3.853,3.763,1.33%,0.050000000000000266
2022-05-05,3.763,3.828,3.828,3.753,-1.70%,-0.06499999999999995
2022-05-04,3.828,3.718,3.843,3.718,2.96%,0.10999999999999988
2022-05-03,3.718,3.703,3.753,3.703,0.41%,0.015000000000000124
2022-05-02,3.703,3.655,3.703,3.655,0.39%,0.01499999999999968
2022-05-01,3.688,3.663,3.688,3.663,0.92%,0.03300000000000036
2022-04-29,3.655,3.6,3.693,3.6,1.53%,0.054999999999999716
2022-04-28,3.6,3.633,3.75,3.6,-0.91%,-0.03299999999999992
2022-04-27,3.633,3.61,3.633,3.558,0.64%,0.02300000000000013
2022-04-26,3.61,3.595,3.61,3.55,1.36%,0.04800000000000004
2022-04-25,3.562,3.602,3.602,3.562,-0.93%,-0.03300000000000036
2022-04-22,3.595,3.503,3.595,3.503,2.63%,0.09200000000000008
2022-04-21,3.503,3.518,3.523,3.47,-0.43%,-0.01499999999999968
2022-04-20,3.518,3.475,3.538,3.475,1.24%,0.042999999999999705
2022-04-19,3.475,3.423,3.52,3.423,-1.43%,-0.05099999999999971
2022-04-18,3.526,3.427,3.526,3.427,2.99%,0.10299999999999976
2022-04-14,3.423,3.47,3.5,3.423,-1.35%,-0.04700000000000015
2022-04-13,3.47,3.568,3.57,3.465,-2.75%,-0.09799999999999986
2022-04-12,3.568,3.525,3.575,3.525,1.22%,0.04300000000000015
2022-04-11,3.525,3.465,3.53,3.465,0.90%,0.03200000000000003
2022-04-10,3.493,3.47,3.493,3.47,0.82%,0.028000000000000025
2022-04-08,3.465,3.46,3.485,3.453,0.14%,0.004999999999999893
2022-04-07,3.46,3.445,3.46,3.423,0.44%,0.015000000000000124
2022-04-06,3.445,3.273,3.448,3.273,5.26%,0.1719999999999997
2022-04-05,3.273,3.318,3.318,3.273,-1.36%,-0.04499999999999993
2022-04-04,3.318,3.298,3.32,3.298,-0.14%,-0.0040000000000000036
2022-04-03,3.322,3.3,3.322,3.3,0.74%,0.02400000000000002
2022-04-01,3.298,3.25,3.33,3.24,1.48%,0.04800000000000004
2022-03-31,3.25,3.3,3.338,3.25,-1.52%,-0.04999999999999982
2022-03-30,3.3,3.348,3.35,3.298,-1.43%,-0.04800000000000004
2022-03-29,3.348,3.363,3.375,3.323,-0.45%,-0.015000000000000124
2022-03-28,3.363,3.325,3.41,3.325,-1.19%,-0.040999999999999925
2022-03-27,3.404,3.328,3.404,3.328,2.36%,0.07899999999999974
2022-03-25,3.325,3.32,3.37,3.32,0.15%,0.0050000000000003375
2022-03-24,3.32,3.36,3.36,3.278,-1.19%,-0.040000000000000036
2022-03-23,3.36,3.315,3.385,3.315,1.36%,0.04499999999999993
2022-03-22,3.315,3.18,3.315,3.18,4.25%,0.1349999999999998
2022-03-21,3.18,3.188,3.188,3.178,0.05%,0.002000000000000224
2022-03-20,3.178,3.188,3.188,3.178,-0.30%,-0.010000000000000231
2022-03-18,3.188,3.175,3.208,3.163,0.41%,0.013000000000000345
2022-03-17,3.175,3.175,3.228,3.175,0.00%,0.0
2022-03-16,3.175,3.14,3.18,3.113,1.11%,0.0349999999999997
2022-03-15,3.14,3.04,3.14,3.04,3.29%,0.10000000000000009
2022-03-14,3.04,2.998,3.04,2.998,1.42%,0.04300000000000015
2022-03-13,2.997,2.996,2.997,2.996,0.00%,-0.001000000000000334
2022-03-11,2.998,2.958,3.018,2.958,1.35%,0.040000000000000036
2022-03-10,2.958,2.898,2.958,2.898,2.07%,0.06000000000000005
2022-03-09,2.898,2.825,2.93,2.825,2.58%,0.07299999999999995
2022-03-08,2.825,2.75,2.83,2.75,2.73%,0.07500000000000018
2022-03-07,2.75,2.795,2.795,2.74,-0.63%,-0.016999999999999904
2022-03-06,2.767,2.789,2.789,2.767,-0.98%,-0.028000000000000025
2022-03-04,2.795,2.795,2.84,2.748,0.00%,0.0
2022-03-03,2.795,2.745,2.83,2.745,1.82%,0.04999999999999982
2022-03-02,2.745,2.768,2.795,2.733,-1.44%,-0.040000000000000036
2022-03-01,2.785,2.768,2.795,2.733,0.61%,0.017000000000000348
2022-02-28,2.768,2.813,2.813,2.765,-0.34%,-0.009000000000000341
2022-02-27,2.777,2.808,2.808,2.777,-1.26%,-0.03600000000000003
2022-02-25,2.813,2.778,2.83,2.768,1.26%,0.03500000000000014
2022-02-24,2.778,2.805,2.875,2.778,-0.96%,-0.027000000000000135
2022-02-23,2.805,2.71,2.848,2.71,3.51%,0.0950000000000002
2022-02-22,2.71,2.765,2.765,2.71,-1.99%,-0.05500000000000016
2022-02-21,2.765,2.815,2.815,2.76,-0.27%,-0.008000000000000007
2022-02-20,2.773,2.81,2.81,2.773,-1.51%,-0.041999999999999815
2022-02-18,2.815,2.763,2.815,2.738,-0.18%,-0.004999999999999893
2022-02-17,2.82,2.845,2.845,2.803,-0.63%,-0.018000000000000238
2022-02-16,2.838,2.875,2.88,2.838,0.53%,0.015000000000000124
2022-02-15,2.823,2.785,2.838,2.785,1.36%,0.03799999999999981
2022-02-14,2.785,2.815,2.815,2.78,0.20%,0.0050000000000003375
2022-02-13,2.78,2.78,2.78,2.78,-1.26%,-0.03500000000000014
2022-02-11,2.815,2.81,2.823,2.8,3.00%,0.08199999999999985
2022-02-10,2.733,2.73,2.75,2.73,-0.26%,-0.007000000000000117
2022-02-09,2.74,2.73,2.76,2.73,1.18%,0.03200000000000003
2022-02-08,2.708,2.605,2.71,2.605,1.58%,0.04200000000000026
2022-02-07,2.666,2.597,2.666,2.597,2.34%,0.06099999999999994
2022-02-04,2.605,2.528,2.608,2.528,3.05%,0.07699999999999996
2022-02-03,2.528,2.558,2.558,2.51,-2.32%,-0.06000000000000005
2022-02-02,2.588,2.595,2.598,2.588,-0.77%,-0.020000000000000018
2022-02-01,2.608,2.59,2.613,2.59,0.38%,0.010000000000000231
2022-01-31,2.598,2.613,2.613,2.588,-0.10%,-0.0030000000000001137
2022-01-30,2.601,2.605,2.605,2.601,-0.48%,-0.01200000000000001
2022-01-28,2.613,2.64,2.64,2.613,-2.43%,-0.06499999999999995
2022-01-27,2.678,2.613,2.7,2.613,2.49%,0.06499999999999995
2022-01-26,2.613,2.573,2.613,2.563,1.55%,0.040000000000000036
2022-01-25,2.573,2.568,2.573,2.545,0.19%,0.004999999999999893
2022-01-24,2.568,2.533,2.568,2.533,0.73%,0.019000000000000128
2022-01-23,2.549,2.524,2.549,2.524,0.65%,0.016000000000000014
2022-01-21,2.533,2.575,2.575,2.533,-2.20%,-0.05699999999999994
2022-01-20,2.59,2.593,2.62,2.59,-0.77%,-0.020000000000000018
2022-01-19,2.61,2.57,2.628,2.553,3.04%,0.07699999999999996
2022-01-18,2.533,2.55,2.555,2.528,-0.67%,-0.016999999999999904
2022-01-17,2.55,2.478,2.55,2.478,1.96%,0.04899999999999993
2022-01-16,2.501,2.468,2.501,2.468,0.93%,0.022999999999999687
2022-01-14,2.478,2.485,2.485,2.478,-0.80%,-0.020000000000000018
2022-01-13,2.498,2.495,2.498,2.495,-0.48%,-0.011999999999999567
2022-01-12,2.51,2.533,2.533,2.508,-1.38%,-0.03500000000000014
2022-01-11,2.545,2.523,2.545,2.523,0.20%,0.004999999999999893
2022-01-10,2.54,2.47,2.54,2.47,1.97%,0.04899999999999993
2022-01-09,2.491,2.461,2.491,2.461,0.85%,0.020999999999999908
2022-01-07,2.47,2.473,2.475,2.465,0.08%,0.002000000000000224
2022-01-06,2.468,2.458,2.468,2.458,2.41%,0.05799999999999983
