Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,3.312,3.342,3.345,3.265,-2.24%,-0.07600000000000007
2022-09-29,3.388,3.439,3.488,3.38,-2.31%,-0.08000000000000007
2022-09-28,3.468,3.597,3.633,3.402,-3.21%,-0.11500000000000021
2022-09-27,3.583,3.602,3.602,3.463,1.27%,0.04500000000000037
2022-09-26,3.538,3.51,3.578,3.465,3.30%,0.11299999999999999
2022-09-23,3.425,3.381,3.578,3.308,2.64%,0.08799999999999963
2022-09-22,3.337,3.458,3.458,3.251,-1.94%,-0.06599999999999984
2022-09-21,3.403,3.415,3.415,3.34,-2.02%,-0.06999999999999984
2022-09-20,3.473,3.395,3.483,3.393,2.06%,0.06999999999999984
2022-09-19,3.403,3.373,3.418,3.337,0.29%,0.010000000000000231
2022-09-16,3.393,3.423,3.423,3.322,1.56%,0.0519999999999996
2022-09-15,3.341,3.356,3.423,3.327,-0.54%,-0.017999999999999794
2022-09-14,3.359,3.355,3.438,3.329,0.03%,0.0009999999999998899
2022-09-13,3.358,3.271,3.408,3.225,1.51%,0.050000000000000266
2022-09-12,3.308,3.4,3.4,3.276,-2.51%,-0.08499999999999996
2022-09-09,3.393,3.434,3.463,3.343,-0.03%,-0.001000000000000334
2022-09-08,3.394,3.363,3.488,3.351,0.30%,0.010000000000000231
2022-09-07,3.384,3.428,3.443,3.384,-0.99%,-0.03400000000000025
2022-09-06,3.418,3.403,3.433,3.329,0.74%,0.025000000000000355
2022-09-05,3.393,3.28,3.393,3.28,3.76%,0.12299999999999978
2022-09-02,3.27,3.271,3.353,3.267,-2.04%,-0.06800000000000006
2022-09-01,3.338,3.392,3.458,3.307,-0.57%,-0.019000000000000128
2022-08-31,3.357,3.379,3.488,3.357,-2.07%,-0.07099999999999973
2022-08-30,3.428,3.493,3.498,3.391,-2.00%,-0.07000000000000028
2022-08-29,3.498,3.403,3.498,3.368,3.86%,0.13000000000000034
2022-08-26,3.368,3.308,3.383,3.274,2.50%,0.08199999999999985
2022-08-25,3.286,3.378,3.378,3.279,-1.71%,-0.05699999999999994
2022-08-24,3.343,3.305,3.378,3.281,2.36%,0.07699999999999996
2022-08-23,3.266,3.18,3.343,3.177,2.38%,0.07600000000000007
2022-08-22,3.19,3.087,3.223,3.081,1.98%,0.06199999999999983
2022-08-19,3.128,3.03,3.133,3.03,5.53%,0.16400000000000015
2022-08-18,2.964,2.981,3.038,2.959,-0.30%,-0.008999999999999897
2022-08-17,2.973,2.912,2.998,2.88,1.92%,0.05600000000000005
2022-08-16,2.917,2.837,2.917,2.813,4.25%,0.11899999999999977
2022-08-15,2.798,2.866,2.927,2.797,-3.42%,-0.09899999999999975
2022-08-12,2.897,2.847,2.922,2.847,3.06%,0.08599999999999985
2022-08-11,2.811,2.807,2.847,2.76,3.23%,0.08800000000000008
2022-08-10,2.723,2.8,2.847,2.707,-3.51%,-0.0990000000000002
2022-08-09,2.822,2.718,2.837,2.718,1.62%,0.04499999999999993
2022-08-08,2.777,2.732,2.837,2.679,-2.11%,-0.06000000000000005
2022-08-05,2.837,2.732,2.837,2.679,5.54%,0.14900000000000002
2022-08-04,2.688,2.774,2.822,2.682,-4.03%,-0.11299999999999999
2022-08-03,2.801,2.708,2.867,2.708,2.71%,0.07400000000000029
2022-08-02,2.727,2.706,2.747,2.641,-1.23%,-0.03400000000000025
2022-08-01,2.761,2.827,2.857,2.761,-2.33%,-0.06599999999999984
2022-07-29,2.827,2.826,2.882,2.826,0.39%,0.01100000000000012
2022-07-28,2.816,2.952,2.967,2.816,-3.79%,-0.11100000000000021
2022-07-27,2.927,2.902,2.932,2.867,1.39%,0.040000000000000036
2022-07-26,2.887,2.907,2.907,2.84,-1.64%,-0.04800000000000004
2022-07-25,2.935,2.869,2.967,2.869,1.66%,0.04800000000000004
2022-07-22,2.887,3.053,3.058,2.848,-4.81%,-0.1459999999999999
2022-07-21,3.033,3.016,3.194,3.016,-0.16%,-0.004999999999999893
2022-07-20,3.038,2.998,3.098,2.978,-0.16%,-0.0050000000000003375
2022-07-19,3.043,2.998,3.073,2.978,0.46%,0.014000000000000234
2022-07-18,3.029,3.013,3.058,2.976,2.50%,0.07399999999999984
2022-07-15,2.955,2.891,2.955,2.886,-0.61%,-0.017999999999999794
2022-07-14,2.973,2.908,2.974,2.908,1.78%,0.052000000000000046
2022-07-13,2.921,2.86,2.927,2.86,3.14%,0.08899999999999997
2022-07-12,2.832,2.881,2.881,2.816,-1.97%,-0.05699999999999994
2022-07-11,2.889,2.901,2.93,2.889,-0.38%,-0.01100000000000012
2022-07-08,2.9,2.836,2.901,2.826,2.08%,0.05899999999999972
2022-07-07,2.841,2.821,2.855,2.815,2.23%,0.06200000000000028
2022-07-06,2.779,2.861,2.862,2.747,-2.83%,-0.08099999999999996
2022-07-05,2.86,2.934,2.952,2.858,-3.02%,-0.08899999999999997
2022-07-04,2.949,2.928,2.949,2.918,1.76%,0.05099999999999971
