Date,Price,Open,High,Low,Change %,Change_num
2022-10-01,4.082,4.082,4.082,4.082,-0.66%,-0.027000000000000135
2022-09-30,4.109,4.134,4.192,4.086,-2.79%,-0.11800000000000033
2022-09-29,4.227,4.139,4.267,4.05,-0.09%,-0.0039999999999995595
2022-09-28,4.231,4.31,4.426,4.207,0.59%,0.024999999999999467
2022-09-27,4.206,4.397,4.397,4.194,-2.23%,-0.0959999999999992
2022-09-26,4.302,4.186,4.302,4.178,4.24%,0.17499999999999982
2022-09-25,4.127,4.127,4.127,4.127,0.00%,0.0
2022-09-24,4.127,4.127,4.127,4.127,0.49%,0.019999999999999574
2022-09-23,4.107,4.088,4.249,4.088,3.01%,0.1200000000000001
2022-09-22,3.987,3.933,4.005,3.933,2.15%,0.08400000000000007
2022-09-21,3.903,3.869,3.936,3.869,2.17%,0.08300000000000018
2022-09-20,3.82,3.785,3.838,3.771,0.55%,0.020999999999999908
2022-09-19,3.799,3.765,3.831,3.761,0.77%,0.028999999999999915
2022-09-18,3.77,3.77,3.77,3.77,0.00%,0.0
2022-09-17,3.77,3.77,3.77,3.77,-0.05%,-0.0019999999999997797
2022-09-16,3.772,3.757,3.795,3.746,-0.50%,-0.019000000000000128
2022-09-15,3.791,3.661,3.809,3.661,3.64%,0.133
2022-09-14,3.658,3.702,3.735,3.655,0.36%,0.0129999999999999
2022-09-13,3.645,3.655,3.69,3.636,0.69%,0.02499999999999991
2022-09-12,3.62,3.62,3.62,3.62,0.00%,0.0
2022-09-11,3.62,3.62,3.62,3.62,0.00%,0.0
2022-09-10,3.62,3.62,3.62,3.62,0.00%,0.0
2022-09-09,3.62,3.62,3.62,3.62,-0.06%,-0.0019999999999997797
2022-09-08,3.622,3.715,3.718,3.622,-3.05%,-0.11400000000000032
2022-09-07,3.736,3.777,3.8,3.732,0.70%,0.026000000000000245
2022-09-06,3.71,3.672,3.716,3.644,1.06%,0.039000000000000146
2022-09-05,3.671,3.72,3.755,3.66,-1.58%,-0.05900000000000016
2022-09-04,3.73,3.73,3.73,3.73,0.00%,0.0
2022-09-03,3.73,3.73,3.73,3.73,-0.40%,-0.015000000000000124
2022-09-02,3.745,3.776,3.818,3.742,-1.42%,-0.053999999999999826
2022-09-01,3.799,3.777,3.808,3.774,1.39%,0.052000000000000046
2022-08-31,3.747,3.704,3.801,3.7,1.41%,0.052000000000000046
2022-08-30,3.695,3.706,3.735,3.689,-0.54%,-0.020000000000000018
2022-08-29,3.715,3.689,3.737,3.682,2.60%,0.09399999999999986
2022-08-28,3.621,3.621,3.621,3.621,0.00%,0.0
2022-08-27,3.621,3.621,3.621,3.621,0.19%,0.007000000000000117
2022-08-26,3.614,3.557,3.67,3.529,0.53%,0.018999999999999684
2022-08-25,3.595,3.465,3.596,3.443,4.72%,0.16200000000000037
2022-08-24,3.433,3.371,3.433,3.369,1.84%,0.06199999999999983
2022-08-23,3.371,3.364,3.402,3.364,0.63%,0.020999999999999908
2022-08-22,3.35,3.345,3.379,3.345,1.45%,0.04800000000000004
2022-08-21,3.302,3.302,3.302,3.302,0.00%,0.0
2022-08-20,3.302,3.302,3.302,3.302,-0.30%,-0.009999999999999787
2022-08-19,3.312,3.239,3.319,3.239,2.83%,0.09099999999999975
2022-08-18,3.221,3.222,3.229,3.202,0.97%,0.03100000000000014
2022-08-17,3.19,3.18,3.2,3.168,0.92%,0.028999999999999915
2022-08-16,3.161,3.22,3.223,3.154,-3.54%,-0.1160000000000001
2022-08-15,3.277,3.277,3.277,3.277,0.00%,0.0
2022-08-14,3.277,3.277,3.277,3.277,0.00%,0.0
2022-08-13,3.277,3.277,3.277,3.277,-0.79%,-0.0259999999999998
2022-08-12,3.303,3.287,3.305,3.267,1.98%,0.06400000000000006
2022-08-11,3.239,3.206,3.252,3.195,0.84%,0.02699999999999969
2022-08-10,3.212,3.162,3.213,3.162,1.39%,0.04400000000000004
2022-08-09,3.168,3.156,3.188,3.151,-0.31%,-0.009999999999999787
2022-08-08,3.178,3.198,3.211,3.175,2.02%,0.06299999999999972
2022-08-07,3.115,3.115,3.115,3.115,0.00%,0.0
2022-08-06,3.115,3.115,3.115,3.115,-0.32%,-0.009999999999999787
2022-08-05,3.125,3.141,3.16,3.118,-0.60%,-0.019000000000000128
2022-08-04,3.144,3.123,3.145,3.097,0.16%,0.0050000000000003375
2022-08-03,3.139,3.17,3.17,3.125,1.29%,0.03999999999999959
2022-08-02,3.099,3.106,3.106,3.065,-2.73%,-0.08699999999999974
2022-08-01,3.186,3.174,3.207,3.143,1.95%,0.06099999999999994
2022-07-31,3.125,3.125,3.125,3.125,0.00%,0.0
2022-07-30,3.125,3.125,3.125,3.125,-0.06%,-0.0019999999999997797
2022-07-29,3.127,3.141,3.141,3.064,-2.19%,-0.07000000000000028
2022-07-28,3.197,3.113,3.218,3.113,2.08%,0.06499999999999995
2022-07-27,3.132,3.192,3.221,3.132,-1.63%,-0.052000000000000046
2022-07-26,3.184,3.211,3.228,3.178,-0.90%,-0.028999999999999915
2022-07-25,3.213,3.24,3.24,3.19,-2.67%,-0.08800000000000008
2022-07-23,3.301,3.301,3.301,3.301,-0.06%,-0.0019999999999997797
2022-07-22,3.303,3.283,3.323,3.283,-2.10%,-0.07100000000000017
2022-07-21,3.374,3.35,3.377,3.328,0.33%,0.01100000000000012
2022-07-20,3.363,3.284,3.37,3.282,2.91%,0.0950000000000002
2022-07-19,3.268,3.278,3.313,3.256,0.12%,0.0040000000000000036
2022-07-18,3.264,3.25,3.267,3.202,1.30%,0.041999999999999815
2022-07-17,3.222,3.222,3.222,3.222,-1.07%,-0.03500000000000014
2022-07-15,3.257,3.253,3.304,3.253,-1.45%,-0.04800000000000004
2022-07-14,3.305,3.308,3.355,3.27,0.06%,0.002000000000000224
2022-07-13,3.303,3.335,3.341,3.26,-1.55%,-0.052000000000000046
2022-07-12,3.355,3.367,3.38,3.316,-0.89%,-0.029999999999999805
2022-07-11,3.385,3.401,3.424,3.384,0.74%,0.02499999999999991
2022-07-10,3.36,3.36,3.36,3.36,-0.15%,-0.0050000000000003375
2022-07-08,3.365,3.348,3.381,3.332,2.25%,0.07400000000000029
2022-07-07,3.291,3.327,3.33,3.25,0.27%,0.008999999999999897
2022-07-06,3.282,3.331,3.375,3.252,-3.13%,-0.10599999999999987
2022-07-05,3.388,3.483,3.518,3.35,-3.17%,-0.11100000000000021
2022-07-04,3.499,3.466,3.501,3.441,0.11%,0.0040000000000000036
2022-07-03,3.495,3.495,3.495,3.495,0.00%,0.0
2022-07-02,3.495,3.495,3.495,3.495,0.17%,0.006000000000000227
2022-07-01,3.489,3.582,3.582,3.475,-4.07%,-0.14800000000000013
2022-06-30,3.637,3.632,3.671,3.632,-0.82%,-0.029999999999999805
2022-06-29,3.667,3.689,3.704,3.655,0.08%,0.0029999999999996696
2022-06-28,3.664,3.741,3.742,3.661,-1.61%,-0.06000000000000005
2022-06-27,3.724,3.685,3.734,3.666,2.73%,0.0990000000000002
2022-06-26,3.625,3.625,3.625,3.625,0.00%,0.0
2022-06-25,3.625,3.625,3.625,3.625,-0.47%,-0.016999999999999904
2022-06-24,3.642,3.623,3.674,3.622,-1.43%,-0.052999999999999936
2022-06-23,3.695,3.609,3.704,3.593,-0.22%,-0.008000000000000007
2022-06-22,3.703,3.778,3.794,3.699,-1.93%,-0.07299999999999995
2022-06-21,3.776,3.838,3.847,3.764,-0.03%,-0.001000000000000334
2022-06-20,3.777,3.802,3.816,3.764,-0.47%,-0.017999999999999794
2022-06-19,3.795,3.795,3.795,3.795,0.00%,0.0
2022-06-17,3.795,3.772,3.816,3.74,0.93%,0.03500000000000014
2022-06-16,3.76,3.71,3.767,3.686,-1.13%,-0.04300000000000015
2022-06-15,3.803,3.743,3.812,3.711,2.87%,0.10599999999999987
2022-06-14,3.697,3.75,3.76,3.683,1.45%,0.052999999999999936
2022-06-13,3.644,3.559,3.705,3.559,4.41%,0.15399999999999991
2022-06-12,3.49,3.49,3.49,3.49,-0.14%,-0.004999999999999893
2022-06-10,3.495,3.465,3.51,3.46,0.87%,0.03000000000000025
2022-06-09,3.465,3.495,3.52,3.437,-0.26%,-0.009000000000000341
2022-06-08,3.474,3.5,3.512,3.464,-1.81%,-0.06399999999999961
2022-06-07,3.538,3.475,3.539,3.474,3.85%,0.13099999999999978
2022-06-06,3.407,3.407,3.407,3.407,0.00%,0.0
2022-06-05,3.407,3.407,3.407,3.407,0.00%,0.0
2022-06-04,3.407,3.407,3.407,3.407,0.12%,0.0040000000000000036
2022-06-03,3.403,3.448,3.454,3.386,-0.56%,-0.019000000000000128
2022-06-02,3.422,3.369,3.448,3.35,2.76%,0.09200000000000008
2022-06-01,3.33,3.33,3.33,3.33,0.18%,0.006000000000000227
2022-05-31,3.324,3.235,3.326,3.23,3.71%,0.11899999999999977
2022-05-30,3.205,3.223,3.229,3.183,-0.37%,-0.01200000000000001
2022-05-29,3.217,3.217,3.217,3.217,0.00%,0.0
2022-05-28,3.217,3.217,3.217,3.217,0.19%,0.006000000000000227
2022-05-27,3.211,3.2,3.242,3.19,-0.86%,-0.028000000000000025
2022-05-26,3.239,3.184,3.275,3.182,2.08%,0.06599999999999984
2022-05-25,3.173,3.186,3.207,3.168,-1.34%,-0.04300000000000015
2022-05-24,3.216,3.269,3.279,3.209,-1.26%,-0.040999999999999925
2022-05-23,3.257,3.211,3.281,3.208,0.52%,0.016999999999999904
2022-05-22,3.24,3.24,3.24,3.24,0.00%,0.0
2022-05-21,3.24,3.24,3.24,3.24,-0.22%,-0.006999999999999673
