Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,3.3,3.364,3.464,3.243,-2.54%,-0.0860000000000003
2022-09-29,3.386,3.364,3.464,3.361,1.62%,0.05400000000000027
2022-09-28,3.332,3.48,3.538,3.313,-2.80%,-0.09600000000000009
2022-09-27,3.428,3.343,3.451,3.238,4.38%,0.14400000000000013
2022-09-26,3.284,3.284,3.304,3.225,2.66%,0.08499999999999996
2022-09-23,3.199,3.111,3.242,3.029,2.50%,0.07799999999999985
2022-09-22,3.121,3.09,3.131,2.953,3.21%,0.09699999999999998
2022-09-21,3.024,3.047,3.059,2.992,-1.91%,-0.05900000000000016
2022-09-20,3.083,2.977,3.104,2.963,4.37%,0.129
2022-09-19,2.954,2.901,2.976,2.898,1.72%,0.050000000000000266
2022-09-17,2.904,2.904,2.904,2.904,-0.55%,-0.016000000000000014
2022-09-16,2.92,2.959,2.963,2.908,0.52%,0.015000000000000124
2022-09-15,2.905,2.891,2.918,2.857,1.86%,0.052999999999999936
2022-09-14,2.852,2.835,2.931,2.835,-0.42%,-0.01200000000000001
2022-09-13,2.864,2.822,2.876,2.767,2.21%,0.06199999999999983
2022-09-12,2.802,2.895,2.923,2.78,-2.23%,-0.06400000000000006
2022-09-09,2.866,2.883,2.933,2.795,1.09%,0.03100000000000014
2022-09-08,2.835,2.699,2.853,2.695,3.24%,0.08899999999999997
2022-09-07,2.746,2.811,2.816,2.716,-1.96%,-0.05500000000000016
2022-09-06,2.801,2.781,2.827,2.687,0.94%,0.026000000000000245
2022-09-05,2.775,2.702,2.801,2.702,1.61%,0.04400000000000004
2022-09-02,2.731,2.751,2.805,2.67,-1.80%,-0.050000000000000266
2022-09-01,2.781,2.793,2.84,2.757,1.64%,0.04499999999999993
2022-08-31,2.736,2.669,2.786,2.658,1.52%,0.04100000000000037
2022-08-30,2.695,2.691,2.738,2.627,-0.22%,-0.006000000000000227
2022-08-29,2.701,2.692,2.763,2.659,4.04%,0.10499999999999998
2022-08-26,2.596,2.596,2.596,2.596,4.05%,0.10099999999999998
2022-08-25,2.495,2.569,2.573,2.493,-2.92%,-0.07499999999999973
2022-08-24,2.57,2.561,2.601,2.514,2.47%,0.06199999999999983
2022-08-23,2.508,2.452,2.569,2.436,0.24%,0.006000000000000227
2022-08-22,2.502,2.358,2.502,2.339,5.21%,0.12399999999999967
2022-08-19,2.378,2.314,2.394,2.303,5.88%,0.13200000000000012
2022-08-18,2.246,2.29,2.291,2.213,1.03%,0.02300000000000013
