Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,1.237,1.285,1.285,1.183,-5.57%,-0.07299999999999995
2022-09-29,1.31,1.422,1.422,1.295,-2.89%,-0.038999999999999924
2022-09-28,1.349,1.569,1.594,1.349,-12.35%,-0.18999999999999995
2022-09-27,1.539,1.456,1.539,1.349,10.01%,0.1399999999999999
2022-09-26,1.399,1.439,1.461,1.377,2.79%,0.038000000000000034
2022-09-23,1.361,1.375,1.459,1.283,0.29%,0.0040000000000000036
2022-09-22,1.357,1.299,1.36,1.208,4.46%,0.05800000000000005
2022-09-21,1.299,1.26,1.303,1.242,-0.08%,-0.001000000000000112
2022-09-20,1.3,1.13,1.3,1.124,16.49%,0.18399999999999994
2022-09-19,1.116,1.086,1.148,1.057,-1.15%,-0.0129999999999999
2022-09-16,1.129,1.093,1.129,1.064,4.34%,0.04699999999999993
2022-09-15,1.082,1.09,1.134,1.074,1.50%,0.016000000000000014
2022-09-14,1.066,1.073,1.154,1.023,-2.11%,-0.02299999999999991
2022-09-13,1.089,0.993,1.102,0.961,11.01%,0.10799999999999998
2022-09-12,0.981,1.048,1.064,0.967,-4.66%,-0.04799999999999993
2022-09-09,1.029,1.001,1.052,0.973,6.96%,0.06699999999999995
2022-09-08,0.962,0.883,1.053,0.879,4.11%,0.03799999999999992
2022-09-07,0.924,0.993,0.993,0.891,-4.74%,-0.04599999999999993
2022-09-06,0.97,0.948,0.998,0.874,5.21%,0.04799999999999993
2022-09-05,0.922,0.873,0.923,0.811,5.49%,0.04800000000000004
2022-09-02,0.874,0.877,0.933,0.837,0.11%,0.0010000000000000009
2022-09-01,0.873,0.897,0.909,0.867,2.11%,0.018000000000000016
2022-08-31,0.855,0.822,0.899,0.731,6.61%,0.052999999999999936
2022-08-30,0.802,0.836,0.868,0.758,-7.60%,-0.06599999999999995
2022-08-29,0.868,0.949,0.984,0.868,2.72%,0.02300000000000002
2022-08-26,0.845,0.819,0.854,0.785,6.16%,0.04899999999999993
2022-08-25,0.796,0.842,0.851,0.776,-6.46%,-0.05499999999999994
2022-08-24,0.851,0.777,0.854,0.777,6.64%,0.052999999999999936
2022-08-23,0.798,0.756,0.809,0.718,9.62%,0.07000000000000006
2022-08-22,0.728,0.689,0.745,0.606,5.66%,0.039000000000000035
2022-08-19,0.689,0.618,0.689,0.579,24.59%,0.1359999999999999
2022-08-18,0.553,0.566,0.566,0.491,8.86%,0.04500000000000004
2022-08-17,0.508,0.493,0.565,0.448,3.46%,0.017000000000000015
2022-08-16,0.491,0.392,0.491,0.389,14.99%,0.064
2022-08-15,0.427,0.496,0.501,0.382,-15.11%,-0.07600000000000001
2022-08-12,0.503,0.495,0.509,0.466,0.60%,0.0030000000000000027
2022-08-11,0.5,0.48,0.5,0.414,13.12%,0.057999999999999996
2022-08-10,0.442,0.525,0.525,0.411,-11.95%,-0.06
2022-08-09,0.502,0.523,0.526,0.477,5.68%,0.027000000000000024
2022-08-08,0.475,0.542,0.542,0.463,-12.36%,-0.06700000000000006
2022-08-05,0.542,0.419,0.542,0.415,28.74%,0.12100000000000005
2022-08-04,0.421,0.5,0.503,0.405,-12.11%,-0.057999999999999996
2022-08-03,0.479,0.46,0.51,0.44,8.37%,0.03699999999999998
2022-08-02,0.442,0.369,0.46,0.343,-3.70%,-0.017000000000000015
2022-07-29,0.459,0.44,0.51,0.43,7.75%,0.03300000000000003
2022-07-28,0.426,0.621,0.621,0.426,-21.69%,-0.11800000000000005
2022-07-27,0.544,0.592,0.61,0.536,-6.53%,-0.03799999999999992
2022-07-26,0.582,0.638,0.65,0.547,-13.00%,-0.08700000000000008
2022-07-25,0.669,0.71,0.717,0.643,-4.56%,-0.03199999999999992
2022-07-22,0.701,0.84,0.84,0.645,-14.51%,-0.119
2022-07-21,0.82,0.9,0.922,0.82,-1.91%,-0.016000000000000014
2022-07-20,0.836,0.855,0.873,0.778,-6.70%,-0.06000000000000005
2022-07-19,0.896,0.779,0.896,0.766,5.41%,0.04600000000000004
2022-07-18,0.85,0.791,0.85,0.762,15.80%,0.11599999999999999
2022-07-15,0.734,0.696,0.772,0.653,-3.80%,-0.029000000000000026
2022-07-14,0.763,0.727,0.781,0.678,5.24%,0.038000000000000034
2022-07-13,0.725,0.816,0.826,0.674,-8.46%,-0.06700000000000006
2022-07-12,0.792,0.906,0.908,0.766,-12.39%,-0.11199999999999999
2022-07-11,0.904,0.936,0.939,0.87,-1.74%,-0.016000000000000014
2022-07-08,0.92,0.857,0.925,0.857,7.35%,0.06300000000000006
2022-07-07,0.857,0.798,0.87,0.798,7.39%,0.05899999999999994
2022-07-06,0.798,0.84,0.854,0.773,-3.97%,-0.03299999999999992
2022-07-05,0.831,0.919,0.926,0.823,-10.06%,-0.09300000000000008
2022-07-04,0.924,0.889,0.945,0.889,3.94%,0.03500000000000003
2022-07-01,0.889,1.051,1.085,0.873,-13.35%,-0.137
2022-06-30,1.026,1.24,1.255,1.026,-17.46%,-0.21700000000000008
2022-06-29,1.243,1.324,1.395,1.243,-11.15%,-0.15599999999999992
2022-06-28,1.399,1.356,1.454,1.35,3.32%,0.04499999999999993
2022-06-27,1.354,1.309,1.388,1.294,3.75%,0.049000000000000155
2022-06-24,1.305,1.251,1.305,1.192,2.59%,0.03299999999999992
2022-06-23,1.272,1.395,1.397,1.172,-7.42%,-0.10200000000000009
2022-06-22,1.374,1.419,1.419,1.357,-5.63%,-0.08199999999999985
2022-06-21,1.456,1.464,1.484,1.439,-0.95%,-0.014000000000000012
2022-06-20,1.47,1.415,1.47,1.344,5.30%,0.07400000000000007
2022-06-17,1.396,1.461,1.506,1.356,-5.74%,-0.08500000000000019
2022-06-16,1.481,1.322,1.604,1.31,9.79%,0.13200000000000012
2022-06-15,1.349,1.534,1.534,1.297,-5.07%,-0.07200000000000006
2022-06-14,1.421,1.136,1.421,1.128,9.56%,0.12400000000000011
2022-06-13,1.297,1.136,1.304,1.128,13.08%,0.1499999999999999
2022-06-10,1.147,1.082,1.153,1.05,4.65%,0.050999999999999934
2022-06-09,1.096,1.069,1.104,1.022,3.69%,0.039000000000000146
2022-06-08,1.057,1.043,1.085,1.038,3.83%,0.038999999999999924
2022-06-07,1.018,1.072,1.072,1.015,-2.40%,-0.02499999999999991
2022-06-03,1.043,0.99,1.051,0.988,4.40%,0.04399999999999993
2022-06-02,0.999,0.941,0.999,0.933,6.73%,0.06299999999999994
2022-06-01,0.936,0.899,0.936,0.887,3.20%,0.029000000000000026
2022-05-31,0.907,0.846,0.907,0.805,10.07%,0.08300000000000007
2022-05-30,0.824,0.797,0.827,0.779,9.57%,0.07199999999999995
2022-05-27,0.752,0.792,0.795,0.723,4.01%,0.029000000000000026
2022-05-25,0.723,0.745,0.748,0.688,3.14%,0.02200000000000002
2022-05-24,0.701,0.728,0.746,0.698,-1.68%,-0.01200000000000001
2022-05-23,0.713,0.724,0.724,0.673,-0.83%,-0.006000000000000005
2022-05-20,0.719,0.73,0.756,0.69,2.57%,0.018000000000000016
2022-05-19,0.701,0.78,0.78,0.671,-2.09%,-0.015000000000000013
2022-05-18,0.716,0.811,0.821,0.713,-11.28%,-0.09100000000000008
2022-05-17,0.807,0.785,0.813,0.764,6.18%,0.04700000000000004
2022-05-16,0.76,0.747,0.798,0.728,-1.94%,-0.015000000000000013
2022-05-13,0.775,0.748,0.775,0.685,5.01%,0.03700000000000003
2022-05-12,0.738,0.77,0.78,0.692,-18.00%,-0.16200000000000003
2022-05-11,0.9,0.951,0.973,0.864,-3.02%,-0.028000000000000025
2022-05-10,0.928,1.003,1.016,0.912,-6.55%,-0.06499999999999995
2022-05-09,0.993,0.966,1.038,0.966,-2.46%,-0.025000000000000022
2022-05-06,1.018,0.915,1.018,0.885,11.26%,0.10299999999999998
2022-05-05,0.915,0.874,0.915,0.79,6.40%,0.05500000000000005
2022-05-04,0.86,0.914,0.914,0.846,1.30%,0.01100000000000001
2022-05-03,0.849,0.915,0.915,0.824,-4.82%,-0.04300000000000004
2022-05-02,0.892,0.835,0.91,0.835,6.83%,0.05700000000000005
2022-04-29,0.835,0.853,0.884,0.823,-2.34%,-0.020000000000000018
2022-04-28,0.855,0.795,0.856,0.747,8.37%,0.06599999999999995
2022-04-27,0.789,0.777,0.817,0.771,0.00%,0.0
2022-04-26,0.789,0.856,0.856,0.775,-5.28%,-0.04399999999999993
2022-04-25,0.833,0.904,0.904,0.833,-9.95%,-0.09200000000000008
2022-04-22,0.925,0.922,0.936,0.894,1.87%,0.017000000000000015
2022-04-21,0.908,0.889,0.915,0.859,4.37%,0.038000000000000034
2022-04-20,0.87,0.937,0.951,0.848,-8.71%,-0.08299999999999996
2022-04-19,0.953,0.887,0.963,0.867,11.85%,0.10099999999999998
2022-04-14,0.852,0.824,0.859,0.763,5.45%,0.04399999999999993
2022-04-13,0.808,0.913,0.937,0.779,-6.05%,-0.051999999999999935
2022-04-12,0.86,0.823,0.885,0.818,6.83%,0.05499999999999994
2022-04-11,0.805,0.751,0.805,0.71,8.05%,0.06000000000000005
2022-04-08,0.745,0.681,0.745,0.671,5.52%,0.039000000000000035
2022-04-07,0.706,0.653,0.706,0.636,4.44%,0.029999999999999916
2022-04-06,0.676,0.622,0.676,0.622,8.68%,0.05400000000000005
2022-04-05,0.622,0.515,0.622,0.515,15.61%,0.08399999999999996
2022-04-04,0.538,0.611,0.614,0.509,-12.52%,-0.07699999999999996
2022-04-01,0.615,0.634,0.651,0.599,3.71%,0.02200000000000002
