Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,4.096,4.081,4.196,3.992,-1.04%,-0.04300000000000015
2022-09-29,4.139,4.033,4.216,4.033,3.27%,0.13100000000000023
2022-09-28,4.008,4.537,4.582,3.992,-10.95%,-0.4930000000000003
2022-09-27,4.501,4.17,4.541,4.031,6.26%,0.26500000000000057
2022-09-26,4.236,4.072,4.254,4.038,10.18%,0.39149999999999974
2022-09-25,3.8445,3.841,3.8445,3.841,0.00%,0.0
2022-09-24,3.8445,3.8445,3.8445,3.8445,0.59%,0.022499999999999964
2022-09-23,3.822,3.493,3.843,3.452,9.54%,0.3330000000000002
2022-09-22,3.489,3.326,3.528,3.239,5.31%,0.1759999999999997
2022-09-21,3.313,3.273,3.345,3.231,0.61%,0.020000000000000018
2022-09-20,3.293,3.179,3.322,3.168,4.42%,0.13949999999999996
2022-09-19,3.1535,3.167,3.167,3.1535,-0.41%,-0.0129999999999999
2022-09-18,3.1665,3.177,3.177,3.1665,0.30%,0.009500000000000064
2022-09-17,3.157,3.157,3.157,3.157,0.77%,0.02400000000000002
2022-09-16,3.133,3.172,3.187,3.122,-1.01%,-0.03200000000000003
2022-09-15,3.165,3.185,3.195,3.102,0.89%,0.028000000000000025
2022-09-14,3.137,3.125,3.227,3.111,-1.13%,-0.03600000000000003
2022-09-13,3.173,3.115,3.189,3.052,2.92%,0.08999999999999986
2022-09-12,3.083,3.122,3.149,3.045,-1.50%,-0.04699999999999971
2022-09-11,3.13,3.1365,3.1365,3.1295,0.24%,0.00749999999999984
2022-09-10,3.1225,3.1225,3.1225,3.1225,0.82%,0.025500000000000078
2022-09-09,3.097,3.129,3.165,3.035,-2.02%,-0.06400000000000006
2022-09-08,3.161,2.965,3.163,2.964,4.29%,0.1299999999999999
2022-09-07,3.031,3.093,3.111,2.99,-2.16%,-0.06699999999999973
2022-09-06,3.098,2.951,3.147,2.938,5.37%,0.15799999999999992
2022-09-05,2.94,2.913,3.0,2.908,0.89%,0.0259999999999998
2022-09-04,2.914,2.9145,2.9145,2.914,-0.10%,-0.0029999999999996696
2022-09-03,2.917,2.933,2.933,2.917,-0.03%,-0.001000000000000334
2022-09-02,2.918,2.864,2.948,2.857,1.25%,0.03600000000000003
2022-09-01,2.882,2.861,2.927,2.824,2.97%,0.08300000000000018
2022-08-31,2.799,2.703,2.874,2.678,3.48%,0.09399999999999986
2022-08-30,2.705,2.685,2.774,2.675,3.58%,0.09350000000000014
2022-08-29,2.6115,2.624,2.6245,2.6115,-0.42%,-0.01100000000000012
2022-08-28,2.6225,2.616,2.624,2.616,-0.40%,-0.010499999999999954
2022-08-27,2.633,2.62,2.633,2.6195,1.15%,0.029999999999999805
2022-08-26,2.603,2.609,2.643,2.549,-0.53%,-0.01399999999999979
2022-08-25,2.617,2.702,2.702,2.611,-3.00%,-0.08099999999999996
2022-08-24,2.698,2.618,2.706,2.583,4.61%,0.11899999999999977
2022-08-23,2.579,2.478,2.626,2.464,2.59%,0.06500000000000039
2022-08-22,2.514,2.404,2.528,2.37,3.56%,0.08649999999999958
2022-08-21,2.4275,2.429,2.429,2.4275,0.06%,0.0015000000000000568
2022-08-20,2.426,2.427,2.427,2.426,0.46%,0.01100000000000012
2022-08-19,2.415,2.402,2.457,2.377,4.14%,0.09600000000000009
2022-08-18,2.319,2.354,2.354,2.266,1.31%,0.029999999999999805
2022-08-17,2.289,2.143,2.317,2.135,7.72%,0.16400000000000015
2022-08-16,2.125,2.027,2.155,2.025,5.04%,0.10199999999999987
2022-08-15,2.023,2.094,2.118,2.001,-4.44%,-0.09399999999999986
2022-08-14,2.117,2.124,2.124,2.117,0.33%,0.007000000000000117
2022-08-13,2.11,2.11,2.11,2.11,-0.24%,-0.0050000000000003375
2022-08-12,2.115,2.099,2.143,2.074,2.72%,0.05600000000000005
2022-08-11,2.059,1.971,2.082,1.95,5.27%,0.1030000000000002
2022-08-10,1.956,1.995,2.011,1.905,-0.91%,-0.018000000000000016
2022-08-09,1.974,1.949,2.001,1.926,1.13%,0.02200000000000002
2022-08-08,1.952,1.987,1.998,1.928,-4.59%,-0.09399999999999986
2022-08-07,2.046,2.044,2.049,2.044,0.12%,0.0024999999999999467
2022-08-06,2.0435,2.0435,2.0435,2.0435,-0.41%,-0.008500000000000174
2022-08-05,2.052,1.899,2.062,1.889,8.63%,0.16300000000000003
2022-08-04,1.889,1.91,1.933,1.813,-1.10%,-0.020999999999999908
2022-08-03,1.91,1.865,1.984,1.855,2.19%,0.040999999999999925
2022-08-02,1.869,1.749,1.87,1.711,3.32%,0.06000000000000005
2022-08-01,1.809,1.883,1.919,1.792,-3.34%,-0.0625
2022-07-31,1.8715,1.866,1.875,1.866,0.16%,0.0029999999999998916
2022-07-30,1.8685,1.8685,1.8685,1.8685,0.84%,0.01550000000000007
2022-07-29,1.853,1.866,1.972,1.853,-1.07%,-0.020000000000000018
2022-07-28,1.873,2.027,2.033,1.84,-4.29%,-0.08400000000000007
2022-07-27,1.957,1.925,1.982,1.923,1.98%,0.038000000000000034
2022-07-26,1.919,1.919,1.936,1.876,-0.83%,-0.016000000000000014
2022-07-25,1.935,1.95,1.983,1.926,-0.31%,-0.006000000000000005
2022-07-24,1.941,1.9475,1.9475,1.941,0.34%,0.00649999999999995
2022-07-23,1.9345,1.9345,1.9345,1.9345,-0.23%,-0.0044999999999999485
2022-07-22,1.939,2.003,2.022,1.902,-5.32%,-0.10899999999999999
2022-07-21,2.048,2.15,2.239,2.032,-4.48%,-0.09600000000000009
2022-07-20,2.144,2.096,2.227,2.054,-1.56%,-0.03399999999999981
2022-07-19,2.178,2.096,2.227,2.085,0.93%,0.020000000000000018
2022-07-18,2.158,2.124,2.162,2.087,2.76%,0.05799999999999983
2022-07-16,2.1,2.098,2.1,2.098,0.67%,0.014000000000000234
2022-07-15,2.086,2.028,2.12,2.02,-0.76%,-0.016000000000000014
2022-07-14,2.102,2.066,2.142,2.066,1.94%,0.040000000000000036
2022-07-13,2.062,2.127,2.162,2.016,-0.10%,-0.002000000000000224
2022-07-12,2.064,2.155,2.159,2.02,-5.32%,-0.1160000000000001
2022-07-11,2.18,2.21,2.216,2.134,-2.13%,-0.047499999999999876
