Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,3.829,3.783,3.843,3.682,1.25%,0.04700000000000015
2022-09-29,3.782,3.753,3.868,3.721,1.19%,0.04499999999999993
2022-09-28,3.737,3.947,4.019,3.695,-5.37%,-0.21199999999999974
2022-09-27,3.949,3.912,3.992,3.801,0.53%,0.020999999999999908
2022-09-26,3.928,3.734,3.933,3.714,5.08%,0.18900000000000006
2022-09-25,3.739,3.718,3.739,3.718,1.41%,0.052000000000000046
2022-09-23,3.687,3.714,3.829,3.659,-0.63%,-0.02300000000000013
2022-09-22,3.71,3.546,3.718,3.514,4.98%,0.17600000000000016
2022-09-21,3.534,3.563,3.64,3.499,-0.98%,-0.03500000000000014
2022-09-20,3.569,3.492,3.604,3.473,2.13%,0.07499999999999973
2022-09-19,3.494,3.448,3.518,3.448,1.13%,0.039000000000000146
2022-09-18,3.455,3.455,3.455,3.455,0.00%,0.0
2022-09-16,3.455,3.447,3.492,3.415,0.19%,0.006000000000000227
2022-09-15,3.449,3.402,3.468,3.402,1.31%,0.04499999999999993
2022-09-14,3.404,3.418,3.476,3.383,-0.22%,-0.008000000000000007
2022-09-13,3.412,3.346,3.46,3.293,1.61%,0.053999999999999826
2022-09-12,3.358,3.315,3.377,3.262,1.28%,0.04300000000000015
2022-09-11,3.315,3.315,3.315,3.315,0.00%,0.0
2022-09-09,3.315,3.319,3.333,3.247,-0.22%,-0.008000000000000007
2022-09-08,3.323,3.271,3.328,3.201,1.70%,0.05600000000000005
2022-09-07,3.267,3.343,3.365,3.25,-2.50%,-0.08400000000000007
2022-09-06,3.351,3.223,3.355,3.208,3.96%,0.1280000000000001
2022-09-05,3.223,3.227,3.227,3.221,0.89%,0.028000000000000025
2022-09-02,3.195,3.265,3.29,3.174,-1.96%,-0.06400000000000006
2022-09-01,3.259,3.198,3.297,3.183,1.96%,0.06299999999999972
2022-08-31,3.196,3.108,3.198,3.091,2.72%,0.08400000000000007
2022-08-30,3.112,3.097,3.153,3.05,-0.06%,-0.0019999999999997797
2022-08-29,3.114,3.069,3.13,3.069,1.40%,0.042999999999999705
2022-08-28,3.071,3.071,3.071,3.071,1.35%,0.04100000000000037
2022-08-26,3.03,3.035,3.087,3.007,-0.06%,-0.001000000000000334
2022-08-25,3.031,3.109,3.128,3.02,-2.51%,-0.07799999999999985
2022-08-24,3.109,3.055,3.126,3.022,1.71%,0.052000000000000046
2022-08-23,3.057,3.026,3.078,2.983,1.10%,0.03299999999999992
2022-08-22,3.024,2.989,3.04,2.943,1.24%,0.03699999999999992
2022-08-21,2.987,2.985,2.987,2.985,0.37%,0.01100000000000012
2022-08-19,2.976,2.875,2.998,2.875,3.12%,0.08999999999999986
2022-08-18,2.886,2.899,2.913,2.835,-0.56%,-0.016000000000000014
2022-08-17,2.902,2.82,2.919,2.808,3.37%,0.0940000000000003
2022-08-16,2.808,2.779,2.873,2.772,0.52%,0.01499999999999968
2022-08-15,2.793,2.839,2.864,2.759,-1.72%,-0.04899999999999993
2022-08-14,2.842,2.84,2.842,2.84,0.00%,0.0
2022-08-12,2.842,2.888,2.906,2.835,-1.64%,-0.04699999999999971
2022-08-11,2.889,2.791,2.902,2.73,3.76%,0.10399999999999965
2022-08-10,2.785,2.788,2.818,2.674,0.20%,0.006000000000000227
