Date,Price,Open,High,Low,Change %,Change_num,positive,negative,neutral,avg_positive,avg_negative,avg_neutral,custom_est
2017-10-01,1.762,1.762,1.762,1.762,0.00%,0.0,2.458387218415737,2.264159442856908,0.2774533629417416,0.4916774436831474,0.4528318885713815,0.0554906725883483,0.0388455549236416
2017-10-02,1.76,1.76,1.76,1.76,-0.11%,-0.002,5.192433597519994,3.832615696825087,3.974950423464179,0.3994179690399995,0.2948165920634682,0.3057654171895522,0.1046013792471113
2017-10-03,1.758,1.758,1.758,1.758,-0.11%,-0.002,2.0007342705503106,3.4516485556960106,1.5476171728223562,0.2858191815071872,0.4930926508137158,0.2210881675460509,-0.2072734693341054
2017-10-04,1.758,1.758,1.758,1.758,0.00%,0.0,3.477547300979495,1.579662667587399,2.9427900835871696,0.4346934126224369,0.1974578334484248,0.3678487604483962,0.237235577627412
2017-10-08,1.757,1.757,1.757,1.757,-0.06%,-0.0010000000000001,0.2712216749787328,1.7112745940685272,2.0175036787986755,0.0678054187446832,0.4278186485171318,0.5043759196996689,-0.3600132344664869
2017-10-09,1.747,1.747,1.747,1.747,-0.57%,-0.0099999999999997,3.746626958251,7.536460360512137,6.716912656091154,0.2081459421250555,0.4186922422506743,0.3731618142272863,-0.2105463004197485
2017-10-10,1.746,1.746,1.746,1.746,-0.06%,-0.0010000000000001,11.244996309280396,7.7142777107656,2.040725880302488,0.5354760147276378,0.3673465576555048,0.097177422871547,0.1681294578699595
2017-10-11,1.746,1.746,1.746,1.746,0.00%,0.0,3.509836200624704,3.548525370657444,2.9416385367512703,0.3509836200624704,0.3548525370657444,0.294163853675127,-0.0038689169614767
2017-10-15,1.727,1.727,1.727,1.727,-1.09%,-0.0189999999999999,1.0915450304746626,0.8654667548835276,0.0429881941527128,0.5457725152373313,0.4327333774417638,0.0214940970763564,0.1130391389536024
2017-10-16,1.727,1.727,1.727,1.727,0.00%,0.0,2.2287279209122057,7.366781037300825,2.404490841552615,0.1857273267426838,0.6138984197750688,0.2003742367960512,-0.4281711001769319
2017-10-17,1.739,1.739,1.739,1.739,0.69%,0.012,8.151158473454416,6.958646290004253,3.890195099636912,0.4290083407081271,0.3662445415791712,0.2047471105072059,0.0627637995812002
2017-10-18,1.768,1.768,1.768,1.768,1.67%,0.0289999999999999,5.735858007334173,9.777173874899743,3.4869678365066648,0.3018872635439038,0.514588098678934,0.183524622974035,-0.2127008382836677
2017-10-19,1.736,1.736,1.736,1.736,-1.81%,-0.032,4.838682474568486,10.659333661198616,5.501984086818993,0.2304134511699279,0.5075873171999341,0.2619992422294758,-0.2771738630921467
2017-10-22,1.781,1.781,1.781,1.781,2.59%,0.0449999999999999,1.8562013618648048,2.1782715506851678,0.9655271396040912,0.371240272372961,0.4356543101370335,0.1931054279208182,-0.0644140370921816
2017-10-23,1.776,1.776,1.776,1.776,-0.28%,-0.0049999999999998,4.06217753700912,5.15876623801887,3.7790561821311712,0.3124751951545477,0.3968281721552977,0.2906966293947055,-0.0843529772787309
2017-10-24,1.793,1.793,1.793,1.793,0.96%,0.0169999999999999,3.8922467567026615,4.218165975064039,3.889586992561817,0.3243538963918884,0.3515138312553366,0.3241322493801514,-0.0271599354873831
2017-10-25,1.816,1.816,1.816,1.816,1.28%,0.0230000000000001,8.832951126620173,7.180162239819765,2.986886767670512,0.4648921645589565,0.3779032757799876,0.1572045667195006,0.0869888881649626
2017-10-26,1.827,1.827,1.827,1.827,0.61%,0.0109999999999998,6.628186259418726,10.532216111198068,7.839597721584141,0.265127450376749,0.4212886444479227,0.3135839088633656,-0.1561611934952453
2017-10-29,1.812,1.812,1.812,1.812,-0.82%,-0.0149999999999999,0.9572381731122732,1.0047796722501516,0.037982141599059,0.4786190865561365,0.5023898361250758,0.0189910707995295,-0.0237707497239069
2017-10-30,1.783,1.783,1.783,1.783,-1.60%,-0.0290000000000001,3.953924369066953,9.850073324516416,2.196002553217113,0.2471202730666845,0.615629582782276,0.1372501595760695,-0.3685093040313242
2017-10-31,1.748,1.748,1.748,1.748,-1.96%,-0.0349999999999999,6.080745623447001,15.001678250730038,7.917576255276799,0.2096808835671379,0.5172992500251737,0.2730198708716138,-0.3076183650848503
2017-11-01,1.757,1.757,1.757,1.757,0.51%,0.0089999999999998,6.378109892830253,9.712400410324337,1.9094894602894776,0.3543394384905696,0.5395778005735742,0.1060827477938598,-0.1852383645174065
2017-11-02,1.732,1.732,1.732,1.732,-1.42%,-0.0249999999999999,3.2404516749084,11.695144230499864,3.0644040443003173,0.1800250930504666,0.6497302350277702,0.1702446691277954,-0.4697051432896446
2017-11-05,1.71,1.71,1.71,1.71,-1.27%,-0.022,0.1717711631208655,4.199503272771835,1.6287257131189106,0.0286285271868109,0.6999172121286392,0.2714542855198184,-0.6712886682701938
2017-11-06,1.688,1.688,1.688,1.688,-1.29%,-0.022,3.1955451015383005,2.0625678412616253,0.7418872639536855,0.5325908502563834,0.3437613068769375,0.1236478773256142,0.188829536872581
2017-11-07,1.677,1.677,1.677,1.677,-0.65%,-0.0109999999999998,4.367962249554694,4.524394895881414,2.1076430305838585,0.3970874772322448,0.4113086268983104,0.1916039118712598,-0.0142211494385013
2017-11-08,1.672,1.672,1.672,1.672,-0.30%,-0.0050000000000001,2.434089122340083,7.656562072224915,2.909348781220615,0.187237624795391,0.5889663132480704,0.2237960600938934,-0.4017286892009574
2017-11-09,1.691,1.691,1.691,1.691,1.14%,0.0190000000000001,6.801014334894717,14.190833009779452,3.0081523843109608,0.2833755972872798,0.5912847087408105,0.1253396826796233,-0.3079091149305285
2017-11-12,1.715,1.715,1.715,1.715,1.42%,0.024,0.0211537387222051,0.126474916934967,0.852371335029602,0.0211537387222051,0.126474916934967,0.852371335029602,-0.1053211791936418
2017-11-13,1.725,1.725,1.725,1.725,0.58%,0.01,3.774484437424689,11.888839684426785,2.3366756187751885,0.2096935798569271,0.6604910935792658,0.1298153121541771,-0.450797520218164
2017-11-14,1.74,1.74,1.74,1.74,0.87%,0.0149999999999999,16.885351302102208,4.036708526313305,3.077940538525581,0.7035563042542586,0.1681961885963877,0.1282475224385658,0.5353601074726366
2017-11-15,1.726,1.726,1.726,1.726,-0.80%,-0.014,4.115452660247684,6.069082621484995,0.8154650032520289,0.3741320600225167,0.5517347837713632,0.0741331821138208,-0.1776027191475684
2017-11-16,1.767,1.767,1.767,1.767,2.38%,0.0409999999999999,6.792501656804234,5.789150942116976,2.4183474127203226,0.4528334437869489,0.3859433961411317,0.1612231608480215,0.0668900475939036
2017-11-19,1.764,1.764,1.764,1.764,-0.17%,-0.0029999999999998,0.93192857503891,0.0444620065391063,0.0236093718558549,0.93192857503891,0.0444620065391063,0.0236093718558549,0.8874666098256883
2017-11-20,1.761,1.761,1.761,1.761,-0.17%,-0.0030000000000001,1.868652295321226,1.615701325237751,1.5156465247273443,0.3737304590642452,0.3231402650475502,0.3031293049454689,0.0505901925466824
