"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.766","2.816","2.949","2.719","-3.52%"
"Sep 29, 2022","2.867","2.816","2.949","2.816","2.43%"
"Sep 28, 2022","2.799","2.928","2.998","2.778","-2.47%"
"Sep 27, 2022","2.870","2.782","2.908","2.683","4.78%"
"Sep 26, 2022","2.739","2.742","2.773","2.680","3.71%"
"Sep 23, 2022","2.641","2.561","2.720","2.504","2.72%"
"Sep 22, 2022","2.571","2.526","2.604","2.414","3.79%"
"Sep 21, 2022","2.477","2.492","2.511","2.432","-1.98%"
"Sep 20, 2022","2.527","2.410","2.548","2.395","5.95%"
"Sep 19, 2022","2.385","2.329","2.419","2.326","2.01%"
"Sep 17, 2022","2.338","2.338","2.338","2.338","0.00%"
"Sep 16, 2022","2.338","2.388","2.405","2.332","-0.17%"
"Sep 15, 2022","2.342","2.358","2.372","2.292","1.56%"
"Sep 14, 2022","2.306","2.330","2.392","2.286","-1.54%"
"Sep 13, 2022","2.342","2.326","2.378","2.262","2.05%"
"Sep 12, 2022","2.295","2.388","2.413","2.279","-2.01%"
"Sep 09, 2022","2.342","2.344","2.423","2.275","1.39%"
"Sep 08, 2022","2.310","2.150","2.331","2.148","5.00%"
"Sep 07, 2022","2.200","2.268","2.288","2.169","-2.70%"
"Sep 06, 2022","2.261","2.238","2.302","2.131","0.89%"
"Sep 05, 2022","2.241","2.159","2.281","2.159","2.28%"
"Sep 02, 2022","2.191","2.185","2.269","2.132","-1.04%"
"Sep 01, 2022","2.214","2.235","2.289","2.197","1.42%"
"Aug 31, 2022","2.183","2.115","2.238","2.104","1.72%"
"Aug 30, 2022","2.146","2.122","2.198","2.080","-0.74%"
"Aug 29, 2022","2.162","2.157","2.206","2.104","6.35%"
"Aug 26, 2022","2.033","1.951","2.087","1.949","4.15%"
"Aug 25, 2022","1.952","1.997","2.016","1.946","-2.79%"
"Aug 24, 2022","2.008","2.001","2.041","1.940","3.56%"
"Aug 23, 2022","1.939","1.885","2.006","1.855","0.78%"
"Aug 22, 2022","1.924","1.822","1.939","1.802","4.23%"
"Aug 19, 2022","1.846","1.787","1.874","1.770","7.39%"
"Aug 18, 2022","1.719","1.759","1.777","1.677","0.82%"
"Aug 17, 2022","1.705","1.576","1.737","1.576","7.64%"
"Aug 16, 2022","1.584","1.492","1.613","1.489","6.24%"
"Aug 15, 2022","1.491","1.570","1.618","1.477","-5.57%"
"Aug 12, 2022","1.579","1.589","1.640","1.551","0.96%"
"Aug 11, 2022","1.564","1.511","1.595","1.421","5.11%"
"Aug 10, 2022","1.488","1.511","1.539","1.421","-1.33%"
"Aug 09, 2022","1.508","1.472","1.560","1.444","2.38%"
"Aug 08, 2022","1.473","1.462","1.545","1.363","-3.73%"
"Aug 05, 2022","1.530","1.462","1.545","1.363","9.76%"
"Aug 04, 2022","1.394","1.462","1.498","1.363","-5.11%"
"Aug 03, 2022","1.469","1.435","1.526","1.425","3.89%"
"Aug 02, 2022","1.414","1.324","1.432","1.282","2.69%"
"Aug 01, 2022","1.377","1.438","1.492","1.361","-2.38%"
"Jul 30, 2022","1.411","1.411","1.411","1.411","-0.67%"
"Jul 29, 2022","1.420","1.432","1.533","1.400","0.71%"
"Jul 28, 2022","1.410","1.615","1.630","1.404","-10.02%"
"Jul 27, 2022","1.567","1.575","1.614","1.543","0.77%"
"Jul 26, 2022","1.555","1.629","1.641","1.535","-5.36%"
"Jul 25, 2022","1.643","1.673","1.722","1.637","-1.26%"
"Jul 22, 2022","1.664","1.816","1.829","1.599","-9.76%"
"Jul 21, 2022","1.844","1.888","1.990","1.815","-1.13%"
"Jul 20, 2022","1.865","1.853","1.890","1.773","-1.22%"
"Jul 19, 2022","1.888","1.794","1.913","1.784","2.66%"
"Jul 18, 2022","1.839","1.818","1.890","1.810","4.02%"
"Jul 15, 2022","1.768","1.750","1.822","1.724","-1.45%"
"Jul 14, 2022","1.794","1.788","1.893","1.788","1.41%"
"Jul 13, 2022","1.769","1.793","1.852","1.736","1.09%"
"Jul 12, 2022","1.750","1.865","1.867","1.717","-7.21%"
"Jul 11, 2022","1.886","1.958","1.960","1.848","-4.94%"
"Jul 08, 2022","1.984","1.925","1.999","1.894","1.90%"
"Jul 07, 2022","1.947","1.896","1.991","1.890","4.68%"
"Jul 06, 2022","1.860","1.921","1.934","1.771","-1.85%"
"Jul 05, 2022","1.895","2.014","2.039","1.879","-5.96%"
"Jul 04, 2022","2.015","1.938","2.044","1.918","7.18%"
"Jul 01, 2022","1.880","2.025","2.100","1.809","-7.98%"
"Jun 30, 2022","2.043","2.118","2.120","2.019","-5.33%"
"Jun 29, 2022","2.158","2.246","2.284","2.136","-4.43%"
"Jun 28, 2022","2.258","2.189","2.300","2.185","3.82%"
"Jun 27, 2022","2.175","2.096","2.201","2.078","5.94%"
"Jun 25, 2022","2.053","2.053","2.053","2.053","-0.19%"
"Jun 24, 2022","2.057","2.036","2.133","1.985","-0.48%"
"Jun 23, 2022","2.067","2.268","2.282","2.025","-8.38%"
"Jun 22, 2022","2.256","2.349","2.359","2.214","-6.43%"
"Jun 21, 2022","2.411","2.392","2.444","2.353","0.25%"
"Jun 20, 2022","2.405","2.316","2.407","2.288","4.52%"
"Jun 17, 2022","2.301","2.349","2.420","2.235","-1.96%"
"Jun 16, 2022","2.347","2.302","2.567","2.291","1.78%"
"Jun 15, 2022","2.306","2.305","2.528","2.229","-7.13%"
"Jun 14, 2022","2.483","2.305","2.489","2.277","6.70%"
"Jun 13, 2022","2.327","2.232","2.340","2.195","7.68%"
"Jun 10, 2022","2.161","2.080","2.177","2.026","5.67%"
"Jun 09, 2022","2.045","1.980","2.090","1.918","4.23%"
"Jun 08, 2022","1.962","1.913","1.981","1.901","3.37%"
"Jun 07, 2022","1.898","1.949","1.957","1.875","-1.56%"
"Jun 06, 2022","1.928","1.841","1.950","1.840","2.66%"
"Jun 03, 2022","1.878","1.843","1.899","1.827","1.95%"
"Jun 02, 2022","1.842","1.791","1.855","1.784","2.91%"
"Jun 01, 2022","1.790","1.733","1.790","1.705","4.80%"
"May 31, 2022","1.708","1.663","1.747","1.616","4.08%"
"May 30, 2022","1.641","1.617","1.670","1.604","5.73%"
"May 29, 2022","1.552","1.552","1.552","1.552","-0.32%"
"May 27, 2022","1.557","1.570","1.606","1.523","-2.14%"
"May 26, 2022","1.591","1.537","1.613","1.481","1.73%"
"May 25, 2022","1.564","1.576","1.587","1.515","-0.45%"
"May 24, 2022","1.571","1.620","1.641","1.549","-3.20%"
"May 23, 2022","1.623","1.568","1.633","1.529","5.32%"
"May 20, 2022","1.541","1.563","1.587","1.520","0.26%"
"May 19, 2022","1.537","1.590","1.603","1.479","-4.12%"
"May 18, 2022","1.603","1.635","1.670","1.577","-0.93%"
"May 17, 2022","1.618","1.584","1.646","1.548","6.45%"
"May 16, 2022","1.520","1.510","1.610","1.502","0.40%"
"May 14, 2022","1.514","1.514","1.514","1.514","-0.53%"
"May 13, 2022","1.522","1.467","1.543","1.446","6.21%"
"May 12, 2022","1.433","1.495","1.497","1.424","-8.38%"
"May 11, 2022","1.564","1.599","1.687","1.533","-2.07%"
"May 10, 2022","1.597","1.707","1.714","1.573","-5.11%"
"May 09, 2022","1.683","1.734","1.781","1.682","-2.38%"
"May 06, 2022","1.724","1.631","1.753","1.605","6.09%"
"May 05, 2022","1.625","1.559","1.640","1.477","3.11%"
"May 04, 2022","1.576","1.589","1.616","1.551","2.40%"
"May 03, 2022","1.539","1.571","1.603","1.492","-0.65%"
"May 02, 2022","1.549","1.528","1.562","1.476","2.24%"
"Apr 29, 2022","1.515","1.428","1.531","1.420","4.20%"
"Apr 28, 2022","1.454","1.355","1.482","1.311","7.86%"
"Apr 27, 2022","1.348","1.390","1.407","1.335","-0.74%"
"Apr 26, 2022","1.358","1.396","1.433","1.334","-0.29%"
"Apr 25, 2022","1.362","1.406","1.477","1.347","-7.79%"
"Apr 22, 2022","1.477","1.421","1.505","1.407","1.93%"
"Apr 21, 2022","1.449","1.416","1.469","1.367","4.62%"
"Apr 20, 2022","1.385","1.432","1.454","1.349","-2.67%"
"Apr 19, 2022","1.423","1.342","1.483","1.340","5.41%"
"Apr 18, 2022","1.350","1.357","1.357","1.350","-0.52%"
"Apr 15, 2022","1.357","1.357","1.357","1.349","-0.22%"
"Apr 14, 2022","1.360","1.335","1.387","1.249","5.18%"
"Apr 13, 2022","1.293","1.369","1.409","1.269","-1.07%"
"Apr 12, 2022","1.307","1.336","1.403","1.268","-1.13%"
"Apr 11, 2022","1.322","1.261","1.343","1.250","5.76%"
"Apr 08, 2022","1.250","1.230","1.308","1.214","2.38%"
"Apr 07, 2022","1.221","1.182","1.288","1.143","3.04%"
"Apr 06, 2022","1.185","1.173","1.269","1.165","1.20%"
"Apr 05, 2022","1.171","1.062","1.195","1.055","13.58%"
"Apr 04, 2022","1.031","1.048","1.102","0.983","-2.00%"
"Apr 01, 2022","1.052","1.114","1.133","0.999","2.94%"
"Mar 31, 2022","1.022","1.114","1.125","0.999","-8.83%"
"Mar 30, 2022","1.121","1.101","1.194","1.091","2.09%"
"Mar 29, 2022","1.098","1.059","1.195","1.050","7.33%"
"Mar 28, 2022","1.023","1.062","1.092","1.001","-1.92%"
"Mar 25, 2022","1.043","0.989","1.051","0.957","4.09%"
"Mar 24, 2022","1.002","0.970","1.038","0.946","3.19%"
"Mar 23, 2022","0.971","0.988","0.997","0.948","-1.42%"
"Mar 22, 2022","0.985","0.898","1.011","0.897","3.25%"
"Mar 21, 2022","0.954","0.898","0.960","0.897","8.78%"
"Mar 18, 2022","0.877","0.899","0.916","0.850","-2.23%"
"Mar 17, 2022","0.897","0.907","0.921","0.869","-1.86%"
"Mar 16, 2022","0.914","0.920","0.935","0.878","4.22%"
