"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.429","2.454","2.484","2.374","-3.42%"
"Sep 29, 2022","2.515","2.506","2.615","2.500","1.90%"
"Sep 28, 2022","2.468","2.602","2.677","2.447","-2.87%"
"Sep 27, 2022","2.541","2.466","2.581","2.361","5.48%"
"Sep 26, 2022","2.409","2.433","2.446","2.373","2.73%"
"Sep 23, 2022","2.345","2.276","2.421","2.219","2.76%"
"Sep 22, 2022","2.282","2.237","2.308","2.137","4.06%"
"Sep 21, 2022","2.193","2.198","2.218","2.148","-2.32%"
"Sep 20, 2022","2.245","2.133","2.261","2.120","6.40%"
"Sep 19, 2022","2.110","2.050","2.125","2.046","2.78%"
"Sep 17, 2022","2.053","2.053","2.053","2.053","-0.29%"
"Sep 16, 2022","2.059","2.096","2.111","2.049","-0.10%"
"Sep 15, 2022","2.061","2.073","2.079","2.007","2.08%"
"Sep 14, 2022","2.019","2.022","2.095","2.000","-0.88%"
"Sep 13, 2022","2.037","1.977","2.062","1.943","4.35%"
"Sep 12, 2022","1.952","2.045","2.060","1.935","-1.91%"
"Sep 09, 2022","1.990","2.044","2.101","1.947","-1.14%"
"Sep 08, 2022","2.013","1.847","2.032","1.844","6.00%"
"Sep 07, 2022","1.899","1.957","1.962","1.853","-2.31%"
"Sep 06, 2022","1.944","1.905","1.974","1.806","2.69%"
"Sep 05, 2022","1.893","1.823","1.921","1.819","1.56%"
"Sep 02, 2022","1.864","1.879","1.941","1.802","-2.15%"
"Sep 01, 2022","1.905","1.929","1.970","1.885","1.76%"
"Aug 31, 2022","1.872","1.815","1.924","1.799","1.52%"
"Aug 30, 2022","1.844","1.840","1.888","1.785","-0.65%"
"Aug 29, 2022","1.856","1.839","1.890","1.809","7.72%"
"Aug 26, 2022","1.723","1.645","1.769","1.641","4.81%"
"Aug 25, 2022","1.644","1.691","1.700","1.640","-2.89%"
"Aug 24, 2022","1.693","1.680","1.714","1.631","3.80%"
"Aug 23, 2022","1.631","1.573","1.691","1.555","0.62%"
"Aug 22, 2022","1.621","1.503","1.621","1.483","5.95%"
"Aug 19, 2022","1.530","1.471","1.542","1.456","9.21%"
"Aug 18, 2022","1.401","1.446","1.446","1.370","1.30%"
"Aug 17, 2022","1.383","1.267","1.411","1.265","9.16%"
"Aug 16, 2022","1.267","1.199","1.296","1.194","6.29%"
"Aug 15, 2022","1.192","1.286","1.317","1.179","-7.88%"
"Aug 12, 2022","1.294","1.285","1.328","1.255","2.05%"
"Aug 11, 2022","1.268","1.228","1.291","1.135","6.11%"
"Aug 10, 2022","1.195","1.228","1.238","1.135","-2.53%"
"Aug 09, 2022","1.226","1.194","1.267","1.166","2.68%"
"Aug 08, 2022","1.194","1.177","1.259","1.080","-4.71%"
"Aug 05, 2022","1.253","1.177","1.259","1.080","12.68%"
"Aug 04, 2022","1.112","1.177","1.202","1.080","-5.76%"
"Aug 03, 2022","1.180","1.111","1.222","1.104","8.26%"
"Aug 02, 2022","1.090","1.017","1.106","0.969","2.73%"
"Aug 01, 2022","1.061","1.145","1.183","1.049","-5.27%"
"Jul 29, 2022","1.120","1.148","1.231","1.112","-1.15%"
"Jul 28, 2022","1.133","1.320","1.327","1.116","-10.72%"
"Jul 27, 2022","1.269","1.267","1.294","1.234","1.28%"
"Jul 26, 2022","1.253","1.334","1.339","1.228","-7.12%"
"Jul 25, 2022","1.349","1.371","1.410","1.340","-0.66%"
"Jul 22, 2022","1.358","1.503","1.517","1.312","-11.99%"
"Jul 21, 2022","1.543","1.573","1.697","1.523","-1.47%"
"Jul 20, 2022","1.566","1.563","1.586","1.481","-0.70%"
"Jul 19, 2022","1.577","1.481","1.604","1.480","3.00%"
"Jul 18, 2022","1.531","1.490","1.559","1.485","5.37%"
"Jul 15, 2022","1.453","1.423","1.500","1.399","-2.74%"
"Jul 14, 2022","1.494","1.470","1.575","1.466","2.26%"
"Jul 13, 2022","1.461","1.475","1.529","1.424","1.46%"
"Jul 12, 2022","1.440","1.543","1.543","1.421","-8.34%"
"Jul 11, 2022","1.571","1.651","1.658","1.536","-6.32%"
"Jul 09, 2022","1.677","1.677","1.677","1.677","-0.30%"
"Jul 08, 2022","1.682","1.622","1.692","1.587","1.94%"
"Jul 07, 2022","1.650","1.589","1.669","1.587","6.59%"
"Jul 06, 2022","1.548","1.607","1.622","1.473","-2.15%"
"Jul 05, 2022","1.582","1.687","1.714","1.565","-6.67%"
"Jul 04, 2022","1.695","1.629","1.718","1.610","7.01%"
"Jul 01, 2022","1.584","1.712","1.788","1.521","-8.76%"
"Jun 30, 2022","1.736","1.812","1.813","1.707","-7.07%"
"Jun 29, 2022","1.868","1.912","1.979","1.844","-4.30%"
"Jun 28, 2022","1.952","1.892","1.991","1.883","4.55%"
"Jun 27, 2022","1.867","1.778","1.885","1.767","7.30%"
"Jun 24, 2022","1.740","1.714","1.820","1.671","-0.80%"
"Jun 23, 2022","1.754","1.964","1.967","1.705","-9.45%"
"Jun 22, 2022","1.937","2.025","2.033","1.907","-7.36%"
"Jun 21, 2022","2.091","2.057","2.115","2.039","1.21%"
"Jun 20, 2022","2.066","1.978","2.077","1.948","4.03%"
"Jun 17, 2022","1.986","2.047","2.121","1.933","-2.60%"
"Jun 16, 2022","2.039","1.986","2.269","1.982","2.88%"
"Jun 15, 2022","1.982","1.979","2.148","1.934","-6.99%"
"Jun 14, 2022","2.131","1.979","2.146","1.954","7.14%"
"Jun 13, 2022","1.989","1.858","2.001","1.829","8.39%"
"Jun 10, 2022","1.835","1.753","1.835","1.707","5.40%"
"Jun 09, 2022","1.741","1.661","1.765","1.624","5.84%"
"Jun 08, 2022","1.645","1.615","1.664","1.595","3.01%"
"Jun 07, 2022","1.597","1.641","1.642","1.572","-1.30%"
"Jun 06, 2022","1.618","1.558","1.632","1.554","2.93%"
"Jun 03, 2022","1.572","1.542","1.587","1.519","2.01%"
"Jun 02, 2022","1.541","1.479","1.546","1.476","4.55%"
"Jun 01, 2022","1.474","1.421","1.482","1.401","4.61%"
"May 31, 2022","1.409","1.361","1.435","1.314","5.31%"
"May 30, 2022","1.338","1.302","1.358","1.297","6.78%"
"May 27, 2022","1.253","1.261","1.294","1.221","-2.34%"
"May 26, 2022","1.283","1.222","1.299","1.184","2.39%"
"May 25, 2022","1.253","1.275","1.281","1.209","-0.95%"
"May 24, 2022","1.265","1.308","1.326","1.240","-3.58%"
"May 23, 2022","1.312","1.257","1.322","1.220","6.32%"
"May 20, 2022","1.234","1.273","1.288","1.219","-1.36%"
"May 19, 2022","1.251","1.296","1.302","1.183","-4.58%"
"May 18, 2022","1.311","1.346","1.375","1.285","-1.13%"
"May 17, 2022","1.326","1.277","1.343","1.244","8.60%"
"May 16, 2022","1.221","1.212","1.301","1.205","-0.33%"
"May 13, 2022","1.225","1.178","1.250","1.155","6.71%"
"May 12, 2022","1.148","1.186","1.189","1.124","-8.67%"
"May 11, 2022","1.257","1.283","1.371","1.234","-2.56%"
"May 10, 2022","1.290","1.383","1.398","1.268","-5.84%"
"May 09, 2022","1.370","1.413","1.473","1.370","-3.45%"
"May 06, 2022","1.419","1.319","1.439","1.304","6.93%"
"May 05, 2022","1.327","1.269","1.334","1.186","4.32%"
"May 04, 2022","1.272","1.296","1.318","1.255","2.09%"
"May 03, 2022","1.246","1.270","1.309","1.196","-0.80%"
"May 02, 2022","1.256","1.241","1.261","1.188","1.87%"
"Apr 29, 2022","1.233","1.155","1.241","1.145","4.67%"
"Apr 28, 2022","1.178","1.076","1.197","1.051","8.17%"
"Apr 27, 2022","1.089","1.128","1.142","1.061","0.00%"
"Apr 26, 2022","1.089","1.128","1.142","1.062","-0.82%"
"Apr 25, 2022","1.098","1.151","1.201","1.082","-10.51%"
"Apr 22, 2022","1.227","1.171","1.231","1.165","3.11%"
"Apr 21, 2022","1.190","1.164","1.198","1.116","6.73%"
"Apr 20, 2022","1.115","1.178","1.182","1.089","-4.62%"
"Apr 19, 2022","1.169","1.130","1.217","1.127","4.84%"
"Apr 18, 2022","1.115","1.115","1.115","1.115","-0.71%"
"Apr 14, 2022","1.123","1.060","1.125","1.032","7.16%"
"Apr 13, 2022","1.048","1.120","1.138","1.034","-1.96%"
"Apr 12, 2022","1.069","1.112","1.158","1.041","-2.02%"
"Apr 11, 2022","1.091","1.048","1.095","1.045","7.59%"
"Apr 08, 2022","1.014","0.962","1.033","0.941","6.18%"
"Apr 07, 2022","0.955","0.910","1.004","0.896","3.69%"
"Apr 06, 2022","0.921","0.906","0.971","0.904","2.22%"
"Apr 05, 2022","0.901","0.804","0.916","0.803","14.20%"
"Apr 04, 2022","0.789","0.801","0.829","0.743","-4.13%"
"Apr 01, 2022","0.823","0.833","0.877","0.814","1.98%"
"Mar 31, 2022","0.807","0.894","0.902","0.776","-9.73%"
"Mar 30, 2022","0.894","0.880","0.964","0.880","1.13%"
"Mar 29, 2022","0.884","0.854","0.978","0.836","9.00%"
"Mar 28, 2022","0.811","0.835","0.874","0.800","-0.86%"
"Mar 25, 2022","0.818","0.753","0.823","0.727","6.51%"
"Mar 24, 2022","0.768","0.718","0.802","0.692","6.96%"
"Mar 23, 2022","0.718","0.743","0.753","0.708","-3.75%"
"Mar 22, 2022","0.746","0.721","0.770","0.714","6.42%"
"Mar 21, 2022","0.701","0.631","0.701","0.621","13.80%"
"Mar 18, 2022","0.616","0.630","0.651","0.580","-2.22%"
"Mar 17, 2022","0.630","0.635","0.664","0.608","-2.17%"
"Mar 16, 2022","0.644","0.632","0.657","0.606","8.24%"
"Mar 15, 2022","0.595","0.614","0.629","0.577","-6.00%"
"Mar 14, 2022","0.633","0.564","0.642","0.558","21.97%"
"Mar 11, 2022","0.519","0.527","0.585","0.515","-3.17%"
"Mar 10, 2022","0.536","0.452","0.563","0.406","18.58%"
"Mar 09, 2022","0.452","0.377","0.466","0.345","24.86%"
