"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","3.829","3.783","3.843","3.682","1.25%"
"Sep 29, 2022","3.782","3.753","3.868","3.721","1.19%"
"Sep 28, 2022","3.737","3.947","4.019","3.695","-5.37%"
"Sep 27, 2022","3.949","3.912","3.992","3.801","0.53%"
"Sep 26, 2022","3.928","3.734","3.933","3.714","5.08%"
"Sep 25, 2022","3.739","3.718","3.739","3.718","1.41%"
"Sep 23, 2022","3.687","3.714","3.829","3.659","-0.63%"
"Sep 22, 2022","3.710","3.546","3.718","3.514","4.98%"
"Sep 21, 2022","3.534","3.563","3.640","3.499","-0.98%"
"Sep 20, 2022","3.569","3.492","3.604","3.473","2.13%"
"Sep 19, 2022","3.494","3.448","3.518","3.448","1.13%"
"Sep 18, 2022","3.455","3.455","3.455","3.455","0.00%"
"Sep 16, 2022","3.455","3.447","3.492","3.415","0.19%"
"Sep 15, 2022","3.449","3.402","3.468","3.402","1.31%"
"Sep 14, 2022","3.404","3.418","3.476","3.383","-0.22%"
"Sep 13, 2022","3.412","3.346","3.460","3.293","1.61%"
"Sep 12, 2022","3.358","3.315","3.377","3.262","1.28%"
"Sep 11, 2022","3.315","3.315","3.315","3.315","0.00%"
"Sep 09, 2022","3.315","3.319","3.333","3.247","-0.22%"
"Sep 08, 2022","3.323","3.271","3.328","3.201","1.70%"
"Sep 07, 2022","3.267","3.343","3.365","3.250","-2.50%"
"Sep 06, 2022","3.351","3.223","3.355","3.208","3.96%"
"Sep 05, 2022","3.223","3.227","3.227","3.221","0.89%"
"Sep 02, 2022","3.195","3.265","3.290","3.174","-1.96%"
"Sep 01, 2022","3.259","3.198","3.297","3.183","1.96%"
"Aug 31, 2022","3.196","3.108","3.198","3.091","2.72%"
"Aug 30, 2022","3.112","3.097","3.153","3.050","-0.06%"
"Aug 29, 2022","3.114","3.069","3.130","3.069","1.40%"
"Aug 28, 2022","3.071","3.071","3.071","3.071","1.35%"
"Aug 26, 2022","3.030","3.035","3.087","3.007","-0.06%"
"Aug 25, 2022","3.031","3.109","3.128","3.020","-2.51%"
"Aug 24, 2022","3.109","3.055","3.126","3.022","1.71%"
"Aug 23, 2022","3.057","3.026","3.078","2.983","1.10%"
"Aug 22, 2022","3.024","2.989","3.040","2.943","1.24%"
"Aug 21, 2022","2.987","2.985","2.987","2.985","0.37%"
"Aug 19, 2022","2.976","2.875","2.998","2.875","3.12%"
"Aug 18, 2022","2.886","2.899","2.913","2.835","-0.56%"
"Aug 17, 2022","2.902","2.820","2.919","2.808","3.37%"
"Aug 16, 2022","2.808","2.779","2.873","2.772","0.52%"
"Aug 15, 2022","2.793","2.839","2.864","2.759","-1.72%"
"Aug 14, 2022","2.842","2.840","2.842","2.840","0.00%"
"Aug 12, 2022","2.842","2.888","2.906","2.835","-1.64%"
"Aug 11, 2022","2.889","2.791","2.902","2.730","3.76%"
"Aug 10, 2022","2.785","2.788","2.818","2.674","0.20%"
"Aug 09, 2022","2.779","2.750","2.816","2.746","1.06%"
"Aug 08, 2022","2.750","2.834","2.853","2.739","-2.91%"
"Aug 07, 2022","2.832","2.834","2.834","2.832","0.19%"
"Aug 05, 2022","2.827","2.677","2.869","2.674","4.94%"
"Aug 04, 2022","2.694","2.717","2.745","2.656","-0.47%"
"Aug 03, 2022","2.706","2.745","2.851","2.699","-1.52%"
"Aug 02, 2022","2.748","2.568","2.774","2.516","6.21%"
"Aug 01, 2022","2.588","2.669","2.696","2.575","-3.10%"
"Jul 31, 2022","2.670","2.665","2.670","2.665","0.48%"
"Jul 29, 2022","2.658","2.678","2.728","2.618","-0.48%"
"Jul 28, 2022","2.671","2.759","2.827","2.649","-4.11%"
"Jul 27, 2022","2.785","2.801","2.820","2.723","-0.65%"
"Jul 26, 2022","2.803","2.801","2.810","2.707","-0.13%"
"Jul 25, 2022","2.807","2.783","2.845","2.772","0.79%"
"Jul 24, 2022","2.785","2.787","2.787","2.785","1.13%"
"Jul 22, 2022","2.754","2.878","2.904","2.732","-4.44%"
"Jul 21, 2022","2.882","3.021","3.083","2.871","-4.89%"
"Jul 20, 2022","3.030","3.028","3.042","2.943","0.06%"
"Jul 19, 2022","3.028","2.986","3.038","2.956","1.31%"
"Jul 18, 2022","2.989","2.919","3.019","2.911","2.09%"
"Jul 17, 2022","2.928","2.928","2.928","2.928","0.00%"
"Jul 15, 2022","2.928","2.956","2.973","2.899","-1.00%"
"Jul 14, 2022","2.958","2.941","3.028","2.911","0.75%"
"Jul 13, 2022","2.935","2.965","3.071","2.899","-1.18%"
"Jul 12, 2022","2.971","2.989","2.989","2.899","-0.74%"
"Jul 11, 2022","2.993","3.097","3.103","2.967","-3.37%"
"Jul 10, 2022","3.097","3.101","3.101","3.097","0.55%"
"Jul 08, 2022","3.080","3.000","3.101","2.967","2.67%"
"Jul 07, 2022","3.000","2.932","3.017","2.897","2.27%"
"Jul 06, 2022","2.934","2.825","2.935","2.746","4.09%"
"Jul 05, 2022","2.818","2.930","2.978","2.780","-3.87%"
"Jul 04, 2022","2.932","2.930","2.934","2.930","1.46%"
"Jul 01, 2022","2.889","3.024","3.028","2.791","-4.22%"
"Jun 30, 2022","3.017","3.078","3.108","2.970","-2.29%"
"Jun 29, 2022","3.087","3.179","3.187","3.087","-2.83%"
"Jun 28, 2022","3.177","3.202","3.259","3.171","-0.76%"
"Jun 27, 2022","3.202","3.134","3.219","3.121","2.16%"
"Jun 26, 2022","3.134","3.134","3.134","3.134","-0.12%"
"Jun 24, 2022","3.138","3.079","3.141","3.039","1.58%"
"Jun 23, 2022","3.089","3.152","3.175","3.005","-2.25%"
"Jun 22, 2022","3.160","3.284","3.284","3.124","-3.62%"
"Jun 21, 2022","3.279","3.275","3.317","3.258","0.06%"
"Jun 20, 2022","3.277","3.277","3.277","3.277","1.41%"
"Jun 17, 2022","3.231","3.227","3.313","3.194","1.13%"
"Jun 16, 2022","3.195","3.303","3.495","3.178","-2.93%"
"Jun 15, 2022","3.292","3.448","3.464","3.280","-5.39%"
"Jun 14, 2022","3.479","3.379","3.498","3.267","3.49%"
"Jun 13, 2022","3.362","3.172","3.440","3.155","5.91%"
"Jun 12, 2022","3.174","3.180","3.180","3.171","0.29%"
"Jun 10, 2022","3.165","3.055","3.178","2.990","3.92%"
"Jun 09, 2022","3.046","3.034","3.073","3.007","0.61%"
"Jun 08, 2022","3.027","2.986","3.042","2.983","1.61%"
"Jun 07, 2022","2.979","3.044","3.064","2.957","-2.00%"
"Jun 06, 2022","3.040","2.935","3.049","2.933","3.51%"
"Jun 05, 2022","2.937","2.944","2.944","2.937","-0.12%"
