Date,Price,Open,High,Low,Change %,Change_num
2022-10-01,3.91,3.91,3.91,3.91,-1.64%,-0.06499999999999995
2022-09-30,3.975,3.973,3.985,3.957,1.77%,0.06899999999999995
2022-09-29,3.906,3.905,3.957,3.889,-5.33%,-0.2200000000000002
2022-09-28,4.126,4.091,4.153,4.089,0.98%,0.040000000000000036
2022-09-27,4.086,4.113,4.135,4.048,3.50%,0.13800000000000034
2022-09-26,3.948,3.901,3.986,3.901,0.28%,0.01100000000000012
2022-09-24,3.937,3.937,3.937,3.937,-0.03%,-0.001000000000000334
2022-09-23,3.938,3.866,3.954,3.838,1.84%,0.07100000000000017
2022-09-22,3.867,3.688,3.881,3.665,3.29%,0.12299999999999978
2022-09-21,3.744,3.785,3.789,3.727,2.46%,0.0900000000000003
2022-09-20,3.654,3.712,3.728,3.648,-1.22%,-0.04499999999999993
2022-09-19,3.699,3.714,3.754,3.692,-0.43%,-0.016000000000000014
2022-09-17,3.715,3.715,3.715,3.715,-0.99%,-0.03699999999999992
2022-09-16,3.752,3.712,3.756,3.701,2.26%,0.08299999999999974
2022-09-15,3.669,3.667,3.672,3.628,-0.92%,-0.03399999999999981
2022-09-14,3.703,3.705,3.73,3.68,2.83%,0.10199999999999987
2022-09-13,3.601,3.632,3.632,3.601,-0.08%,-0.0030000000000001137
2022-09-12,3.604,3.536,3.606,3.536,1.07%,0.038000000000000256
2022-09-10,3.566,3.566,3.566,3.566,-0.67%,-0.02400000000000002
2022-09-09,3.59,3.647,3.669,3.588,0.34%,0.01200000000000001
2022-09-08,3.578,3.648,3.654,3.533,-4.71%,-0.17700000000000005
2022-09-07,3.755,3.742,3.765,3.725,2.88%,0.10499999999999998
2022-09-06,3.65,3.7,3.719,3.633,-0.03%,-0.0009999999999998899
2022-09-05,3.651,3.645,3.671,3.627,0.16%,0.005999999999999783
2022-09-03,3.645,3.645,3.645,3.645,-1.41%,-0.052000000000000046
2022-09-02,3.697,3.727,3.74,3.69,-0.56%,-0.020999999999999908
2022-09-01,3.718,3.657,3.751,3.657,2.57%,0.09299999999999997
