Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,"2,5735",,,,"-4,62%",-0.12460000000000004
2022-09-29,"2,6981",,,,"3,04%",0.07950000000000035
2022-09-28,"2,6186",,,,"-0,98%",-0.025800000000000267
2022-09-27,"2,6444",,,,"5,85%",0.14610000000000012
2022-09-26,"2,4983",,,,"2,28%",0.05580000000000007
2022-09-23,"2,4425",,,,"1,97%",0.0472999999999999
2022-09-22,"2,3952",,,,"4,99%",0.1137999999999999
2022-09-21,"2,2814",,,,"-1,49%",-0.034399999999999764
2022-09-20,"2,3158",,,,"6,42%",0.13969999999999994
2022-09-19,"2,1761",,,,"-0,09%",-0.0019000000000000128
2022-09-16,"2,178",,,,"3,23%",0.06820000000000004
2022-09-15,"2,1098",,,,"1,13%",0.023600000000000065
2022-09-14,"2,0862",,,,"0,51%",0.010499999999999954
2022-09-13,"2,0757",,,,"5,19%",0.10239999999999982
2022-09-12,"1,9733",,,,"-3,84%",-0.07869999999999999
2022-09-09,"2,052",,,,"-0,64%",-0.013199999999999878
2022-09-08,"2,0652",,,,"5,08%",0.09979999999999989
2022-09-07,"1,9654",,,,"-2,35%",-0.04719999999999991
2022-09-06,"2,0126",,,,"3,37%",0.06559999999999988
2022-09-05,"1,947",,,,"2,91%",0.05510000000000015
2022-09-02,"1,8919",,,,"-2,7%",-0.05249999999999999
2022-09-01,"1,9444",,,,"2,26%",0.04299999999999993
2022-08-31,"1,9014",,,,0%,0.0
2022-08-30,"1,9014",,,,"1,4%",0.0262
2022-08-29,"1,8752",,,,"5,62%",0.09979999999999989
2022-08-26,"1,7754",,,,"4,5%",0.07640000000000002
2022-08-25,"1,699",,,,"-1,66%",-0.028699999999999948
2022-08-24,"1,7277",,,,"3,88%",0.0645
2022-08-23,"1,6632",,,,"2,65%",0.04289999999999994
2022-08-22,"1,6203",,,,"3,51%",0.05490000000000017
2022-08-19,"1,5654",,,,"10,25%",0.14559999999999995
2022-08-18,"1,4198",,,,"0,85%",0.011900000000000022
2022-08-17,"1,4079",,,,"5,67%",0.0754999999999999
2022-08-16,"1,3324",,,,"8,63%",0.1059000000000001
2022-08-15,"1,2265",,,,"-6,05%",-0.07900000000000018
2022-08-12,"1,3055",,,,"0,44%",0.005700000000000038
2022-08-11,"1,2998",,,,"9,32%",0.11080000000000001
2022-08-10,"1,189",,,,"-3,71%",-0.04579999999999984
2022-08-09,"1,2348",,,,"3,36%",0.0400999999999998
2022-08-08,"1,1947",,,,"-4,29%",-0.05349999999999988
2022-08-05,"1,2482",,,,"12,96%",0.1432
2022-08-04,"1,105",,,,"-6,47%",-0.07640000000000002
2022-08-03,"1,1814",,,,"10,55%",0.11270000000000002
2022-08-02,"1,0687",,,,"1,08%",0.011400000000000077
2022-08-01,"1,0573",,,,"-4,48%",-0.04960000000000009
2022-07-29,"1,1069",,,,"1,37%",0.014999999999999902
2022-07-28,"1,0919",,,,"-9,55%",-0.11529999999999996
2022-07-27,"1,2072",,,,"-2,3%",-0.02839999999999998
2022-07-26,"1,2356",,,,"-7,38%",-0.09850000000000003
2022-07-25,"1,3341",,,,"0,81%",0.010700000000000154
2022-07-22,"1,3234",,,,"-11,29%",-0.1685000000000001
2022-07-21,"1,4919",,,,"-4,85%",-0.07610000000000006
2022-07-20,"1,568",,,,"-0,95%",-0.015099999999999891
2022-07-19,"1,5831",,,,"3,55%",0.054200000000000026
2022-07-18,"1,5289",,,,"5,81%",0.08399999999999985
2022-07-15,"1,4449",,,,"-5,73%",-0.08779999999999988
2022-07-14,"1,5327",,,,"3,75%",0.055399999999999894
2022-07-13,"1,4773",,,,"2,24%",0.032399999999999984
2022-07-12,"1,4449",,,,"-8,13%",-0.1278999999999999
2022-07-11,"1,5728",,,,"-5,36%",-0.08899999999999997
2022-07-08,"1,6618",,,,"1,44%",0.023599999999999843
2022-07-07,"1,6382",,,,"8,71%",0.1313000000000002
2022-07-06,"1,5069",,,,"-4,65%",-0.07350000000000012
2022-07-05,"1,5804",,,,"-9,06%",-0.15749999999999997
