Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,2.109,2.206,2.209,2.061,-4.48%,-0.0990000000000002
2022-09-29,2.208,2.233,2.297,2.177,2.46%,0.05300000000000038
2022-09-28,2.155,2.231,2.352,2.13,-4.31%,-0.09699999999999998
2022-09-27,2.252,2.142,2.255,2.04,7.65%,0.1599999999999997
2022-09-26,2.092,2.024,2.132,2.024,3.00%,0.06099999999999994
2022-09-23,2.031,1.966,2.115,1.909,2.68%,0.05300000000000016
2022-09-22,1.978,1.888,1.996,1.83,4.55%,0.08600000000000008
2022-09-21,1.892,1.928,1.928,1.839,-2.42%,-0.04700000000000015
2022-09-20,1.939,1.804,1.954,1.804,8.26%,0.14800000000000013
2022-09-19,1.791,1.756,1.818,1.744,1.47%,0.026000000000000023
2022-09-16,1.765,1.766,1.817,1.747,1.38%,0.0239999999999998
2022-09-15,1.741,1.716,1.768,1.704,2.53%,0.04300000000000015
2022-09-14,1.698,1.731,1.779,1.683,-1.51%,-0.026000000000000023
2022-09-13,1.724,1.655,1.756,1.642,4.80%,0.07899999999999996
2022-09-12,1.645,1.697,1.755,1.636,-3.24%,-0.05499999999999994
2022-09-09,1.7,1.741,1.796,1.639,-0.70%,-0.01200000000000001
2022-09-08,1.712,1.576,1.716,1.543,8.70%,0.137
2022-09-07,1.575,1.645,1.645,1.546,-1.87%,-0.030000000000000027
2022-09-06,1.605,1.562,1.64,1.485,2.49%,0.038999999999999924
2022-09-05,1.566,1.522,1.591,1.478,3.03%,0.04600000000000004
2022-09-02,1.52,1.563,1.609,1.474,-3.25%,-0.050999999999999934
2022-09-01,1.571,1.54,1.634,1.54,2.28%,0.03499999999999992
2022-08-31,1.536,1.495,1.584,1.462,1.72%,0.026000000000000023
2022-08-30,1.51,1.509,1.544,1.438,0.33%,0.0050000000000001155
2022-08-29,1.505,1.495,1.548,1.463,7.65%,0.10699999999999998
2022-08-26,1.398,1.316,1.435,1.311,5.19%,0.06899999999999995
2022-08-25,1.329,1.363,1.39,1.317,-2.49%,-0.03400000000000003
2022-08-24,1.363,1.331,1.39,1.311,3.18%,0.04200000000000004
2022-08-23,1.321,1.301,1.375,1.249,1.54%,0.020000000000000018
2022-08-22,1.301,1.225,1.311,1.181,5.43%,0.06699999999999995
2022-08-19,1.234,1.102,1.242,1.1,12.39%,0.1359999999999999
2022-08-18,1.098,1.091,1.15,1.066,1.86%,0.020000000000000018
2022-08-17,1.078,0.967,1.11,0.967,10.11%,0.09900000000000009
2022-08-16,0.979,0.897,1.005,0.897,8.42%,0.07599999999999996
2022-08-15,0.903,0.987,1.017,0.886,-8.79%,-0.08699999999999997
2022-08-12,0.99,0.979,1.025,0.954,2.38%,0.02300000000000002
2022-08-11,0.967,0.89,0.99,0.852,9.14%,0.08099999999999996
2022-08-10,0.886,0.918,0.945,0.837,-4.01%,-0.03700000000000003
2022-08-09,0.923,0.89,0.964,0.871,2.90%,0.026000000000000023
2022-08-08,0.897,0.926,0.94,0.865,-6.66%,-0.06399999999999995
2022-08-05,0.961,0.809,0.964,0.788,18.79%,0.1519999999999999
2022-08-04,0.809,0.869,0.896,0.788,-7.44%,-0.06499999999999995
2022-08-03,0.874,0.826,0.914,0.785,11.76%,0.09199999999999997
2022-08-02,0.782,0.78,0.802,0.678,2.76%,0.02100000000000002
2022-08-01,0.761,0.818,0.885,0.758,-7.76%,-0.06399999999999995
2022-07-29,0.825,0.828,0.918,0.803,3.00%,0.02399999999999991
2022-07-28,0.801,0.944,1.003,0.797,-14.61%,-0.1369999999999999
2022-07-27,0.938,0.946,0.976,0.92,1.08%,0.009999999999999898
2022-07-26,0.928,1.018,1.033,0.91,-9.90%,-0.10199999999999998
2022-07-25,1.03,1.031,1.088,1.014,0.68%,0.007000000000000117
2022-07-22,1.023,1.223,1.225,0.988,-16.15%,-0.19700000000000006
2022-07-21,1.22,1.241,1.369,1.195,-3.17%,-0.040000000000000036
2022-07-20,1.26,1.278,1.295,1.186,-1.41%,-0.018000000000000016
2022-07-19,1.278,1.192,1.308,1.164,5.27%,0.06400000000000006
2022-07-18,1.214,1.128,1.243,1.115,7.62%,0.08600000000000008
2022-07-15,1.128,1.129,1.176,1.071,-4.33%,-0.051000000000000156
2022-07-14,1.179,1.149,1.26,1.13,2.97%,0.03400000000000003
2022-07-13,1.145,1.131,1.224,1.125,0.97%,0.01100000000000012
2022-07-12,1.134,1.246,1.25,1.094,-9.28%,-0.1160000000000001
2022-07-11,1.25,1.327,1.328,1.219,-7.13%,-0.09600000000000009
2022-07-08,1.346,1.287,1.35,1.248,4.26%,0.05500000000000016
2022-07-07,1.291,1.232,1.321,1.233,11.49%,0.133
2022-07-06,1.158,1.192,1.242,1.072,-2.44%,-0.029000000000000137
2022-07-05,1.187,1.338,1.354,1.177,-11.22%,-0.1499999999999999
2022-07-04,1.337,1.232,1.352,1.232,9.05%,0.11099999999999999
2022-07-01,1.226,1.341,1.41,1.163,-10.38%,-0.14200000000000013
2022-06-30,1.368,1.53,1.53,1.348,-9.04%,-0.1359999999999999
2022-06-29,1.504,1.629,1.642,1.498,-8.01%,-0.131
2022-06-28,1.635,1.549,1.673,1.535,5.89%,0.09099999999999997
2022-06-27,1.544,1.44,1.572,1.44,7.41%,0.10650000000000004
2022-06-25,1.4375,1.4375,1.4375,1.4375,-0.17%,-0.0024999999999999467
2022-06-24,1.44,1.442,1.508,1.354,0.91%,0.0129999999999999
2022-06-23,1.427,1.63,1.661,1.39,-11.91%,-0.19300000000000006
2022-06-22,1.62,1.77,1.77,1.588,-8.06%,-0.1419999999999999
2022-06-21,1.762,1.744,1.797,1.712,1.09%,0.018999999999999906
2022-06-20,1.743,1.658,1.743,1.619,4.43%,0.07400000000000007
2022-06-17,1.669,1.712,1.787,1.616,-2.00%,-0.03400000000000003
2022-06-16,1.703,1.641,1.926,1.608,3.09%,0.051000000000000156
2022-06-15,1.652,1.76,1.773,1.585,-5.65%,-0.09899999999999998
2022-06-14,1.751,1.634,1.751,1.592,7.62%,0.12399999999999989
2022-06-13,1.627,1.483,1.637,1.478,8.32%,0.125
2022-06-10,1.502,1.437,1.503,1.384,4.67%,0.06699999999999995
