Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,0.245,0.251,0.251,0.245,-2.00%,-0.0050000000000000044
2022-09-29,0.25,0.244,0.25,0.242,0.00%,0.0
2022-09-28,0.25,0.251,0.251,0.25,0.00%,0.0
2022-09-27,0.25,0.251,0.251,0.25,-0.40%,-0.0010000000000000009
2022-09-26,0.251,0.245,0.251,0.244,4.15%,0.010000000000000009
2022-09-25,0.241,0.239,0.241,0.239,2.55%,0.006000000000000005
2022-09-22,0.235,0.255,0.256,0.225,-7.84%,-0.020000000000000018
2022-09-21,0.255,0.256,0.257,0.255,0.00%,0.0
2022-09-20,0.255,0.256,0.256,0.255,1.80%,0.0050000000000000044
2022-09-19,0.25,0.251,0.251,0.25,-1.76%,-0.0050000000000000044
2022-09-16,0.255,0.255,0.255,0.25,-0.39%,-0.0010000000000000009
2022-09-15,0.256,0.25,0.256,0.25,2.40%,0.006000000000000005
2022-09-14,0.25,0.25,0.251,0.249,2.04%,0.0050000000000000044
2022-09-13,0.245,0.245,0.246,0.245,0.00%,0.0
2022-09-12,0.245,0.248,0.25,0.245,1.03%,0.0020000000000000018
2022-09-11,0.243,0.243,0.243,0.243,-3.00%,-0.007000000000000006
2022-09-09,0.25,0.25,0.251,0.244,2.04%,0.0050000000000000044
2022-09-08,0.245,0.244,0.245,0.24,0.00%,0.0
2022-09-07,0.245,0.246,0.25,0.245,2.08%,0.0050000000000000044
2022-09-06,0.24,0.238,0.24,0.235,4.35%,0.009999999999999981
2022-09-05,0.23,0.238,0.24,0.23,-0.43%,-0.0010000000000000009
2022-09-04,0.231,0.234,0.234,0.231,-3.75%,-0.00899999999999998
2022-09-02,0.24,0.243,0.243,0.239,0.42%,0.0010000000000000009
2022-09-01,0.239,0.233,0.244,0.233,6.22%,0.013999999999999985
2022-08-31,0.225,0.227,0.228,0.22,0.00%,0.0
2022-08-30,0.225,0.244,0.244,0.224,-6.25%,-0.014999999999999986
2022-08-29,0.24,0.229,0.241,0.229,5.73%,0.012999999999999984
2022-08-28,0.227,0.219,0.227,0.219,3.18%,0.007000000000000006
2022-08-26,0.22,0.22,0.225,0.216,-4.35%,-0.010000000000000009
2022-08-25,0.23,0.232,0.235,0.229,2.68%,0.006000000000000005
2022-08-24,0.224,0.219,0.225,0.219,4.67%,0.010000000000000009
2022-08-23,0.214,0.225,0.225,0.214,-2.28%,-0.0050000000000000044
2022-08-22,0.219,0.212,0.219,0.209,5.80%,0.01200000000000001
2022-08-21,0.207,0.209,0.209,0.207,4.02%,0.00799999999999998
2022-08-19,0.199,0.195,0.2,0.193,0.51%,0.0010000000000000009
2022-08-18,0.198,0.199,0.2,0.185,7.61%,0.014000000000000012
2022-08-17,0.184,0.177,0.187,0.174,8.24%,0.013999999999999985
