Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,2.429,2.454,2.484,2.374,-3.42%,-0.0860000000000003
2022-09-29,2.515,2.506,2.615,2.5,1.90%,0.04700000000000015
2022-09-28,2.468,2.602,2.677,2.447,-2.87%,-0.07299999999999995
2022-09-27,2.541,2.466,2.581,2.361,5.48%,0.13200000000000012
2022-09-26,2.409,2.433,2.446,2.373,2.73%,0.06399999999999961
2022-09-23,2.345,2.276,2.421,2.219,2.76%,0.06300000000000017
2022-09-22,2.282,2.237,2.308,2.137,4.06%,0.08899999999999997
2022-09-21,2.193,2.198,2.218,2.148,-2.32%,-0.052000000000000046
2022-09-20,2.245,2.133,2.261,2.12,6.40%,0.13500000000000023
2022-09-19,2.11,2.05,2.125,2.046,2.78%,0.05699999999999994
2022-09-17,2.053,2.053,2.053,2.053,-0.29%,-0.006000000000000227
2022-09-16,2.059,2.096,2.111,2.049,-0.10%,-0.0019999999999997797
2022-09-15,2.061,2.073,2.079,2.007,2.08%,0.041999999999999815
2022-09-14,2.019,2.022,2.095,2.0,-0.88%,-0.017999999999999794
2022-09-13,2.037,1.977,2.062,1.943,4.35%,0.08499999999999996
2022-09-12,1.952,2.045,2.06,1.935,-1.91%,-0.038000000000000034
2022-09-09,1.99,2.044,2.101,1.947,-1.14%,-0.02299999999999991
2022-09-08,2.013,1.847,2.032,1.844,6.00%,0.11399999999999988
2022-09-07,1.899,1.957,1.962,1.853,-2.31%,-0.04499999999999993
2022-09-06,1.944,1.905,1.974,1.806,2.69%,0.050999999999999934
2022-09-05,1.893,1.823,1.921,1.819,1.56%,0.028999999999999915
2022-09-02,1.864,1.879,1.941,1.802,-2.15%,-0.040999999999999925
2022-09-01,1.905,1.929,1.97,1.885,1.76%,0.03299999999999992
2022-08-31,1.872,1.815,1.924,1.799,1.52%,0.028000000000000025
2022-08-30,1.844,1.84,1.888,1.785,-0.65%,-0.01200000000000001
2022-08-29,1.856,1.839,1.89,1.809,7.72%,0.133
2022-08-26,1.723,1.645,1.769,1.641,4.81%,0.07900000000000018
2022-08-25,1.644,1.691,1.7,1.64,-2.89%,-0.049000000000000155
2022-08-24,1.693,1.68,1.714,1.631,3.80%,0.062000000000000055
2022-08-23,1.631,1.573,1.691,1.555,0.62%,0.010000000000000009
2022-08-22,1.621,1.503,1.621,1.483,5.95%,0.09099999999999997
2022-08-19,1.53,1.471,1.542,1.456,9.21%,0.129
2022-08-18,1.401,1.446,1.446,1.37,1.30%,0.018000000000000016
2022-08-17,1.383,1.267,1.411,1.265,9.16%,0.1160000000000001
2022-08-16,1.267,1.199,1.296,1.194,6.29%,0.07499999999999996
2022-08-15,1.192,1.286,1.317,1.179,-7.88%,-0.10200000000000009
2022-08-12,1.294,1.285,1.328,1.255,2.05%,0.026000000000000023
2022-08-11,1.268,1.228,1.291,1.135,6.11%,0.07299999999999995
2022-08-10,1.195,1.228,1.238,1.135,-2.53%,-0.030999999999999917
2022-08-09,1.226,1.194,1.267,1.166,2.68%,0.03200000000000003
2022-08-08,1.194,1.177,1.259,1.08,-4.71%,-0.05899999999999994
2022-08-05,1.253,1.177,1.259,1.08,12.68%,0.1409999999999998
2022-08-04,1.112,1.177,1.202,1.08,-5.76%,-0.06799999999999984
2022-08-03,1.18,1.111,1.222,1.104,8.26%,0.08999999999999986
2022-08-02,1.09,1.017,1.106,0.969,2.73%,0.029000000000000137
2022-08-01,1.061,1.145,1.183,1.049,-5.27%,-0.05900000000000016
2022-07-29,1.12,1.148,1.231,1.112,-1.15%,-0.0129999999999999
2022-07-28,1.133,1.32,1.327,1.116,-10.72%,-0.1359999999999999
2022-07-27,1.269,1.267,1.294,1.234,1.28%,0.016000000000000014
2022-07-26,1.253,1.334,1.339,1.228,-7.12%,-0.09600000000000009
2022-07-25,1.349,1.371,1.41,1.34,-0.66%,-0.009000000000000119
2022-07-22,1.358,1.503,1.517,1.312,-11.99%,-0.18499999999999983
2022-07-21,1.543,1.573,1.697,1.523,-1.47%,-0.02300000000000013
2022-07-20,1.566,1.563,1.586,1.481,-0.70%,-0.010999999999999899
2022-07-19,1.577,1.481,1.604,1.48,3.00%,0.04600000000000004
2022-07-18,1.531,1.49,1.559,1.485,5.37%,0.07799999999999985
2022-07-15,1.453,1.423,1.5,1.399,-2.74%,-0.040999999999999925
2022-07-14,1.494,1.47,1.575,1.466,2.26%,0.03299999999999992
2022-07-13,1.461,1.475,1.529,1.424,1.46%,0.02100000000000013
2022-07-12,1.44,1.543,1.543,1.421,-8.34%,-0.131
2022-07-11,1.571,1.651,1.658,1.536,-6.32%,-0.1060000000000001
2022-07-09,1.677,1.677,1.677,1.677,-0.30%,-0.004999999999999893
2022-07-08,1.682,1.622,1.692,1.587,1.94%,0.03200000000000003
2022-07-07,1.65,1.589,1.669,1.587,6.59%,0.10199999999999987
2022-07-06,1.548,1.607,1.622,1.473,-2.15%,-0.03400000000000003
2022-07-05,1.582,1.687,1.714,1.565,-6.67%,-0.11299999999999999
2022-07-04,1.695,1.629,1.718,1.61,7.01%,0.11099999999999999
2022-07-01,1.584,1.712,1.788,1.521,-8.76%,-0.1519999999999999
2022-06-30,1.736,1.812,1.813,1.707,-7.07%,-0.13200000000000012
2022-06-29,1.868,1.912,1.979,1.844,-4.30%,-0.08399999999999985
2022-06-28,1.952,1.892,1.991,1.883,4.55%,0.08499999999999996
2022-06-27,1.867,1.778,1.885,1.767,7.30%,0.127
2022-06-24,1.74,1.714,1.82,1.671,-0.80%,-0.014000000000000012
2022-06-23,1.754,1.964,1.967,1.705,-9.45%,-0.18300000000000005
2022-06-22,1.937,2.025,2.033,1.907,-7.36%,-0.15400000000000014
2022-06-21,2.091,2.057,2.115,2.039,1.21%,0.025000000000000355
2022-06-20,2.066,1.978,2.077,1.948,4.03%,0.07999999999999985
2022-06-17,1.986,2.047,2.121,1.933,-2.60%,-0.05300000000000016
2022-06-16,2.039,1.986,2.269,1.982,2.88%,0.05700000000000016
2022-06-15,1.982,1.979,2.148,1.934,-6.99%,-0.1489999999999998
2022-06-14,2.131,1.979,2.146,1.954,7.14%,0.14199999999999968
2022-06-13,1.989,1.858,2.001,1.829,8.39%,0.15400000000000014
2022-06-10,1.835,1.753,1.835,1.707,5.40%,0.09399999999999986
2022-06-09,1.741,1.661,1.765,1.624,5.84%,0.09600000000000009
2022-06-08,1.645,1.615,1.664,1.595,3.01%,0.04800000000000004
2022-06-07,1.597,1.641,1.642,1.572,-1.30%,-0.02100000000000013
2022-06-06,1.618,1.558,1.632,1.554,2.93%,0.04600000000000004
2022-06-03,1.572,1.542,1.587,1.519,2.01%,0.03100000000000014
2022-06-02,1.541,1.479,1.546,1.476,4.55%,0.06699999999999995
2022-06-01,1.474,1.421,1.482,1.401,4.61%,0.06499999999999995
2022-05-31,1.409,1.361,1.435,1.314,5.31%,0.07099999999999995
