"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.818","2.850","2.874","2.757","-1.67%"
"Sep 29, 2022","2.866","2.875","2.976","2.840","2.17%"
"Sep 28, 2022","2.805","2.883","3.012","2.786","-1.89%"
"Sep 27, 2022","2.859","2.762","2.885","2.680","5.38%"
"Sep 26, 2022","2.713","2.716","2.759","2.665","2.88%"
"Sep 23, 2022","2.637","2.592","2.718","2.517","2.13%"
"Sep 22, 2022","2.582","2.523","2.605","2.439","3.20%"
"Sep 21, 2022","2.502","2.487","2.524","2.447","-1.61%"
"Sep 20, 2022","2.543","2.430","2.559","2.418","5.26%"
"Sep 19, 2022","2.416","2.384","2.433","2.356","2.16%"
"Sep 16, 2022","2.365","2.445","2.460","2.359","-0.71%"
"Sep 15, 2022","2.382","2.366","2.404","2.330","2.14%"
"Sep 14, 2022","2.332","2.315","2.402","2.306","-0.38%"
"Sep 13, 2022","2.341","2.267","2.376","2.253","3.49%"
"Sep 12, 2022","2.262","2.362","2.378","2.245","-2.29%"
"Sep 09, 2022","2.315","2.372","2.419","2.254","-0.52%"
"Sep 08, 2022","2.327","2.167","2.343","2.159","5.06%"
"Sep 07, 2022","2.215","2.236","2.292","2.176","-1.60%"
"Sep 06, 2022","2.251","2.217","2.286","2.132","1.86%"
"Sep 05, 2022","2.210","2.131","2.233","2.115","1.94%"
"Sep 02, 2022","2.168","2.184","2.248","2.110","-2.03%"
"Sep 01, 2022","2.213","2.224","2.279","2.193","1.93%"
"Aug 31, 2022","2.171","2.134","2.236","2.098","1.69%"
"Aug 30, 2022","2.135","2.108","2.180","2.073","-0.33%"
"Aug 29, 2022","2.142","2.176","2.211","2.098","6.09%"
"Aug 26, 2022","2.019","1.934","2.068","1.928","4.18%"
"Aug 25, 2022","1.938","1.986","1.988","1.931","-1.97%"
"Aug 24, 2022","1.977","1.951","2.011","1.916","3.35%"
"Aug 23, 2022","1.913","1.866","1.987","1.837","0.79%"
"Aug 22, 2022","1.898","1.783","1.898","1.754","5.21%"
"Aug 19, 2022","1.804","1.732","1.814","1.721","7.83%"
"Aug 18, 2022","1.673","1.649","1.704","1.628","2.45%"
"Aug 17, 2022","1.633","1.537","1.671","1.523","7.22%"
"Aug 16, 2022","1.523","1.445","1.557","1.442","5.76%"
"Aug 15, 2022","1.440","1.540","1.560","1.426","-6.74%"
"Aug 12, 2022","1.544","1.529","1.584","1.505","2.18%"
"Aug 11, 2022","1.511","1.461","1.533","1.399","4.86%"
"Aug 10, 2022","1.441","1.478","1.480","1.389","-1.30%"
"Aug 09, 2022","1.460","1.482","1.509","1.427","0.48%"
"Aug 08, 2022","1.453","1.475","1.487","1.420","-3.58%"
"Aug 05, 2022","1.507","1.353","1.514","1.345","10.24%"
"Aug 04, 2022","1.367","1.429","1.460","1.338","-4.87%"
"Aug 03, 2022","1.437","1.372","1.482","1.344","6.29%"
"Aug 02, 2022","1.352","1.279","1.368","1.218","2.58%"
"Aug 01, 2022","1.318","1.365","1.416","1.294","-2.80%"
"Jul 29, 2022","1.356","1.370","1.464","1.348","0.22%"
"Jul 28, 2022","1.353","1.558","1.566","1.342","-9.26%"
"Jul 27, 2022","1.491","1.498","1.527","1.470","0.74%"
"Jul 26, 2022","1.480","1.580","1.595","1.457","-6.15%"
"Jul 25, 2022","1.577","1.625","1.641","1.567","-0.94%"
"Jul 22, 2022","1.592","1.746","1.770","1.534","-10.46%"
"Jul 21, 2022","1.778","1.814","1.922","1.755","-1.06%"
"Jul 20, 2022","1.797","1.835","1.839","1.717","-0.94%"
"Jul 19, 2022","1.814","1.751","1.847","1.730","1.74%"
"Jul 18, 2022","1.783","1.702","1.813","1.702","4.57%"
"Jul 15, 2022","1.705","1.683","1.760","1.656","-1.22%"
"Jul 14, 2022","1.726","1.722","1.829","1.696","0.88%"
"Jul 13, 2022","1.711","1.715","1.778","1.678","1.30%"
"Jul 12, 2022","1.689","1.811","1.816","1.659","-6.58%"
"Jul 11, 2022","1.808","1.886","1.893","1.779","-5.49%"
"Jul 08, 2022","1.913","1.857","1.924","1.822","2.19%"
"Jul 07, 2022","1.872","1.810","1.887","1.806","5.88%"
"Jul 06, 2022","1.768","1.837","1.865","1.684","-2.00%"
