"Date","Price","Open","High","Low","Change %"
"Oct 01, 2022","4.082","4.082","4.082","4.082","-0.66%"
"Sep 30, 2022","4.109","4.134","4.192","4.086","-2.79%"
"Sep 29, 2022","4.227","4.139","4.267","4.050","-0.09%"
"Sep 28, 2022","4.231","4.310","4.426","4.207","0.59%"
"Sep 27, 2022","4.206","4.397","4.397","4.194","-2.23%"
"Sep 26, 2022","4.302","4.186","4.302","4.178","4.24%"
"Sep 25, 2022","4.127","4.127","4.127","4.127","0.00%"
"Sep 24, 2022","4.127","4.127","4.127","4.127","0.49%"
"Sep 23, 2022","4.107","4.088","4.249","4.088","3.01%"
"Sep 22, 2022","3.987","3.933","4.005","3.933","2.15%"
"Sep 21, 2022","3.903","3.869","3.936","3.869","2.17%"
"Sep 20, 2022","3.820","3.785","3.838","3.771","0.55%"
"Sep 19, 2022","3.799","3.765","3.831","3.761","0.77%"
"Sep 18, 2022","3.770","3.770","3.770","3.770","0.00%"
"Sep 17, 2022","3.770","3.770","3.770","3.770","-0.05%"
"Sep 16, 2022","3.772","3.757","3.795","3.746","-0.50%"
"Sep 15, 2022","3.791","3.661","3.809","3.661","3.64%"
"Sep 14, 2022","3.658","3.702","3.735","3.655","0.36%"
"Sep 13, 2022","3.645","3.655","3.690","3.636","0.69%"
"Sep 12, 2022","3.620","3.620","3.620","3.620","0.00%"
"Sep 11, 2022","3.620","3.620","3.620","3.620","0.00%"
"Sep 10, 2022","3.620","3.620","3.620","3.620","0.00%"
"Sep 09, 2022","3.620","3.620","3.620","3.620","-0.06%"
"Sep 08, 2022","3.622","3.715","3.718","3.622","-3.05%"
"Sep 07, 2022","3.736","3.777","3.800","3.732","0.70%"
"Sep 06, 2022","3.710","3.672","3.716","3.644","1.06%"
"Sep 05, 2022","3.671","3.720","3.755","3.660","-1.58%"
"Sep 04, 2022","3.730","3.730","3.730","3.730","0.00%"
"Sep 03, 2022","3.730","3.730","3.730","3.730","-0.40%"
"Sep 02, 2022","3.745","3.776","3.818","3.742","-1.42%"
"Sep 01, 2022","3.799","3.777","3.808","3.774","1.39%"
"Aug 31, 2022","3.747","3.704","3.801","3.700","1.41%"
"Aug 30, 2022","3.695","3.706","3.735","3.689","-0.54%"
"Aug 29, 2022","3.715","3.689","3.737","3.682","2.60%"
"Aug 28, 2022","3.621","3.621","3.621","3.621","0.00%"
"Aug 27, 2022","3.621","3.621","3.621","3.621","0.19%"
"Aug 26, 2022","3.614","3.557","3.670","3.529","0.53%"
"Aug 25, 2022","3.595","3.465","3.596","3.443","4.72%"
"Aug 24, 2022","3.433","3.371","3.433","3.369","1.84%"
"Aug 23, 2022","3.371","3.364","3.402","3.364","0.63%"
"Aug 22, 2022","3.350","3.345","3.379","3.345","1.45%"
"Aug 21, 2022","3.302","3.302","3.302","3.302","0.00%"
"Aug 20, 2022","3.302","3.302","3.302","3.302","-0.30%"
"Aug 19, 2022","3.312","3.239","3.319","3.239","2.83%"
"Aug 18, 2022","3.221","3.222","3.229","3.202","0.97%"
"Aug 17, 2022","3.190","3.180","3.200","3.168","0.92%"
"Aug 16, 2022","3.161","3.220","3.223","3.154","-3.54%"
"Aug 15, 2022","3.277","3.277","3.277","3.277","0.00%"
"Aug 14, 2022","3.277","3.277","3.277","3.277","0.00%"
"Aug 13, 2022","3.277","3.277","3.277","3.277","-0.79%"
"Aug 12, 2022","3.303","3.287","3.305","3.267","1.98%"
"Aug 11, 2022","3.239","3.206","3.252","3.195","0.84%"
"Aug 10, 2022","3.212","3.162","3.213","3.162","1.39%"
"Aug 09, 2022","3.168","3.156","3.188","3.151","-0.31%"
"Aug 08, 2022","3.178","3.198","3.211","3.175","2.02%"
"Aug 07, 2022","3.115","3.115","3.115","3.115","0.00%"
"Aug 06, 2022","3.115","3.115","3.115","3.115","-0.32%"
"Aug 05, 2022","3.125","3.141","3.160","3.118","-0.60%"
"Aug 04, 2022","3.144","3.123","3.145","3.097","0.16%"
"Aug 03, 2022","3.139","3.170","3.170","3.125","1.29%"
"Aug 02, 2022","3.099","3.106","3.106","3.065","-2.73%"
"Aug 01, 2022","3.186","3.174","3.207","3.143","1.95%"
"Jul 31, 2022","3.125","3.125","3.125","3.125","0.00%"
"Jul 30, 2022","3.125","3.125","3.125","3.125","-0.06%"
"Jul 29, 2022","3.127","3.141","3.141","3.064","-2.19%"
"Jul 28, 2022","3.197","3.113","3.218","3.113","2.08%"
"Jul 27, 2022","3.132","3.192","3.221","3.132","-1.63%"
"Jul 26, 2022","3.184","3.211","3.228","3.178","-0.90%"
"Jul 25, 2022","3.213","3.240","3.240","3.190","-2.67%"
"Jul 23, 2022","3.301","3.301","3.301","3.301","-0.06%"
"Jul 22, 2022","3.303","3.283","3.323","3.283","-2.10%"
"Jul 21, 2022","3.374","3.350","3.377","3.328","0.33%"
"Jul 20, 2022","3.363","3.284","3.370","3.282","2.91%"
"Jul 19, 2022","3.268","3.278","3.313","3.256","0.12%"
"Jul 18, 2022","3.264","3.250","3.267","3.202","1.30%"
"Jul 17, 2022","3.222","3.222","3.222","3.222","-1.07%"
"Jul 15, 2022","3.257","3.253","3.304","3.253","-1.45%"
"Jul 14, 2022","3.305","3.308","3.355","3.270","0.06%"
"Jul 13, 2022","3.303","3.335","3.341","3.260","-1.55%"
"Jul 12, 2022","3.355","3.367","3.380","3.316","-0.89%"
"Jul 11, 2022","3.385","3.401","3.424","3.384","0.74%"
"Jul 10, 2022","3.360","3.360","3.360","3.360","-0.15%"
"Jul 08, 2022","3.365","3.348","3.381","3.332","2.25%"
"Jul 07, 2022","3.291","3.327","3.330","3.250","0.27%"
"Jul 06, 2022","3.282","3.331","3.375","3.252","-3.13%"
"Jul 05, 2022","3.388","3.483","3.518","3.350","-3.17%"
"Jul 04, 2022","3.499","3.466","3.501","3.441","0.11%"
"Jul 03, 2022","3.495","3.495","3.495","3.495","0.00%"
"Jul 02, 2022","3.495","3.495","3.495","3.495","0.17%"
"Jul 01, 2022","3.489","3.582","3.582","3.475","-4.07%"
"Jun 30, 2022","3.637","3.632","3.671","3.632","-0.82%"
"Jun 29, 2022","3.667","3.689","3.704","3.655","0.08%"
"Jun 28, 2022","3.664","3.741","3.742","3.661","-1.61%"
"Jun 27, 2022","3.724","3.685","3.734","3.666","2.73%"
"Jun 26, 2022","3.625","3.625","3.625","3.625","0.00%"
"Jun 25, 2022","3.625","3.625","3.625","3.625","-0.47%"
"Jun 24, 2022","3.642","3.623","3.674","3.622","-1.43%"
"Jun 23, 2022","3.695","3.609","3.704","3.593","-0.22%"
"Jun 22, 2022","3.703","3.778","3.794","3.699","-1.93%"
"Jun 21, 2022","3.776","3.838","3.847","3.764","-0.03%"
"Jun 20, 2022","3.777","3.802","3.816","3.764","-0.47%"
"Jun 19, 2022","3.795","3.795","3.795","3.795","0.00%"
"Jun 17, 2022","3.795","3.772","3.816","3.740","0.93%"
"Jun 16, 2022","3.760","3.710","3.767","3.686","-1.13%"
"Jun 15, 2022","3.803","3.743","3.812","3.711","2.87%"
"Jun 14, 2022","3.697","3.750","3.760","3.683","1.45%"
"Jun 13, 2022","3.644","3.559","3.705","3.559","4.41%"
"Jun 12, 2022","3.490","3.490","3.490","3.490","-0.14%"
"Jun 10, 2022","3.495","3.465","3.510","3.460","0.87%"
"Jun 09, 2022","3.465","3.495","3.520","3.437","-0.26%"
"Jun 08, 2022","3.474","3.500","3.512","3.464","-1.81%"
"Jun 07, 2022","3.538","3.475","3.539","3.474","3.85%"
"Jun 06, 2022","3.407","3.407","3.407","3.407","0.00%"
"Jun 05, 2022","3.407","3.407","3.407","3.407","0.00%"
"Jun 04, 2022","3.407","3.407","3.407","3.407","0.12%"
"Jun 03, 2022","3.403","3.448","3.454","3.386","-0.56%"
"Jun 02, 2022","3.422","3.369","3.448","3.350","2.76%"
"Jun 01, 2022","3.330","3.330","3.330","3.330","0.18%"
"May 31, 2022","3.324","3.235","3.326","3.230","3.71%"
"May 30, 2022","3.205","3.223","3.229","3.183","-0.37%"
