"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","1.237","1.285","1.285","1.183","-5.57%"
"Sep 29, 2022","1.310","1.422","1.422","1.295","-2.89%"
"Sep 28, 2022","1.349","1.569","1.594","1.349","-12.35%"
"Sep 27, 2022","1.539","1.456","1.539","1.349","10.01%"
"Sep 26, 2022","1.399","1.439","1.461","1.377","2.79%"
"Sep 23, 2022","1.361","1.375","1.459","1.283","0.29%"
"Sep 22, 2022","1.357","1.299","1.360","1.208","4.46%"
"Sep 21, 2022","1.299","1.260","1.303","1.242","-0.08%"
"Sep 20, 2022","1.300","1.130","1.300","1.124","16.49%"
"Sep 19, 2022","1.116","1.086","1.148","1.057","-1.15%"
"Sep 16, 2022","1.129","1.093","1.129","1.064","4.34%"
"Sep 15, 2022","1.082","1.090","1.134","1.074","1.50%"
"Sep 14, 2022","1.066","1.073","1.154","1.023","-2.11%"
"Sep 13, 2022","1.089","0.993","1.102","0.961","11.01%"
"Sep 12, 2022","0.981","1.048","1.064","0.967","-4.66%"
"Sep 09, 2022","1.029","1.001","1.052","0.973","6.96%"
"Sep 08, 2022","0.962","0.883","1.053","0.879","4.11%"
"Sep 07, 2022","0.924","0.993","0.993","0.891","-4.74%"
"Sep 06, 2022","0.970","0.948","0.998","0.874","5.21%"
"Sep 05, 2022","0.922","0.873","0.923","0.811","5.49%"
"Sep 02, 2022","0.874","0.877","0.933","0.837","0.11%"
"Sep 01, 2022","0.873","0.897","0.909","0.867","2.11%"
"Aug 31, 2022","0.855","0.822","0.899","0.731","6.61%"
"Aug 30, 2022","0.802","0.836","0.868","0.758","-7.60%"
"Aug 29, 2022","0.868","0.949","0.984","0.868","2.72%"
"Aug 26, 2022","0.845","0.819","0.854","0.785","6.16%"
"Aug 25, 2022","0.796","0.842","0.851","0.776","-6.46%"
"Aug 24, 2022","0.851","0.777","0.854","0.777","6.64%"
"Aug 23, 2022","0.798","0.756","0.809","0.718","9.62%"
"Aug 22, 2022","0.728","0.689","0.745","0.606","5.66%"
"Aug 19, 2022","0.689","0.618","0.689","0.579","24.59%"
"Aug 18, 2022","0.553","0.566","0.566","0.491","8.86%"
"Aug 17, 2022","0.508","0.493","0.565","0.448","3.46%"
"Aug 16, 2022","0.491","0.392","0.491","0.389","14.99%"
"Aug 15, 2022","0.427","0.496","0.501","0.382","-15.11%"
"Aug 12, 2022","0.503","0.495","0.509","0.466","0.60%"
"Aug 11, 2022","0.500","0.480","0.500","0.414","13.12%"
"Aug 10, 2022","0.442","0.525","0.525","0.411","-11.95%"
"Aug 09, 2022","0.502","0.523","0.526","0.477","5.68%"
"Aug 08, 2022","0.475","0.542","0.542","0.463","-12.36%"
"Aug 05, 2022","0.542","0.419","0.542","0.415","28.74%"
"Aug 04, 2022","0.421","0.500","0.503","0.405","-12.11%"
"Aug 03, 2022","0.479","0.460","0.510","0.440","8.37%"
"Aug 02, 2022","0.442","0.369","0.460","0.343","-3.70%"
"Jul 29, 2022","0.459","0.440","0.510","0.430","7.75%"
"Jul 28, 2022","0.426","0.621","0.621","0.426","-21.69%"
"Jul 27, 2022","0.544","0.592","0.610","0.536","-6.53%"
"Jul 26, 2022","0.582","0.638","0.650","0.547","-13.00%"
"Jul 25, 2022","0.669","0.710","0.717","0.643","-4.56%"
"Jul 22, 2022","0.701","0.840","0.840","0.645","-14.51%"
"Jul 21, 2022","0.820","0.900","0.922","0.820","-1.91%"
"Jul 20, 2022","0.836","0.855","0.873","0.778","-6.70%"
"Jul 19, 2022","0.896","0.779","0.896","0.766","5.41%"
"Jul 18, 2022","0.850","0.791","0.850","0.762","15.80%"
"Jul 15, 2022","0.734","0.696","0.772","0.653","-3.80%"
"Jul 14, 2022","0.763","0.727","0.781","0.678","5.24%"
