Date (Austria),Price,Open,High,Low,Change %
2022-09-30,2.818,2.850,2.874,2.757,-1.67%
2022-09-29,2.866,2.875,2.976,2.840,2.17%
2022-09-28,2.805,2.883,3.012,2.786,-1.89%
2022-09-27,2.859,2.762,2.885,2.680,5.38%
2022-09-26,2.713,2.716,2.759,2.665,2.88%
2022-09-23,2.637,2.592,2.718,2.517,2.13%
2022-09-22,2.582,2.523,2.605,2.439,3.20%
2022-09-21,2.502,2.487,2.524,2.447,-1.61%
2022-09-20,2.543,2.430,2.559,2.418,5.26%
2022-09-19,2.416,2.384,2.433,2.356,2.16%
2022-09-16,2.365,2.445,2.460,2.359,-0.71%
2022-09-15,2.382,2.366,2.404,2.330,2.14%
2022-09-14,2.332,2.315,2.402,2.306,-0.38%
2022-09-13,2.341,2.267,2.376,2.253,3.49%
2022-09-12,2.262,2.362,2.378,2.245,-2.29%
2022-09-09,2.315,2.372,2.419,2.254,-0.52%
2022-09-08,2.327,2.167,2.343,2.159,5.06%
2022-09-07,2.215,2.236,2.292,2.176,-1.60%
2022-09-06,2.251,2.217,2.286,2.132,1.86%
2022-09-05,2.210,2.131,2.233,2.115,1.94%
2022-09-02,2.168,2.184,2.248,2.110,-2.03%
2022-09-01,2.213,2.224,2.279,2.193,1.93%
2022-08-31,2.171,2.134,2.236,2.098,1.69%
2022-08-30,2.135,2.108,2.180,2.073,-0.33%
2022-08-29,2.142,2.176,2.211,2.098,6.09%
2022-08-26,2.019,1.934,2.068,1.928,4.18%
2022-08-25,1.938,1.986,1.988,1.931,-1.97%
2022-08-24,1.977,1.951,2.011,1.916,3.35%
2022-08-23,1.913,1.866,1.987,1.837,0.79%
2022-08-22,1.898,1.783,1.898,1.754,5.21%
2022-08-19,1.804,1.732,1.814,1.721,7.83%
2022-08-18,1.673,1.649,1.704,1.628,2.45%
2022-08-17,1.633,1.537,1.671,1.523,7.22%
2022-08-16,1.523,1.445,1.557,1.442,5.76%
2022-08-15,1.440,1.540,1.560,1.426,-6.74%
2022-08-12,1.544,1.529,1.584,1.505,2.18%
2022-08-11,1.511,1.461,1.533,1.399,4.86%
2022-08-10,1.441,1.478,1.480,1.389,-1.30%
2022-08-09,1.460,1.482,1.509,1.427,0.48%
2022-08-08,1.453,1.475,1.487,1.420,-3.58%
2022-08-05,1.507,1.353,1.514,1.345,10.24%
2022-08-04,1.367,1.429,1.460,1.338,-4.87%
2022-08-03,1.437,1.372,1.482,1.344,6.29%
2022-08-02,1.352,1.279,1.368,1.218,2.58%
2022-08-01,1.318,1.365,1.416,1.294,-2.80%
2022-07-29,1.356,1.370,1.464,1.348,0.22%
2022-07-28,1.353,1.558,1.566,1.342,-9.26%
2022-07-27,1.491,1.498,1.527,1.470,0.74%
2022-07-26,1.480,1.580,1.595,1.457,-6.15%
2022-07-25,1.577,1.625,1.641,1.567,-0.94%
2022-07-22,1.592,1.746,1.770,1.534,-10.46%
2022-07-21,1.778,1.814,1.922,1.755,-1.06%
2022-07-20,1.797,1.835,1.839,1.717,-0.94%
2022-07-19,1.814,1.751,1.847,1.730,1.74%
2022-07-18,1.783,1.702,1.813,1.702,4.57%
2022-07-15,1.705,1.683,1.760,1.656,-1.22%
2022-07-14,1.726,1.722,1.829,1.696,0.88%
2022-07-13,1.711,1.715,1.778,1.678,1.30%
2022-07-12,1.689,1.811,1.816,1.659,-6.58%
2022-07-11,1.808,1.886,1.893,1.779,-5.49%
2022-07-08,1.913,1.857,1.924,1.822,2.19%
2022-07-07,1.872,1.810,1.887,1.806,5.88%
2022-07-06,1.768,1.837,1.865,1.684,-2.00%
2022-07-05,1.804,1.912,1.928,1.788,-5.75%
2022-07-04,1.914,1.832,1.935,1.824,5.69%
2022-07-01,1.811,1.946,2.005,1.741,-6.46%
2022-06-30,1.936,2.072,2.083,1.927,-7.15%
2022-06-29,2.085,2.110,2.206,2.060,-5.01%
2022-06-28,2.195,2.108,2.221,2.097,4.82%
2022-06-27,2.094,2.019,2.133,2.006,6.03%
2022-06-24,1.975,2.021,2.064,1.910,-0.90%
2022-06-23,1.993,2.209,2.220,1.950,-8.54%
2022-06-22,2.179,2.279,2.297,2.161,-6.36%
2022-06-21,2.327,2.320,2.357,2.278,0.61%
2022-06-20,2.313,2.233,2.318,2.183,3.58%
2022-06-17,2.233,2.254,2.351,2.186,-2.15%
2022-06-16,2.282,2.217,2.496,2.210,1.60%
2022-06-15,2.246,2.360,2.385,2.180,-6.34%
2022-06-14,2.398,2.234,2.410,2.216,6.86%
2022-06-13,2.244,2.055,2.266,2.047,8.35%
2022-06-10,2.071,1.987,2.074,1.938,4.07%
2022-06-09,1.990,1.884,1.998,1.862,5.85%
2022-06-08,1.880,1.868,1.899,1.841,2.23%
2022-06-07,1.839,1.893,1.894,1.818,-1.21%
2022-06-06,1.862,1.811,1.865,1.794,1.28%
2022-06-03,1.838,1.807,1.855,1.796,1.49%
2022-06-02,1.811,1.725,1.815,1.725,3.13%
2022-06-01,1.756,1.673,1.756,1.664,4.40%
2022-05-31,1.682,1.643,1.707,1.590,4.21%
2022-05-30,1.614,1.588,1.636,1.568,7.28%
2022-05-29,1.505,1.505,1.505,1.505,-1.15%
2022-05-27,1.522,1.536,1.563,1.491,-2.19%
2022-05-26,1.556,1.504,1.565,1.454,2.44%
2022-05-25,1.519,1.540,1.556,1.472,-0.59%
2022-05-24,1.528,1.554,1.598,1.511,-2.68%
2022-05-23,1.570,1.530,1.592,1.476,3.97%
2022-05-20,1.510,1.514,1.537,1.460,1.14%
2022-05-19,1.493,1.545,1.548,1.431,-3.43%
2022-05-18,1.546,1.592,1.621,1.526,-1.59%
2022-05-17,1.571,1.514,1.589,1.492,7.31%
2022-05-16,1.464,1.452,1.537,1.447,0.76%
2022-05-14,1.453,1.453,1.453,1.453,-1.16%
2022-05-13,1.470,1.425,1.491,1.406,5.60%
2022-05-12,1.392,1.437,1.446,1.366,-7.45%
2022-05-11,1.504,1.536,1.622,1.485,-1.57%
2022-05-10,1.528,1.625,1.656,1.520,-6.32%
2022-05-09,1.631,1.641,1.712,1.621,-1.51%
2022-05-06,1.656,1.533,1.675,1.526,6.29%
2022-05-05,1.558,1.498,1.564,1.424,4.07%
2022-05-04,1.497,1.547,1.556,1.493,1.22%
2022-05-03,1.479,1.475,1.530,1.434,0.27%
2022-05-02,1.475,1.445,1.480,1.410,2.43%
2022-04-29,1.440,1.380,1.449,1.366,4.61%
2022-04-28,1.377,1.283,1.401,1.242,6.38%
2022-04-27,1.294,1.298,1.332,1.258,0.00%
2022-04-26,1.294,1.357,1.361,1.264,0.15%
2022-04-25,1.292,1.421,1.422,1.276,-10.65%
2022-04-22,1.446,1.416,1.446,1.373,2.26%
2022-04-21,1.414,1.378,1.416,1.332,6.08%
2022-04-20,1.333,1.415,1.429,1.308,-4.44%
2022-04-19,1.395,1.372,1.442,1.357,4.89%
2022-04-18,1.330,1.337,1.337,1.330,0.30%
2022-04-15,1.326,1.337,1.337,1.326,-2.00%
2022-04-14,1.353,1.293,1.359,1.258,6.62%
2022-04-13,1.269,1.375,1.377,1.258,-0.94%
2022-04-12,1.281,1.343,1.378,1.264,-2.95%
2022-04-11,1.320,1.267,1.330,1.254,5.94%
2022-04-08,1.246,1.194,1.264,1.180,4.79%
2022-04-07,1.189,1.156,1.241,1.125,2.50%
2022-04-06,1.160,1.170,1.202,1.136,1.93%
2022-04-05,1.138,1.036,1.151,1.010,13.12%
2022-04-04,1.006,1.044,1.046,0.967,-2.33%
2022-04-01,1.030,1.040,1.078,1.019,2.28%
2022-03-31,1.007,1.096,1.110,0.975,-0.30%
2022-03-30,1.010,0.966,1.095,0.957,3.59%
2022-03-29,0.975,0.948,1.075,0.922,8.09%
2022-03-28,0.902,0.943,0.977,0.871,-2.38%
2022-03-25,0.924,0.895,0.935,0.835,5.36%
2022-03-24,0.877,0.855,0.910,0.801,6.82%
2022-03-23,0.821,0.895,0.905,0.815,-7.75%
2022-03-22,0.890,0.871,0.917,0.852,4.58%
2022-03-21,0.851,0.800,0.859,0.765,10.66%
2022-03-18,0.769,0.798,0.803,0.729,-2.04%
2022-03-17,0.785,0.795,0.822,0.754,-1.87%
2022-03-16,0.800,0.788,0.808,0.756,7.10%
2022-03-15,0.747,0.768,0.788,0.726,-5.20%
2022-03-14,0.788,0.711,0.799,0.695,16.40%
2022-03-11,0.677,0.677,0.740,0.652,0.45%
2022-03-10,0.674,0.604,0.715,0.539,10.67%
2022-03-09,0.609,0.528,0.619,0.480,16.89%
2022-03-08,0.521,0.404,0.545,0.396,22.88%
2022-03-07,0.424,0.363,0.444,0.344,21.14%
2022-03-04,0.350,0.415,0.443,0.324,-18.79%
2022-03-03,0.431,0.403,0.487,0.383,0.94%
2022-03-02,0.427,0.308,0.429,0.286,43.29%
