Date (Belgium),Price,Open,High,Low,Change %
2022-09-30,2.766,2.816,2.949,2.719,-3.52%
2022-09-29,2.867,2.816,2.949,2.816,2.43%
2022-09-28,2.799,2.928,2.998,2.778,-2.47%
2022-09-27,2.870,2.782,2.908,2.683,4.78%
2022-09-26,2.739,2.742,2.773,2.680,3.71%
2022-09-23,2.641,2.561,2.720,2.504,2.72%
2022-09-22,2.571,2.526,2.604,2.414,3.79%
2022-09-21,2.477,2.492,2.511,2.432,-1.98%
2022-09-20,2.527,2.410,2.548,2.395,5.95%
2022-09-19,2.385,2.329,2.419,2.326,2.01%
2022-09-17,2.338,2.338,2.338,2.338,0.00%
2022-09-16,2.338,2.388,2.405,2.332,-0.17%
2022-09-15,2.342,2.358,2.372,2.292,1.56%
2022-09-14,2.306,2.330,2.392,2.286,-1.54%
2022-09-13,2.342,2.326,2.378,2.262,2.05%
2022-09-12,2.295,2.388,2.413,2.279,-2.01%
2022-09-09,2.342,2.344,2.423,2.275,1.39%
2022-09-08,2.310,2.150,2.331,2.148,5.00%
2022-09-07,2.200,2.268,2.288,2.169,-2.70%
2022-09-06,2.261,2.238,2.302,2.131,0.89%
2022-09-05,2.241,2.159,2.281,2.159,2.28%
2022-09-02,2.191,2.185,2.269,2.132,-1.04%
2022-09-01,2.214,2.235,2.289,2.197,1.42%
2022-08-31,2.183,2.115,2.238,2.104,1.72%
2022-08-30,2.146,2.122,2.198,2.080,-0.74%
2022-08-29,2.162,2.157,2.206,2.104,6.35%
2022-08-26,2.033,1.951,2.087,1.949,4.15%
2022-08-25,1.952,1.997,2.016,1.946,-2.79%
2022-08-24,2.008,2.001,2.041,1.940,3.56%
2022-08-23,1.939,1.885,2.006,1.855,0.78%
2022-08-22,1.924,1.822,1.939,1.802,4.23%
2022-08-19,1.846,1.787,1.874,1.770,7.39%
2022-08-18,1.719,1.759,1.777,1.677,0.82%
2022-08-17,1.705,1.576,1.737,1.576,7.64%
2022-08-16,1.584,1.492,1.613,1.489,6.24%
2022-08-15,1.491,1.570,1.618,1.477,-5.57%
2022-08-12,1.579,1.589,1.640,1.551,0.96%
2022-08-11,1.564,1.511,1.595,1.421,5.11%
2022-08-10,1.488,1.511,1.539,1.421,-1.33%
2022-08-09,1.508,1.472,1.560,1.444,2.38%
2022-08-08,1.473,1.462,1.545,1.363,-3.73%
2022-08-05,1.530,1.462,1.545,1.363,9.76%
2022-08-04,1.394,1.462,1.498,1.363,-5.11%
2022-08-03,1.469,1.435,1.526,1.425,3.89%
2022-08-02,1.414,1.324,1.432,1.282,2.69%
2022-08-01,1.377,1.438,1.492,1.361,-2.38%
2022-07-30,1.411,1.411,1.411,1.411,-0.67%
2022-07-29,1.420,1.432,1.533,1.400,0.71%
2022-07-28,1.410,1.615,1.630,1.404,-10.02%
2022-07-27,1.567,1.575,1.614,1.543,0.77%
2022-07-26,1.555,1.629,1.641,1.535,-5.36%
2022-07-25,1.643,1.673,1.722,1.637,-1.26%
2022-07-22,1.664,1.816,1.829,1.599,-9.76%
