Date (Denmark),Price,Open,High,Low,Change %
2022-09-30,"2,5735",,,,"-4,62%"
2022-09-29,"2,6981",,,,"3,04%"
2022-09-28,"2,6186",,,,"-0,98%"
2022-09-27,"2,6444",,,,"5,85%"
2022-09-26,"2,4983",,,,"2,28%"
2022-09-23,"2,4425",,,,"1,97%"
2022-09-22,"2,3952",,,,"4,99%"
2022-09-21,"2,2814",,,,"-1,49%"
2022-09-20,"2,3158",,,,"6,42%"
2022-09-19,"2,1761",,,,"-0,09%"
2022-09-16,"2,178",,,,"3,23%"
2022-09-15,"2,1098",,,,"1,13%"
2022-09-14,"2,0862",,,,"0,51%"
2022-09-13,"2,0757",,,,"5,19%"
2022-09-12,"1,9733",,,,"-3,84%"
2022-09-09,"2,052",,,,"-0,64%"
2022-09-08,"2,0652",,,,"5,08%"
2022-09-07,"1,9654",,,,"-2,35%"
2022-09-06,"2,0126",,,,"3,37%"
2022-09-05,"1,947",,,,"2,91%"
2022-09-02,"1,8919",,,,"-2,7%"
2022-09-01,"1,9444",,,,"2,26%"
2022-08-31,"1,9014",,,,0%
2022-08-30,"1,9014",,,,"1,4%"
2022-08-29,"1,8752",,,,"5,62%"
2022-08-26,"1,7754",,,,"4,5%"
2022-08-25,"1,699",,,,"-1,66%"
2022-08-24,"1,7277",,,,"3,88%"
2022-08-23,"1,6632",,,,"2,65%"
2022-08-22,"1,6203",,,,"3,51%"
2022-08-19,"1,5654",,,,"10,25%"
2022-08-18,"1,4198",,,,"0,85%"
2022-08-17,"1,4079",,,,"5,67%"
2022-08-16,"1,3324",,,,"8,63%"
2022-08-15,"1,2265",,,,"-6,05%"
2022-08-12,"1,3055",,,,"0,44%"
2022-08-11,"1,2998",,,,"9,32%"
2022-08-10,"1,189",,,,"-3,71%"
2022-08-09,"1,2348",,,,"3,36%"
2022-08-08,"1,1947",,,,"-4,29%"
2022-08-05,"1,2482",,,,"12,96%"
2022-08-04,"1,105",,,,"-6,47%"
2022-08-03,"1,1814",,,,"10,55%"
2022-08-02,"1,0687",,,,"1,08%"
2022-08-01,"1,0573",,,,"-4,48%"
2022-07-29,"1,1069",,,,"1,37%"
2022-07-28,"1,0919",,,,"-9,55%"
2022-07-27,"1,2072",,,,"-2,3%"
2022-07-26,"1,2356",,,,"-7,38%"
2022-07-25,"1,3341",,,,"0,81%"
2022-07-22,"1,3234",,,,"-11,29%"
2022-07-21,"1,4919",,,,"-4,85%"
2022-07-20,"1,568",,,,"-0,95%"
2022-07-19,"1,5831",,,,"3,55%"
2022-07-18,"1,5289",,,,"5,81%"
2022-07-15,"1,4449",,,,"-5,73%"
2022-07-14,"1,5327",,,,"3,75%"
2022-07-13,"1,4773",,,,"2,24%"
2022-07-12,"1,4449",,,,"-8,13%"
2022-07-11,"1,5728",,,,"-5,36%"
2022-07-08,"1,6618",,,,"1,44%"
2022-07-07,"1,6382",,,,"8,71%"
2022-07-06,"1,5069",,,,"-4,65%"
2022-07-05,"1,5804",,,,"-9,06%"
2022-07-04,"1,7379",,,,"8,05%"
2022-07-01,"1,6084",,,,"-8,55%"
2022-06-30,"1,7587",,,,"-6,62%"
2022-06-29,"1,8833",,,,-6%
2022-06-28,"2,0036",,,,"5,66%"
2022-06-27,"1,8962",,,,"6,13%"
2022-06-24,"1,7866",,,,"-0,24%"
2022-06-23,"1,7909",,,,"-10,32%"
2022-06-22,"1,9971",,,,"-6,82%"
2022-06-21,"2,1432",,,,"1,63%"
2022-06-20,"2,1088",,,,"4,23%"
2022-06-17,"2,0232",,,,"-1,85%"
2022-06-16,"2,0613",,,,"1,31%"
2022-06-15,"2,0346",,,,"-1,53%"
2022-06-14,"2,0663",,,,"4,51%"
2022-06-13,"1,9771",,,,"6,51%"
2022-06-10,"1,8563",,,,"2,76%"
2022-06-09,"1,8064",,,,6%
2022-06-08,"1,7041",,,,"2,53%"
2022-06-07,"1,6621",,,,"-1,55%"
2022-06-06,"1,6883",,,,"2,06%"
