Date (France),Price,Open,High,Low,Change %
2022-09-30,2.721,2.771,2.783,2.672,-3.20%
2022-09-29,2.811,2.814,2.902,2.773,1.96%
2022-09-28,2.757,2.859,2.954,2.735,-2.61%
2022-09-27,2.831,2.732,2.862,2.646,4.97%
2022-09-26,2.697,2.679,2.723,2.641,3.61%
2022-09-23,2.603,2.537,2.675,2.468,2.84%
2022-09-22,2.531,2.457,2.558,2.378,3.64%
2022-09-21,2.442,2.439,2.465,2.395,-1.93%
2022-09-20,2.490,2.357,2.507,2.355,5.96%
2022-09-19,2.350,2.317,2.375,2.289,2.09%
2022-09-17,2.302,2.302,2.302,2.302,0.04%
2022-09-16,2.301,2.366,2.369,2.295,0.13%
2022-09-15,2.298,2.298,2.328,2.250,1.50%
2022-09-14,2.264,2.270,2.348,2.244,-1.14%
2022-09-13,2.290,2.228,2.320,2.203,3.01%
2022-09-12,2.223,2.314,2.330,2.208,-1.77%
2022-09-09,2.263,2.321,2.358,2.205,0.44%
2022-09-08,2.253,2.109,2.274,2.101,4.60%
2022-09-07,2.154,2.203,2.233,2.123,-2.36%
2022-09-06,2.206,2.193,2.246,2.084,0.87%
2022-09-05,2.187,2.119,2.219,2.107,1.48%
2022-09-02,2.155,2.158,2.226,2.098,-1.37%
2022-09-01,2.185,2.205,2.260,2.171,1.63%
2022-08-31,2.150,2.113,2.210,2.075,1.22%
2022-08-30,2.124,2.094,2.169,2.054,-0.28%
2022-08-29,2.130,2.144,2.180,2.082,6.02%
2022-08-26,2.009,1.931,2.060,1.924,3.88%
2022-08-25,1.934,1.984,1.993,1.927,-2.47%
2022-08-24,1.983,1.956,2.018,1.916,3.61%
2022-08-23,1.914,1.874,1.979,1.831,0.47%
2022-08-22,1.905,1.783,1.905,1.756,5.42%
2022-08-19,1.807,1.739,1.826,1.727,7.69%
2022-08-18,1.678,1.674,1.732,1.634,1.39%
2022-08-17,1.655,1.554,1.691,1.535,7.47%
2022-08-16,1.540,1.460,1.576,1.456,4.98%
2022-08-15,1.467,1.539,1.576,1.444,-5.23%
2022-08-12,1.548,1.554,1.598,1.517,1.11%
2022-08-11,1.531,1.477,1.554,1.412,5.15%
2022-08-10,1.456,1.500,1.500,1.389,-1.49%
2022-08-09,1.478,1.454,1.521,1.409,2.71%
2022-08-08,1.439,1.462,1.485,1.411,-3.75%
2022-08-05,1.495,1.350,1.503,1.346,9.77%
2022-08-04,1.362,1.429,1.461,1.335,-5.42%
2022-08-03,1.440,1.401,1.493,1.371,4.42%
2022-08-02,1.379,1.314,1.396,1.249,2.45%
2022-08-01,1.346,1.394,1.452,1.328,-2.11%
2022-07-30,1.375,1.375,1.375,1.375,-0.72%
2022-07-29,1.385,1.389,1.494,1.367,0.80%
2022-07-28,1.374,1.580,1.590,1.369,-10.61%
2022-07-27,1.537,1.529,1.576,1.511,0.79%
2022-07-26,1.525,1.618,1.626,1.501,-5.40%
2022-07-25,1.612,1.659,1.689,1.610,-0.49%
2022-07-22,1.620,1.791,1.800,1.565,-10.69%
2022-07-21,1.814,1.870,1.960,1.784,-1.14%
2022-07-20,1.835,1.839,1.858,1.748,-0.97%
2022-07-19,1.853,1.781,1.884,1.761,1.98%
2022-07-18,1.817,1.770,1.859,1.768,9.49%
2022-07-16,1.660,1.660,1.660,1.660,0.09%
2022-07-15,1.658,1.667,1.715,1.619,-1.60%
2022-07-14,1.685,1.688,1.792,1.663,1.20%
2022-07-13,1.665,1.675,1.748,1.628,1.22%
2022-07-12,1.645,1.781,1.795,1.611,-7.43%
2022-07-11,1.777,1.863,1.863,1.745,-5.35%
2022-07-09,1.878,1.878,1.878,1.878,-0.35%
2022-07-08,1.884,1.839,1.894,1.797,1.67%
2022-07-07,1.853,1.816,1.894,1.799,5.10%
2022-07-06,1.763,1.817,1.857,1.681,-2.60%
2022-07-05,1.810,1.913,1.945,1.786,-6.51%
2022-07-04,1.936,1.852,1.950,1.827,7.98%
2022-07-01,1.793,1.955,2.011,1.721,-8.38%
2022-06-30,1.957,2.051,2.090,1.928,-5.14%
2022-06-29,2.063,2.092,2.197,2.047,-5.24%
2022-06-28,2.177,2.075,2.217,2.074,4.61%
2022-06-27,2.081,1.998,2.120,1.985,5.74%
2022-06-25,1.968,1.968,1.968,1.968,-0.15%
2022-06-24,1.971,1.988,2.050,1.898,0.00%
2022-06-23,1.971,2.196,2.210,1.937,-8.92%
2022-06-22,2.164,2.284,2.308,2.135,-7.44%
2022-06-21,2.338,2.297,2.371,2.272,0.86%
2022-06-20,2.318,2.254,2.328,2.186,5.41%
2022-06-19,2.199,2.199,2.199,2.199,-0.32%
2022-06-17,2.206,2.233,2.340,2.141,-2.30%
2022-06-16,2.258,2.207,2.484,2.198,1.48%
2022-06-15,2.225,2.312,2.362,2.143,-7.10%
2022-06-14,2.395,2.229,2.219,2.219,6.78%
2022-06-13,2.243,2.105,2.260,2.105,7.17%
2022-06-10,2.093,1.995,2.097,1.954,5.55%
2022-06-09,1.983,1.876,2.016,1.847,5.82%
2022-06-08,1.874,1.833,1.897,1.815,3.54%
2022-06-07,1.810,1.859,1.873,1.787,-1.63%
2022-06-06,1.840,1.777,1.858,1.758,2.22%
2022-06-03,1.800,1.749,1.822,1.746,2.16%
2022-06-02,1.762,1.704,1.776,1.698,3.46%
2022-06-01,1.703,1.629,1.708,1.622,3.53%
