Date (Germany),Price,Open,High,Low,Change %
2022-09-30,2.1090,2.2060,2.2090,2.0610,-4.48%
2022-09-29,2.2080,2.2330,2.2970,2.1770,2.46%
2022-09-28,2.1550,2.2310,2.3520,2.1300,-4.31%
2022-09-27,2.2520,2.1420,2.2550,2.0400,7.65%
2022-09-26,2.0920,2.0240,2.1320,2.0240,3.00%
2022-09-23,2.0310,1.9660,2.1150,1.9090,2.68%
2022-09-22,1.9780,1.8880,1.9960,1.8300,4.55%
2022-09-21,1.8920,1.9280,1.9280,1.8390,-2.42%
2022-09-20,1.9390,1.8040,1.9540,1.8040,8.26%
2022-09-19,1.7910,1.7560,1.8180,1.7440,1.47%
2022-09-16,1.7650,1.7660,1.8170,1.7470,1.38%
2022-09-15,1.7410,1.7160,1.7680,1.7040,2.53%
2022-09-14,1.6980,1.7310,1.7790,1.6830,-1.51%
2022-09-13,1.7240,1.6550,1.7560,1.6420,4.80%
2022-09-12,1.6450,1.6970,1.7550,1.6360,-3.24%
2022-09-09,1.7000,1.7410,1.7960,1.6390,-0.70%
2022-09-08,1.7120,1.5760,1.7160,1.5430,8.70%
2022-09-07,1.5750,1.6450,1.6450,1.5460,-1.87%
2022-09-06,1.6050,1.5620,1.6400,1.4850,2.49%
2022-09-05,1.5660,1.5220,1.5910,1.4780,3.03%
2022-09-02,1.5200,1.5630,1.6090,1.4740,-3.25%
2022-09-01,1.5710,1.5400,1.6340,1.5400,2.28%
2022-08-31,1.5360,1.4950,1.5840,1.4620,1.72%
2022-08-30,1.5100,1.5090,1.5440,1.4380,0.33%
2022-08-29,1.5050,1.4950,1.5480,1.4630,7.65%
2022-08-26,1.3980,1.3160,1.4350,1.3110,5.19%
2022-08-25,1.3290,1.3630,1.3900,1.3170,-2.49%
2022-08-24,1.3630,1.3310,1.3900,1.3110,3.18%
2022-08-23,1.3210,1.3010,1.3750,1.2490,1.54%
2022-08-22,1.3010,1.2250,1.3110,1.1810,5.43%
2022-08-19,1.2340,1.1020,1.2420,1.1000,12.39%
2022-08-18,1.0980,1.0910,1.1500,1.0660,1.86%
2022-08-17,1.0780,0.9670,1.1100,0.9670,10.11%
2022-08-16,0.9790,0.8970,1.0050,0.8970,8.42%
2022-08-15,0.9030,0.9870,1.0170,0.8860,-8.79%
2022-08-12,0.9900,0.9790,1.0250,0.9540,2.38%
2022-08-11,0.9670,0.8900,0.9900,0.8520,9.14%
2022-08-10,0.8860,0.9180,0.9450,0.8370,-4.01%
2022-08-09,0.9230,0.8900,0.9640,0.8710,2.90%
2022-08-08,0.8970,0.9260,0.9400,0.8650,-6.66%
2022-08-05,0.9610,0.8090,0.9640,0.7880,18.79%
2022-08-04,0.8090,0.8690,0.8960,0.7880,-7.44%
2022-08-03,0.8740,0.8260,0.9140,0.7850,11.76%
2022-08-02,0.7820,0.7800,0.8020,0.6780,2.76%
2022-08-01,0.7610,0.8180,0.8850,0.7580,-7.76%
2022-07-29,0.8250,0.8280,0.9180,0.8030,3.00%
2022-07-28,0.8010,0.9440,1.0030,0.7970,-14.61%
2022-07-27,0.9380,0.9460,0.9760,0.9200,1.08%
2022-07-26,0.9280,1.0180,1.0330,0.9100,-9.90%
2022-07-25,1.0300,1.0310,1.0880,1.0140,0.68%
2022-07-22,1.0230,1.2230,1.2250,0.9880,-16.15%
2022-07-21,1.2200,1.2410,1.3690,1.1950,-3.17%
2022-07-20,1.2600,1.2780,1.2950,1.1860,-1.41%
2022-07-19,1.2780,1.1920,1.3080,1.1640,5.27%
2022-07-18,1.2140,1.1280,1.2430,1.1150,7.62%
2022-07-15,1.1280,1.1290,1.1760,1.0710,-4.33%
2022-07-14,1.1790,1.1490,1.2600,1.1300,2.97%
2022-07-13,1.1450,1.1310,1.2240,1.1250,0.97%
2022-07-12,1.1340,1.2460,1.2500,1.0940,-9.28%
2022-07-11,1.2500,1.3270,1.3280,1.2190,-7.13%
2022-07-08,1.3460,1.2870,1.3500,1.2480,4.26%
2022-07-07,1.2910,1.2320,1.3210,1.2330,11.49%
2022-07-06,1.1580,1.1920,1.2420,1.0720,-2.44%
2022-07-05,1.1870,1.3380,1.3540,1.1770,-11.22%
2022-07-04,1.3370,1.2320,1.3520,1.2320,9.05%
2022-07-01,1.2260,1.3410,1.4100,1.1630,-10.38%
2022-06-30,1.3680,1.5300,1.5300,1.3480,-9.04%
2022-06-29,1.5040,1.6290,1.6420,1.4980,-8.01%
2022-06-28,1.6350,1.5490,1.6730,1.5350,5.89%
2022-06-27,1.5440,1.4400,1.5720,1.4400,7.41%
2022-06-25,1.4375,1.4375,1.4375,1.4375,-0.17%
2022-06-24,1.4400,1.4420,1.5080,1.3540,0.91%
2022-06-23,1.4270,1.6300,1.6610,1.3900,-11.91%
2022-06-22,1.6200,1.7700,1.7700,1.5880,-8.06%
2022-06-21,1.7620,1.7440,1.7970,1.7120,1.09%
2022-06-20,1.7430,1.6580,1.7430,1.6190,4.43%
2022-06-17,1.6690,1.7120,1.7870,1.6160,-2.00%
2022-06-16,1.7030,1.6410,1.9260,1.6080,3.09%
2022-06-15,1.6520,1.7600,1.7730,1.5850,-5.65%
2022-06-14,1.7510,1.6340,1.7510,1.5920,7.62%
2022-06-13,1.6270,1.4830,1.6370,1.4780,8.32%
2022-06-10,1.5020,1.4370,1.5030,1.3840,4.67%
2022-06-09,1.4350,1.3570,1.4700,1.3340,5.90%
2022-06-08,1.3550,1.3130,1.3680,1.2990,5.28%
2022-06-07,1.2870,1.3390,1.3430,1.2750,-2.65%
2022-06-06,1.3220,1.2530,1.3340,1.2480,4.09%
2022-06-03,1.2700,1.2360,1.2890,1.2250,2.83%
2022-06-02,1.2350,1.1830,1.2480,1.1730,4.57%
2022-06-01,1.1810,1.1190,1.1840,1.1050,4.79%
2022-05-31,1.1270,1.0550,1.1480,1.0270,7.95%
2022-05-30,1.0440,1.0060,1.0720,0.9970,8.41%
2022-05-27,0.9630,0.9960,1.0040,0.9320,-3.60%
2022-05-26,0.9990,0.9500,1.0100,0.8870,4.61%
2022-05-25,0.9550,0.9720,0.9790,0.9080,0.10%
2022-05-24,0.9540,1.0190,1.0330,0.9400,-6.47%
2022-05-23,1.0200,0.9670,1.0240,0.9300,8.28%
2022-05-20,0.9420,0.9810,1.0010,0.9330,0.21%
2022-05-19,0.9400,1.0330,1.0440,0.9000,-7.11%
2022-05-18,1.0120,1.0510,1.0950,1.0080,-4.17%
2022-05-17,1.0560,0.9400,1.0630,0.9360,12.70%
2022-05-16,0.9370,0.9450,1.0140,0.9260,-0.16%
2022-05-14,0.9385,0.9385,0.9385,0.9385,-0.90%
2022-05-13,0.9470,0.8900,0.9630,0.8740,8.98%
2022-05-12,0.8690,0.9270,0.9310,0.8460,-13.45%
2022-05-11,1.0040,1.0310,1.0920,0.9590,0.10%
2022-05-10,1.0030,1.0910,1.1140,0.9880,-7.81%
2022-05-09,1.0880,1.1350,1.1890,1.0860,-4.31%
2022-05-06,1.1370,1.0370,1.1600,1.0150,8.49%
2022-05-05,1.0480,0.9720,1.0490,0.9090,7.16%
2022-05-04,0.9780,1.0240,1.0360,0.9690,2.52%
2022-05-03,0.9540,0.9560,1.0160,0.9100,-0.93%
2022-05-02,0.9630,0.9420,0.9740,0.9040,3.05%
2022-04-29,0.9345,0.8960,0.9525,0.8635,4.41%
2022-04-28,0.8950,0.8040,0.9150,0.7700,10.49%
2022-04-27,0.8100,0.8290,0.8530,0.7790,1.00%
2022-04-26,0.8020,0.8820,0.8910,0.7890,-5.42%
2022-04-25,0.8480,0.9740,0.9740,0.8410,-11.94%
2022-04-22,0.9630,0.9450,0.9730,0.9180,4.11%
2022-04-21,0.9250,0.8570,0.9390,0.8570,7.31%
2022-04-20,0.8620,0.9220,0.9440,0.8350,-6.10%
2022-04-19,0.9180,0.8400,0.9610,0.8400,9.35%
2022-04-18,0.8395,0.8425,0.8425,0.8395,0.00%
2022-04-15,0.8395,0.8425,0.8425,0.8395,0.06%
2022-04-14,0.8390,0.7720,0.8470,0.7510,8.26%
2022-04-13,0.7750,0.7980,0.8610,0.7580,-1.90%
2022-04-12,0.7900,0.8250,0.8790,0.7670,-2.83%
2022-04-11,0.8130,0.7070,0.8220,0.7070,14.51%
2022-04-08,0.7100,0.6750,0.7280,0.6550,4.41%
2022-04-07,0.6800,0.6510,0.7220,0.6130,4.94%
2022-04-06,0.6480,0.6350,0.6840,0.6190,6.23%
2022-04-05,0.6100,0.5290,0.6280,0.5160,17.99%
2022-04-04,0.5170,0.5810,0.5860,0.4730,-8.66%
2022-04-01,0.5660,0.5800,0.6260,0.5580,3.47%
2022-03-31,0.5470,0.6650,0.6710,0.5250,-16.87%
2022-03-30,0.6580,0.6240,0.7200,0.6130,2.65%
2022-03-29,0.6410,0.6050,0.7410,0.5950,10.14%
2022-03-28,0.5820,0.6070,0.6310,0.5560,2.11%
2022-03-25,0.5700,0.5250,0.5860,0.4930,8.37%
2022-03-24,0.5260,0.4660,0.5550,0.4440,9.81%
2022-03-23,0.4790,0.5160,0.5230,0.4640,-5.15%
2022-03-22,0.5050,0.4780,0.5300,0.4670,10.02%
2022-03-21,0.4590,0.3720,0.4650,0.3720,25.07%
2022-03-18,0.3670,0.3990,0.4080,0.3370,-5.41%
2022-03-17,0.3880,0.4000,0.4100,0.3520,-1.27%
2022-03-16,0.3930,0.3310,0.4030,0.3310,18.73%
2022-03-15,0.3310,0.3690,0.3700,0.3150,-11.26%
2022-03-14,0.3730,0.2720,0.3790,0.2650,38.15%
2022-03-11,0.2700,0.2720,0.3160,0.2470,0.00%
2022-03-10,0.2700,0.2090,0.3040,0.1510,41.36%
2022-03-09,0.1910,0.1120,0.2150,0.0900,78.50%
2022-03-08,0.1070,-0.0240,0.1380,-0.0380,-923.08%
2022-03-07,-0.0130,-0.0680,0.0001,-0.1010,-87.13%
2022-03-04,-0.1010,0.0110,0.0170,-0.1090,-559.09%
2022-03-03,0.0220,0.0140,0.0770,-0.0020,120.00%
2022-03-02,0.0100,-0.0680,0.0230,-0.0800,-114.49%
2022-03-01,-0.0690,0.1320,0.1430,-0.0720,-143.40%
2022-02-28,0.1590,0.1670,0.2130,0.1530,-29.02%
2022-02-25,0.2240,0.1700,0.2350,0.1450,30.99%
2022-02-24,0.1710,0.2230,0.2230,0.1110,-24.00%
2022-02-23,0.2250,0.2330,0.2660,0.2160,-7.41%
2022-02-22,0.2430,0.1460,0.2800,0.1460,21.50%
2022-02-21,0.2000,0.2010,0.2370,0.1740,-2.44%
2022-02-18,0.2050,0.2320,0.2480,0.1960,-12.02%
2022-02-17,0.2330,0.2540,0.2790,0.2260,-14.34%
2022-02-16,0.2720,0.3140,0.3310,0.2590,-12.54%
2022-02-15,0.3110,0.2580,0.3260,0.2520,13.92%
2022-02-14,0.2730,0.2400,0.2740,0.1900,-6.51%
2022-02-11,0.2920,0.2990,0.3010,0.2490,0.00%
2022-02-10,0.2920,0.2300,0.2950,0.2120,32.73%
2022-02-09,0.2200,0.2650,0.2670,0.2090,-16.67%
2022-02-08,0.2640,0.2430,0.2750,0.2030,17.86%
2022-02-07,0.2240,0.1870,0.2500,0.1830,7.69%
2022-02-04,0.2080,0.1420,0.2290,0.1410,34.19%
2022-02-03,0.1550,0.0350,0.1590,0.0320,342.86%
2022-02-02,0.0350,0.0290,0.0580,0.0090,-5.41%
2022-02-01,0.0370,0.0110,0.0440,-0.0150,164.29%
2022-01-31,0.0140,-0.0320,0.0320,-0.0400,-129.79%
2022-01-28,-0.0470,-0.0490,-0.0080,-0.0570,-17.54%
2022-01-27,-0.0570,-0.0600,-0.0230,-0.0600,-19.72%
2022-01-26,-0.0710,-0.0780,-0.0620,-0.0820,-12.35%
2022-01-25,-0.0810,-0.1070,-0.0660,-0.1070,-17.35%
2022-01-24,-0.0980,-0.0650,-0.0600,-0.1100,46.27%
2022-01-22,-0.0670,-0.0670,-0.0670,-0.0670,11.67%
2022-01-21,-0.0600,-0.0340,-0.0340,-0.0870,122.22%
2022-01-20,-0.0270,0.0030,0.0080,-0.0410,200.00%
2022-01-19,-0.0090,0.0040,0.0250,-0.0130,-50.00%
2022-01-18,-0.0180,-0.0160,-0.0020,-0.0310,-30.77%
2022-01-17,-0.0260,-0.0460,-0.0200,-0.0460,-46.94%
2022-01-14,-0.0490,-0.0880,-0.0470,-0.1050,-43.02%
2022-01-13,-0.0860,-0.0470,-0.0340,-0.0990,50.88%
2022-01-12,-0.0570,-0.0380,-0.0260,-0.0770,78.12%
2022-01-11,-0.0320,-0.0400,-0.0140,-0.0550,-11.11%
2022-01-10,-0.0360,-0.0380,-0.0250,-0.0560,24.14%
2022-01-07,-0.0290,-0.0570,-0.0290,-0.0670,-57.35%
2022-01-06,-0.0680,-0.0650,-0.0310,-0.0720,-45.16%
2022-01-05,-0.1240,-0.1220,-0.1140,-0.1380,-3.13%
2022-01-04,-0.1280,-0.1200,-0.1160,-0.1550,3.23%
2022-01-03,-0.1240,-0.1770,-0.1230,-0.1850,-30.73%
2021-12-31,-0.1790,-0.1790,-0.1790,-0.1790,1.70%
2021-12-30,-0.1760,-0.1800,-0.1710,-0.2050,-2.22%
2021-12-29,-0.1800,-0.2400,-0.1790,-0.2440,-24.69%
2021-12-28,-0.2390,-0.2410,-0.2210,-0.2490,-2.05%
2021-12-27,-0.2440,-0.2540,-0.2220,-0.2570,-2.79%
2021-12-24,-0.2510,-0.2510,-0.2510,-0.2510,-0.40%
2021-12-23,-0.2520,-0.2850,-0.2350,-0.2930,-13.99%
2021-12-22,-0.2930,-0.3100,-0.2680,-0.3140,-3.30%
2021-12-21,-0.3030,-0.3690,-0.2990,-0.3730,-17.21%
