Date (Ireland),Price,Open,High,Low,Change %
2022-09-30,2.706,2.732,2.751,2.667,-3.46%
2022-09-29,2.803,2.805,2.893,2.785,2.49%
2022-09-28,2.735,2.891,2.970,2.721,-5.17%
2022-09-27,2.884,2.763,2.892,2.667,4.45%
2022-09-26,2.761,2.725,2.767,2.661,5.91%
2022-09-23,2.607,2.543,2.671,2.487,2.44%
2022-09-22,2.545,2.510,2.565,2.408,2.87%
2022-09-21,2.474,2.490,2.491,2.434,-1.63%
2022-09-20,2.515,2.413,2.543,2.395,6.07%
2022-09-19,2.371,2.327,2.408,2.320,2.04%
2022-09-17,2.323,2.323,2.323,2.323,-0.11%
2022-09-16,2.326,2.389,2.396,2.325,-1.52%
2022-09-15,2.362,2.347,2.367,2.292,2.30%
2022-09-14,2.309,2.312,2.381,2.286,-1.07%
2022-09-13,2.334,2.264,2.346,2.235,3.69%
2022-09-12,2.251,2.344,2.358,2.234,-2.64%
2022-09-09,2.312,2.342,2.392,2.252,-1.78%
2022-09-08,2.354,2.138,2.356,2.136,8.38%
2022-09-07,2.172,2.257,2.257,2.153,-4.15%
2022-09-06,2.266,2.225,2.270,2.130,1.66%
2022-09-05,2.229,2.144,2.246,2.138,3.10%
2022-09-02,2.162,2.186,2.247,2.120,-2.52%
2022-09-01,2.218,2.253,2.294,2.199,0.86%
2022-08-31,2.199,2.134,2.241,2.123,1.43%
2022-08-30,2.168,2.151,2.204,2.105,0.00%
2022-08-29,2.168,2.137,2.199,2.116,6.01%
2022-08-26,2.045,1.938,2.061,1.933,4.23%
2022-08-25,1.962,1.988,1.995,1.931,-1.85%
2022-08-24,1.999,1.980,2.020,1.933,2.94%
2022-08-23,1.942,1.894,1.987,1.874,0.41%
2022-08-22,1.934,1.813,1.939,1.792,5.11%
2022-08-19,1.840,1.778,1.849,1.766,7.04%
2022-08-18,1.719,1.755,1.760,1.677,0.88%
2022-08-17,1.704,1.579,1.721,1.579,7.71%
2022-08-16,1.582,1.504,1.615,1.502,4.28%
2022-08-15,1.517,1.579,1.612,1.493,-4.20%
2022-08-14,1.584,1.584,1.584,1.584,-0.91%
2022-08-12,1.598,1.586,1.634,1.561,0.69%
2022-08-11,1.587,1.507,1.589,1.459,5.24%
2022-08-10,1.508,1.526,1.538,1.447,-1.44%
2022-08-09,1.530,1.489,1.565,1.464,2.20%
2022-08-08,1.497,1.403,1.549,1.464,-3.23%
2022-08-05,1.547,1.403,1.549,1.401,10.42%
2022-08-04,1.401,1.479,1.505,1.392,-5.59%
2022-08-03,1.484,1.429,1.541,1.429,2.91%
2022-08-02,1.442,1.372,1.460,1.321,0.98%
2022-08-01,1.428,1.469,1.517,1.407,-2.23%
2022-07-31,1.461,1.461,1.461,1.461,0.55%
2022-07-30,1.452,1.452,1.452,1.452,0.24%
2022-07-29,1.449,1.486,1.560,1.441,-3.27%
2022-07-28,1.498,1.616,1.634,1.430,-7.53%
2022-07-27,1.620,1.574,1.629,1.560,3.58%
2022-07-26,1.564,1.652,1.655,1.550,-7.18%
2022-07-25,1.685,1.674,1.714,1.641,-0.06%
2022-07-22,1.686,1.813,1.839,1.602,-9.65%
2022-07-21,1.866,1.857,1.965,1.811,1.69%
2022-07-20,1.835,1.817,1.847,1.757,-1.45%
2022-07-19,1.862,1.754,1.868,1.746,3.22%
