Date (New Zealand),Price,Open,High,Low,Change %
2022-09-30,4.294,4.198,4.308,4.198,2.21%
2022-09-29,4.201,4.333,4.333,4.143,-3.05%
2022-09-28,4.333,4.280,4.333,4.280,1.24%
2022-09-27,4.280,4.145,4.305,4.145,-0.45%
2022-09-26,4.299,4.163,4.301,4.163,3.73%
2022-09-23,4.145,4.030,4.185,3.995,3.16%
2022-09-22,4.018,4.030,4.060,3.995,-0.30%
2022-09-21,4.030,3.973,4.058,3.973,1.43%
2022-09-20,3.973,4.030,4.030,3.973,-1.41%
2022-09-19,4.030,4.065,4.075,4.030,-1.53%
2022-09-18,4.093,4.082,4.093,4.082,0.68%
2022-09-16,4.065,3.978,4.075,3.978,2.19%
2022-09-15,3.978,4.013,4.048,3.978,-0.87%
2022-09-14,4.013,3.905,4.013,3.905,2.77%
2022-09-13,3.905,3.943,3.960,3.903,-0.96%
2022-09-12,3.943,3.935,3.943,3.915,-0.24%
2022-09-11,3.953,3.950,3.953,3.950,0.44%
2022-09-09,3.935,3.938,4.020,3.930,-0.08%
2022-09-08,3.938,4.078,4.078,3.938,-3.43%
2022-09-07,4.078,4.013,4.090,4.013,1.62%
2022-09-06,4.013,4.005,4.025,4.000,0.20%
2022-09-05,4.005,3.995,4.005,3.953,0.41%
2022-09-04,3.989,4.010,4.010,3.989,-0.16%
2022-09-02,3.995,4.035,4.043,3.975,-0.99%
2022-09-01,4.035,3.960,4.083,3.960,1.89%
2022-08-31,3.960,3.965,3.965,3.960,-0.13%
2022-08-30,3.965,3.963,3.965,3.953,0.05%
2022-08-29,3.963,3.863,3.963,3.863,2.67%
2022-08-26,3.860,3.880,3.880,3.840,-0.52%
2022-08-25,3.880,3.813,3.880,3.813,1.76%
2022-08-24,3.813,3.788,3.860,3.788,0.66%
2022-08-23,3.788,3.710,3.803,3.710,2.10%
2022-08-22,3.710,3.563,3.710,3.563,2.25%
2022-08-21,3.628,3.570,3.628,3.570,1.84%
2022-08-19,3.563,3.510,3.563,3.500,1.51%
2022-08-18,3.510,3.405,3.513,3.405,3.08%
2022-08-17,3.405,3.388,3.453,3.388,0.16%
2022-08-16,3.399,3.395,3.399,3.392,-1.98%
2022-08-15,3.468,3.513,3.513,3.468,-1.46%
2022-08-14,3.520,3.520,3.520,3.520,0.19%
