Date (Spain),Price,Open,High,Low,Change %
2022-09-30,3.300,3.364,3.464,3.243,-2.54%
2022-09-29,3.386,3.364,3.464,3.361,1.62%
2022-09-28,3.332,3.480,3.538,3.313,-2.80%
2022-09-27,3.428,3.343,3.451,3.238,4.38%
2022-09-26,3.284,3.284,3.304,3.225,2.66%
2022-09-23,3.199,3.111,3.242,3.029,2.50%
2022-09-22,3.121,3.090,3.131,2.953,3.21%
2022-09-21,3.024,3.047,3.059,2.992,-1.91%
2022-09-20,3.083,2.977,3.104,2.963,4.37%
2022-09-19,2.954,2.901,2.976,2.898,1.72%
2022-09-17,2.904,2.904,2.904,2.904,-0.55%
2022-09-16,2.920,2.959,2.963,2.908,0.52%
2022-09-15,2.905,2.891,2.918,2.857,1.86%
2022-09-14,2.852,2.835,2.931,2.835,-0.42%
2022-09-13,2.864,2.822,2.876,2.767,2.21%
2022-09-12,2.802,2.895,2.923,2.780,-2.23%
2022-09-09,2.866,2.883,2.933,2.795,1.09%
2022-09-08,2.835,2.699,2.853,2.695,3.24%
2022-09-07,2.746,2.811,2.816,2.716,-1.96%
2022-09-06,2.801,2.781,2.827,2.687,0.94%
2022-09-05,2.775,2.702,2.801,2.702,1.61%
2022-09-02,2.731,2.751,2.805,2.670,-1.80%
2022-09-01,2.781,2.793,2.840,2.757,1.64%
2022-08-31,2.736,2.669,2.786,2.658,1.52%
2022-08-30,2.695,2.691,2.738,2.627,-0.22%
2022-08-29,2.701,2.692,2.763,2.659,4.04%
2022-08-26,2.596,2.596,2.596,2.596,4.05%
2022-08-25,2.495,2.569,2.573,2.493,-2.92%
2022-08-24,2.570,2.561,2.601,2.514,2.47%
2022-08-23,2.508,2.452,2.569,2.436,0.24%
2022-08-22,2.502,2.358,2.502,2.339,5.21%
2022-08-19,2.378,2.314,2.394,2.303,5.88%
2022-08-18,2.246,2.290,2.291,2.213,1.03%
2022-08-17,2.223,2.112,2.254,2.112,5.96%
2022-08-16,2.098,2.009,2.127,2.007,4.22%
2022-08-15,2.013,2.089,2.125,1.999,-4.14%
2022-08-14,2.100,2.100,2.100,2.100,-0.24%
2022-08-12,2.105,2.076,2.123,2.059,1.59%
2022-08-11,2.072,2.034,2.078,1.940,3.50%
2022-08-10,2.002,2.034,2.047,1.940,-1.38%
2022-08-09,2.030,1.997,2.069,1.966,1.60%
2022-08-08,1.998,1.979,2.056,1.846,-2.11%
2022-08-05,2.041,1.979,2.046,1.892,6.86%
2022-08-04,1.910,1.979,2.006,1.892,-3.92%
2022-08-03,1.988,1.954,2.033,1.950,2.79%
2022-08-02,1.934,1.808,1.948,1.773,4.15%
2022-08-01,1.857,1.939,1.976,1.847,-3.41%
2022-07-31,1.923,1.923,1.923,1.923,0.63%
2022-07-30,1.911,1.911,1.911,1.911,-0.80%
2022-07-29,1.926,1.993,2.079,1.913,-2.33%
2022-07-28,1.972,2.193,2.200,1.965,-8.41%
2022-07-27,2.153,2.151,2.183,2.116,1.65%
2022-07-26,2.118,2.214,2.214,2.094,-5.11%
2022-07-25,2.232,2.277,2.306,2.227,-1.24%
2022-07-22,2.260,2.454,2.461,2.200,-9.02%
2022-07-21,2.484,2.527,2.612,2.447,-0.08%
2022-07-20,2.486,2.463,2.488,2.359,0.00%
2022-07-19,2.486,2.407,2.505,2.401,1.30%
2022-07-18,2.454,2.446,2.492,2.432,7.54%
2022-07-16,2.282,2.282,2.282,2.282,-0.31%
2022-07-15,2.289,2.309,2.337,2.267,-1.63%
2022-07-14,2.327,2.284,2.414,2.284,3.06%
2022-07-13,2.258,2.276,2.340,2.240,1.44%
2022-07-12,2.226,2.344,2.344,2.207,-4.79%
2022-07-11,2.338,2.395,2.397,2.317,-2.99%
2022-07-09,2.410,2.410,2.410,2.410,-0.41%
