Date (Sweden),Price,Open,High,Low,Change %
2022-09-30,"2,2484",,,,"-2,9%"
2022-09-29,"2,3156",,,,"1,68%"
2022-09-28,"2,2774",,,,"-1,45%"
2022-09-27,"2,3109",,,,"2,32%"
2022-09-26,"2,2584",,,,"3,73%"
2022-09-23,"2,1772",,,,"3,64%"
2022-09-22,"2,1008",,,,"3,28%"
2022-09-21,"2,034",,,,"-2,96%"
2022-09-20,"2,0961",,,,"4,77%"
2022-09-19,"2,0006",,,,"0,24%"
2022-09-16,"1,9958",,,,"0,48%"
2022-09-15,"1,9863",,,,"-1,42%"
2022-09-14,"2,0149",,,,"0,96%"
2022-09-13,"1,9958",,,,"1,45%"
2022-09-12,"1,9672",,,,"-2,37%"
2022-09-08,"2,0149",,,,"4,83%"
2022-09-07,"1,922",,,,"-4,61%"
2022-09-06,"2,0149",,,,"2,68%"
2022-09-05,"1,9624",,,,"0,98%"
2022-09-02,"1,9433",,,,"-3,1%"
2022-09-01,"2,0054",,,,"1,69%"
2022-08-31,"1,972",,,,"-2,59%"
2022-08-30,"2,0245",,,,"-1,39%"
2022-08-29,"2,0531",,,,"6,17%"
2022-08-26,"1,9338",,,,"4,11%"
2022-08-25,"1,8574",,,,"0,78%"
2022-08-24,"1,8431",,,,"3,21%"
2022-08-23,"1,7858",,,,"5,65%"
2022-08-22,"1,6903",,,,"3,5%"
2022-08-19,"1,6331",,,,"6,54%"
2022-08-18,"1,5328",,,,"2,88%"
2022-08-17,"1,4899",,,,"3,31%"
2022-08-16,"1,4421",,,,"3,07%"
2022-08-15,"1,3992",,,,"-1,67%"
2022-08-12,"1,423",,,,"-1,65%"
2022-08-11,"1,4469",,,,"2,71%"
2022-08-10,"1,4087",,,,"-3,28%"
2022-08-09,"1,4564",,,,"0,99%"
2022-08-08,"1,4421",,,,"-1,63%"
2022-08-05,"1,466",,,,"7,71%"
2022-08-04,"1,361",,,,"-5,94%"
2022-08-03,"1,4469",,,,"5,57%"
2022-08-02,"1,3705",,,,"-1,03%"
2022-08-01,"1,3848",,,,"-1,7%"
2022-07-29,"1,4087",,,,"2,43%"
2022-07-28,"1,3753",,,,"-5,26%"
2022-07-27,"1,4517",,,,"0,33%"
2022-07-26,"1,4469",,,,"-4,41%"
2022-07-25,"1,5137",,,,"0,32%"
2022-07-22,"1,5089",,,,"-11,73%"
2022-07-21,"1,7094",,,,"2,85%"
2022-07-20,"1,6621",,,,"-1,39%"
2022-07-19,"1,6856",,,,"1,44%"
2022-07-18,"1,6617",,,,"5,77%"
2022-07-15,"1,571",,,,"-0,6%"
2022-07-14,"1,5805",,,,"7,46%"
2022-07-13,"1,4708",,,,"3,72%"
2022-07-12,"1,4181",,,,"-4,82%"
2022-07-11,"1,4899",,,,"0,98%"
2022-07-08,"1,4755",,,,"1,44%"
2022-07-07,"1,4546",,,,"2,22%"
2022-07-06,"1,423",,,,"-7,74%"
2022-07-05,"1,5424",,,,"-5,55%"
2022-07-04,"1,6331",,,,"2,7%"
2022-07-01,"1,5901",,,,"-9,26%"
2022-06-30,"1,7524",,,,"-7,08%"
2022-06-29,"1,886",,,,"-1,99%"
2022-06-28,"1,9242",,,,"2,54%"
2022-06-27,"1,8765",,,,"3,55%"
2022-06-24,"1,8122",,,,"1,48%"
2022-06-23,"1,7858",,,,"-5,79%"
2022-06-22,"1,8956",,,,"-3,4%"
2022-06-21,"1,9624",,,,"2,49%"
2022-06-20,"1,9147",,,,"-2,43%"
2022-06-17,"1,9624",,,,"-7,59%"
2022-06-16,"2,1235",,,,"7,23%"
2022-06-15,"1,9803",,,,"-0,3%"
2022-06-14,"1,9863",,,,"7,77%"
2022-06-13,"1,8431",,,,"1,65%"
2022-06-10,"1,8132",,,,"-0,66%"
2022-06-09,"1,8252",,,,"0,99%"
2022-06-08,"1,8073",,,,"1,34%"
2022-06-07,"1,7834",,,,"1,79%"
2022-06-06,"1,7521",,,,"0,94%"
2022-06-03,"1,7357",,,,"3,56%"
2022-06-02,"1,676",,,,"4,85%"
2022-06-01,"1,5984",,,,"3,08%"
2022-05-31,"1,5507",,,,"4,42%"
2022-05-30,"1,4851",,,,"-1,58%"
2022-05-27,"1,5089",,,,"-2,49%"
2022-05-26,"1,5475",,,,"-1,72%"
2022-05-25,"1,5746",,,,"-4,35%"
2022-05-24,"1,6462",,,,"-2,13%"
2022-05-23,"1,682",,,,"-1,05%"
2022-05-20,"1,6999",,,,"0,35%"
2022-05-19,"1,6939",,,,"-6,89%"
2022-05-18,"1,8192",,,,"-0,97%"
2022-05-17,"1,8371",,,,"3,7%"
2022-05-16,"1,7715",,,,"1,72%"
2022-05-13,"1,7416",,,,"1,39%"
2022-05-12,"1,7178",,,,"-8,57%"
2022-05-11,"1,8789",,,,"1,94%"
2022-05-10,"1,8431",,,,"-5,21%"
2022-05-09,"1,9445",,,,"-0,31%"
2022-05-06,"1,9505",,,,"3,49%"
2022-05-05,"1,8848",,,,"-2,47%"
2022-05-04,"1,9326",,,,"6,23%"
2022-05-03,"1,8192",,,,"2,01%"
2022-05-02,"1,7834",,,,"5,28%"
2022-04-29,"1,6939",,,,"3,27%"
2022-04-28,"1,6402",,,,"10,44%"
2022-04-27,"1,4851",,,,"-1,58%"
2022-04-26,"1,5089",,,,"-3,07%"
2022-04-25,"1,5567",,,,"-3,33%"
2022-04-22,"1,6104",,,,"1,89%"
2022-04-21,"1,5805",,,,"1,15%"
2022-04-20,"1,5626",,,,"-2,61%"
2022-04-19,"1,6044",,,,"8,03%"
2022-04-14,"1,4851",,,,"1,68%"
2022-04-13,"1,4606",,,,"-3,32%"
2022-04-12,"1,5107",,,,"-1,4%"
2022-04-11,"1,5322",,,,"8,08%"
2022-04-08,"1,4177",,,,"3,67%"
2022-04-07,"1,3675",,,,"2,14%"
2022-04-06,"1,3389",,,,"9,36%"
2022-04-05,"1,2243",,,,"7,55%"
2022-04-04,"1,1384",,,,"-5,36%"
2021-11-10,0.212,0.210,0.220,0.208,1.44%
2021-11-09,0.209,0.223,0.247,0.203,-5.22%
2021-11-08,0.221,0.232,0.233,0.197,-3.29%
2021-11-05,0.228,0.266,0.272,0.212,-15.87%
2021-11-04,0.271,0.285,0.292,0.257,-6.39%
2021-11-03,0.289,0.272,0.292,0.252,7.62%
2021-11-02,0.269,0.335,0.335,0.265,-19.94%
2021-11-01,0.336,0.357,0.370,0.332,-7.18%
2021-10-29,0.362,0.331,0.377,0.331,8.06%
2021-10-28,0.335,0.306,0.349,0.294,10.56%
2021-10-27,0.303,0.369,0.372,0.292,-18.11%
2021-10-26,0.370,0.385,0.393,0.360,-4.52%
2021-10-25,0.387,0.405,0.415,0.384,-3.85%
2021-10-23,0.403,0.403,0.403,0.403,0.00%
2021-10-22,0.403,0.405,0.409,0.385,1.38%
2021-10-21,0.398,0.370,0.398,0.363,6.28%
2021-10-20,0.374,0.395,0.400,0.359,-5.67%
2021-10-19,0.396,0.357,0.400,0.340,10.14%
2021-10-18,0.360,0.338,0.394,0.338,6.04%
2021-10-15,0.340,0.310,0.347,0.310,10.05%
2021-10-14,0.308,0.380,0.380,0.308,-14.19%
2021-10-13,0.359,0.402,0.412,0.359,-8.64%
2021-10-12,0.394,0.389,0.408,0.375,0.90%
2021-10-11,0.390,0.379,0.405,0.377,4.00%
2021-10-09,0.375,0.375,0.375,0.375,0.00%
2021-10-08,0.375,0.345,0.390,0.345,8.85%
2021-10-07,0.345,0.358,0.371,0.340,-4.31%
2021-10-06,0.360,0.378,0.416,0.356,-5.26%
2021-10-05,0.380,0.369,0.381,0.352,1.06%
2021-10-04,0.376,0.345,0.377,0.342,8.51%
2021-10-01,0.347,0.385,0.385,0.339,-10.47%
2021-09-30,0.387,0.351,0.387,0.341,11.53%
2021-09-29,0.347,0.370,0.370,0.337,-6.22%
2021-09-28,0.370,0.351,0.375,0.334,12.63%
2021-09-27,0.329,0.321,0.342,0.314,1.70%
2021-09-24,0.323,0.296,0.323,0.295,12.35%
2021-09-23,0.287,0.255,0.288,0.249,19.29%
2021-09-22,0.241,0.245,0.247,0.232,7.11%
2021-09-21,0.225,0.261,0.273,0.221,-13.79%
2021-09-20,0.261,0.305,0.305,0.256,-13.58%
2021-09-17,0.302,0.278,0.305,0.272,11.85%
2021-09-16,0.270,0.243,0.282,0.243,10.20%
2021-09-15,0.245,0.228,0.247,0.228,8.41%
2021-09-14,0.226,0.200,0.259,0.198,11.88%
2021-09-13,0.202,0.193,0.206,0.192,2.02%
2021-09-11,0.198,0.198,0.198,0.198,-2.94%
2021-09-10,0.204,0.185,0.204,0.181,9.97%
2021-09-09,0.185,0.226,0.227,0.183,-18.10%
2021-09-08,0.227,0.241,0.241,0.215,-6.98%
2021-09-07,0.243,0.215,0.244,0.208,21.45%
2021-09-06,0.200,0.201,0.210,0.189,0.50%
2021-09-03,0.199,0.169,0.203,0.163,17.01%
2021-09-02,0.170,0.186,0.193,0.161,-8.09%
2021-09-01,0.185,0.154,0.205,0.154,18.15%
2021-08-31,0.157,0.138,0.168,0.133,12.95%
2021-08-30,0.139,0.149,0.156,0.139,-5.44%
2021-08-27,0.147,0.157,0.160,0.147,-7.26%
2021-08-26,0.159,0.118,0.159,0.118,36.05%
2021-08-25,0.116,0.077,0.117,0.076,50.32%
2021-08-24,0.078,0.069,0.079,0.065,16.54%
2021-08-23,0.067,0.055,0.087,0.051,22.02%
2021-08-20,0.054,0.062,0.062,0.041,-14.17%
2021-08-19,0.064,0.076,0.076,0.050,-16.99%
2021-08-18,0.076,0.099,0.099,0.072,-23.12%
2021-08-17,0.100,0.106,0.108,0.084,-8.29%
2021-08-16,0.108,0.125,0.130,0.108,-9.96%
2021-08-13,0.120,0.125,0.146,0.116,0.00%
2021-08-12,0.120,0.105,0.131,0.096,16.43%
2021-08-11,0.104,0.092,0.135,0.092,11.89%
2021-08-10,0.093,0.093,0.103,0.079,0.00%
2021-08-09,0.093,0.099,0.099,0.082,-7.50%
2021-08-06,0.100,0.055,0.100,0.054,80.18%
2021-08-05,0.056,0.060,0.062,0.041,-13.95%
2021-08-04,0.064,0.061,0.073,0.047,4.03%
2021-08-03,0.062,0.081,0.085,0.060,-21.02%
2021-08-02,0.079,0.093,0.101,0.076,-15.59%
2021-07-30,0.093,0.085,0.104,0.085,-10.58%
2021-07-29,0.104,0.102,0.110,0.079,1.96%
2021-07-28,0.102,0.103,0.106,0.091,-1.92%
2021-07-27,0.104,0.115,0.130,0.100,-22.68%
2021-07-26,0.134,0.115,0.137,0.097,3.46%
2021-07-24,0.130,0.130,0.130,0.130,1.17%
2021-07-23,0.128,0.135,0.141,0.127,-4.46%
2021-07-22,0.134,0.130,0.152,0.113,5.91%
2021-07-21,0.127,0.088,0.134,0.086,53.94%
2021-07-20,0.083,0.122,0.127,0.079,-31.54%
2021-07-19,0.120,0.156,0.158,0.119,-23.73%
2021-07-16,0.158,0.155,0.167,0.149,-4.24%
2021-07-15,0.165,0.170,0.178,0.162,-13.16%
2021-07-14,0.190,0.188,0.204,0.188,4.40%
2021-07-13,0.182,0.178,0.200,0.172,-0.55%
2021-07-12,0.183,0.191,0.191,0.168,-3.17%
2021-07-09,0.189,0.165,0.195,0.165,14.89%
2021-07-08,0.164,0.203,0.203,0.136,-17.54%
2021-07-07,0.199,0.266,0.266,0.199,-23.71%
2021-07-06,0.262,0.296,0.305,0.262,-11.05%
2021-07-05,0.294,0.291,0.299,0.287,1.55%
2021-07-02,0.289,0.314,0.315,0.285,-7.36%
2021-07-01,0.313,0.323,0.330,0.310,-2.50%
2021-06-30,0.320,0.340,0.345,0.319,-5.74%
2021-06-29,0.340,0.335,0.349,0.326,1.34%
2021-06-28,0.336,0.335,0.350,0.333,0.00%
2021-06-26,0.335,0.335,0.335,0.335,0.00%
2021-06-25,0.335,0.335,0.335,0.335,0.00%
2021-06-24,0.335,0.330,0.341,0.324,3.08%
2021-06-23,0.325,0.345,0.348,0.315,-6.20%
2021-06-22,0.347,0.338,0.354,0.333,2.06%
2021-06-21,0.340,0.322,0.340,0.299,5.93%
2021-06-18,0.320,0.340,0.342,0.308,-5.32%
2021-06-17,0.338,0.315,0.351,0.315,7.80%
2021-06-16,0.314,0.350,0.359,0.313,-8.85%
2021-06-15,0.345,0.311,0.345,0.301,11.13%
2021-06-14,0.310,0.307,0.319,0.301,0.32%
2021-06-11,0.309,0.310,0.317,0.297,-6.08%
2021-06-10,0.329,0.318,0.349,0.315,3.62%
2021-06-09,0.317,0.367,0.368,0.308,-14.19%
2021-06-08,0.370,0.401,0.411,0.366,-7.27%
2021-06-07,0.399,0.400,0.406,0.395,1.27%
2021-06-05,0.394,0.394,0.394,0.394,-0.63%
2021-06-04,0.396,0.419,0.423,0.396,-5.48%
2021-06-03,0.419,0.412,0.423,0.410,1.94%
2021-06-02,0.412,0.431,0.431,0.407,-4.19%
2021-06-01,0.430,0.439,0.450,0.417,-1.94%
2021-05-31,0.438,0.425,0.448,0.423,7.88%
2021-05-29,0.406,0.406,0.406,0.406,0.00%
2021-05-28,0.406,0.415,0.426,0.406,-1.34%
2021-05-27,0.412,0.354,0.412,0.346,18.42%
2021-05-26,0.347,0.388,0.388,0.347,-10.21%
2021-05-25,0.387,0.417,0.425,0.387,-8.62%
2021-05-24,0.424,0.435,0.437,0.415,-2.87%
2021-05-21,0.436,0.461,0.461,0.427,-5.11%
2021-05-20,0.460,0.455,0.468,0.448,4.08%
2021-05-19,0.442,0.447,0.473,0.435,-1.12%
2021-05-18,0.447,0.452,0.452,0.433,-0.45%
2021-05-17,0.449,0.444,0.456,0.432,0.00%
2021-05-15,0.448,0.448,0.448,0.448,1.01%
2021-05-14,0.444,0.418,0.459,0.413,6.87%
2021-05-12,0.415,0.423,0.435,0.411,-1.89%
2021-05-11,0.423,0.388,0.424,0.388,9.02%
2021-05-10,0.388,0.368,0.403,0.368,5.72%
