Date (Switzerland),Price,Open,High,Low,Change %
2022-09-30,1.237,1.285,1.285,1.183,-5.57%
2022-09-29,1.310,1.422,1.422,1.295,-2.89%
2022-09-28,1.349,1.569,1.594,1.349,-12.35%
2022-09-27,1.539,1.456,1.539,1.349,10.01%
2022-09-26,1.399,1.439,1.461,1.377,2.79%
2022-09-23,1.361,1.375,1.459,1.283,0.29%
2022-09-22,1.357,1.299,1.360,1.208,4.46%
2022-09-21,1.299,1.260,1.303,1.242,-0.08%
2022-09-20,1.300,1.130,1.300,1.124,16.49%
2022-09-19,1.116,1.086,1.148,1.057,-1.15%
2022-09-16,1.129,1.093,1.129,1.064,4.34%
2022-09-15,1.082,1.090,1.134,1.074,1.50%
2022-09-14,1.066,1.073,1.154,1.023,-2.11%
2022-09-13,1.089,0.993,1.102,0.961,11.01%
2022-09-12,0.981,1.048,1.064,0.967,-4.66%
2022-09-09,1.029,1.001,1.052,0.973,6.96%
2022-09-08,0.962,0.883,1.053,0.879,4.11%
2022-09-07,0.924,0.993,0.993,0.891,-4.74%
2022-09-06,0.970,0.948,0.998,0.874,5.21%
2022-09-05,0.922,0.873,0.923,0.811,5.49%
2022-09-02,0.874,0.877,0.933,0.837,0.11%
2022-09-01,0.873,0.897,0.909,0.867,2.11%
2022-08-31,0.855,0.822,0.899,0.731,6.61%
2022-08-30,0.802,0.836,0.868,0.758,-7.60%
2022-08-29,0.868,0.949,0.984,0.868,2.72%
2022-08-26,0.845,0.819,0.854,0.785,6.16%
2022-08-25,0.796,0.842,0.851,0.776,-6.46%
2022-08-24,0.851,0.777,0.854,0.777,6.64%
2022-08-23,0.798,0.756,0.809,0.718,9.62%
2022-08-22,0.728,0.689,0.745,0.606,5.66%
2022-08-19,0.689,0.618,0.689,0.579,24.59%
2022-08-18,0.553,0.566,0.566,0.491,8.86%
2022-08-17,0.508,0.493,0.565,0.448,3.46%
2022-08-16,0.491,0.392,0.491,0.389,14.99%
2022-08-15,0.427,0.496,0.501,0.382,-15.11%
2022-08-12,0.503,0.495,0.509,0.466,0.60%
2022-08-11,0.500,0.480,0.500,0.414,13.12%
2022-08-10,0.442,0.525,0.525,0.411,-11.95%
2022-08-09,0.502,0.523,0.526,0.477,5.68%
2022-08-08,0.475,0.542,0.542,0.463,-12.36%
2022-08-05,0.542,0.419,0.542,0.415,28.74%
2022-08-04,0.421,0.500,0.503,0.405,-12.11%
2022-08-03,0.479,0.460,0.510,0.440,8.37%
2022-08-02,0.442,0.369,0.460,0.343,-3.70%
2022-07-29,0.459,0.440,0.510,0.430,7.75%
2022-07-28,0.426,0.621,0.621,0.426,-21.69%
2022-07-27,0.544,0.592,0.610,0.536,-6.53%
2022-07-26,0.582,0.638,0.650,0.547,-13.00%
2022-07-25,0.669,0.710,0.717,0.643,-4.56%
2022-07-22,0.701,0.840,0.840,0.645,-14.51%
2022-07-21,0.820,0.900,0.922,0.820,-1.91%
2022-07-20,0.836,0.855,0.873,0.778,-6.70%
2022-07-19,0.896,0.779,0.896,0.766,5.41%
2022-07-18,0.850,0.791,0.850,0.762,15.80%
2022-07-15,0.734,0.696,0.772,0.653,-3.80%
2022-07-14,0.763,0.727,0.781,0.678,5.24%
2022-07-13,0.725,0.816,0.826,0.674,-8.46%
